time,FPS
1676919835,29
1676919836,38
1676919837,32
1676919838,52
1676919839,51
1676919840,53
1676919841,51
1676919842,51
1676919843,52
1676919844,50
1676919845,54
1676919846,48
1676919847,50
1676919848,39
1676919849,39
1676919850,45
1676919851,40
1676919852,45
1676919853,43
1676919854,39
1676919855,47
1676919856,42
1676919857,45
1676919858,41
1676919859,44
1676919860,47
1676919861,47
1676919862,42
1676919863,40
1676919864,47
1676919865,44
1676919866,47
1676919867,43
1676919868,46
1676919869,41
1676919870,43
1676919871,42
1676919872,40
1676919873,44
1676919874,43
1676919875,44
1676919876,49
1676919877,57
1676919878,57
1676919879,54
1676919880,56
1676919881,57
1676919882,57
1676919883,56
1676919884,55
1676919885,55
1676919886,42
1676919887,50
1676919888,44
1676919889,44
1676919890,41
1676919891,38
1676919892,49
1676919893,43
1676919894,42
1676919895,43
1676919896,44
1676919897,45
1676919898,45
1676919899,46
1676919900,48
1676919901,47
1676919902,51
1676919903,45
1676919904,45
1676919905,46
1676919906,46
1676919907,47
1676919908,42
1676919909,45
1676919910,42
1676919911,43
1676919912,45
1676919913,46
1676919914,45
1676919915,47
1676919916,43
1676919917,45
1676919918,46
1676919919,49
1676919920,44
1676919921,45
1676919922,46
1676919923,42
1676919924,43
1676919925,45
1676919926,42
1676919927,42
1676919928,44
1676919929,47
1676919930,46
1676919931,45
1676919932,47
1676919933,47
1676919934,193
1676919935,255
1676919936,251
1676919937,252
1676919938,113
1676919939,132
1676919940,132
1676919941,131
1676919942,131
1676919943,131
1676919944,131
1676919945,128
1676919946,128
1676919947,128
1676919948,128
1676919949,128
1676919950,128
1676919951,128
1676919952,129
1676919953,130
1676919954,130
1676919955,132
1676919956,131
1676919957,130
1676919958,132
1676919959,132
1676919960,131
1676919961,133
1676919962,132
1676919963,207
1676919964,256
1676919965,253
1676919966,255
1676919967,130
1676919968,148
1676919969,147
1676919970,148
1676919971,147
1676919972,145
1676919973,147
1676919974,148
1676919975,144
1676919976,147
1676919977,146
1676919978,143
1676919979,147
1676919980,148
1676919981,145
1676919982,142
1676919983,145
1676919984,146
1676919985,147
1676919986,147
1676919987,146
1676919988,146
1676919989,145
1676919990,146
1676919991,146
1676919992,253
1676919993,256
1676919994,252
1676919995,197
1676919996,132
1676919997,108
1676919998,108
1676919999,107
1676920000,110
1676920001,110
1676920002,112
1676920003,115
1676920004,124
1676920005,135
1676920006,145
1676920007,152
1676920008,157
1676920009,158
1676920010,159
1676920011,159
1676920012,160
1676920013,161
1676920014,162
1676920015,161
1676920016,162
1676920017,163
1676920018,162
1676920019,163
1676920020,207
1676920021,255
1676920022,255
1676920023,251
1676920024,255
1676920025,253
1676920026,213
1676920027,112
1676920028,116
1676920029,113
1676920030,114
1676920031,112
1676920032,110
1676920033,105
1676920034,103
1676920035,101
1676920036,101
1676920037,103
1676920038,106
1676920039,107
1676920040,110
1676920041,110
1676920042,112
1676920043,111
1676920044,111
1676920045,110
1676920046,108
1676920047,112
1676920048,115
1676920049,118
1676920050,118
1676920051,150
1676920052,255
1676920053,256
1676920054,249
1676920055,256
1676920056,254
1676920057,254
1676920058,237
1676920059,125
1676920060,156
1676920061,156
1676920062,158
1676920063,159
1676920064,160
1676920065,161
1676920066,160
1676920067,158
1676920068,160
1676920069,158
1676920070,159
1676920071,158
1676920072,160
1676920073,163
1676920074,166
1676920075,169
1676920076,171
1676920077,163
1676920078,149
1676920079,146
1676920080,152
1676920081,145
1676920082,144
1676920083,148
1676920084,152
1676920085,153
1676920086,148
1676920087,143
1676920088,143
1676920089,144
1676920090,140
1676920091,141
1676920092,143
1676920093,144
1676920094,146
1676920095,152
1676920096,155
1676920097,150
1676920098,154
1676920099,160
1676920100,164
1676920101,164
1676920102,159
1676920103,162
1676920104,161
1676920105,155
1676920106,150
1676920107,141
1676920108,146
1676920109,147
1676920110,145
1676920111,145
1676920112,155
1676920113,155
1676920114,157
1676920115,158
1676920116,155
1676920117,157
1676920118,160
1676920119,158
1676920120,152
1676920121,150
1676920122,153
1676920123,150
1676920124,154
1676920125,156
1676920126,156
1676920127,159
1676920128,154
1676920129,161
1676920130,157
1676920131,156
1676920132,159
1676920133,162
1676920134,162
1676920135,160
1676920136,161
1676920137,163
1676920138,164
1676920139,164
1676920140,159
1676920141,157
1676920142,153
1676920143,150
1676920144,151
1676920145,152
1676920146,153
1676920147,153
1676920148,155
1676920149,154
1676920150,145
1676920151,148
1676920152,150
1676920153,151
1676920154,149
1676920155,156
1676920156,162
1676920157,162
1676920158,163
1676920159,164
1676920160,163
1676920161,157
1676920162,145
1676920163,146
1676920164,144
1676920165,147
1676920166,149
1676920167,148
1676920168,143
1676920169,144
1676920170,145
1676920171,139
1676920172,141
1676920173,141
1676920174,142
1676920175,147
1676920176,146
1676920177,144
1676920178,146
1676920179,143
1676920180,140
1676920181,141
1676920182,134
1676920183,126
1676920184,127
1676920185,129
1676920186,130
1676920187,133
1676920188,136
1676920189,138
1676920190,131
1676920191,128
1676920192,133
1676920193,133
1676920194,133
1676920195,133
1676920196,133
1676920197,134
1676920198,87
