time,FPS
1680627574,4
1680627575,56
1680627576,26
1680627577,57
1680627578,58
1680627579,58
1680627580,51
1680627581,50
1680627582,51
1680627583,51
1680627584,51
1680627585,49
1680627586,49
1680627587,41
1680627588,41
1680627589,41
1680627590,42
1680627591,40
1680627592,41
1680627593,39
1680627594,43
1680627595,38
1680627596,46
1680627597,60
1680627598,61
1680627599,62
1680627600,61
1680627601,48
1680627602,40
1680627603,40
1680627604,40
1680627605,41
1680627606,41
1680627607,41
1680627608,42
1680627609,40
1680627610,42
1680627611,44
1680627612,41
1680627613,38
1680627614,43
1680627615,41
1680627616,40
1680627617,39
1680627618,44
1680627619,59
1680627620,58
1680627621,58
1680627622,55
1680627623,56
1680627624,56
1680627625,55
1680627626,53
1680627627,58
1680627628,45
1680627629,41
1680627630,46
1680627631,42
1680627632,42
1680627633,42
1680627634,42
1680627635,40
1680627636,44
1680627637,42
1680627638,40
1680627639,42
1680627640,41
1680627641,43
1680627642,39
1680627643,40
1680627644,43
1680627645,44
1680627646,39
1680627647,42
1680627648,40
1680627649,42
1680627650,40
1680627651,38
1680627652,39
1680627653,40
1680627654,40
1680627655,39
1680627656,40
1680627657,39
1680627658,39
1680627659,39
1680627660,39
1680627661,41
1680627662,37
1680627663,38
1680627664,39
1680627665,42
1680627666,41
1680627667,38
1680627668,41
1680627669,40
1680627670,40
1680627671,41
1680627672,39
1680627673,39
1680627674,42
1680627675,42
1680627676,143
1680627677,255
1680627678,255
1680627679,256
1680627680,151
1680627681,54
1680627682,54
1680627683,54
1680627684,54
1680627685,55
1680627686,54
1680627687,54
1680627688,55
1680627689,56
1680627690,55
1680627691,56
1680627692,56
1680627693,56
1680627694,56
1680627695,57
1680627696,56
1680627697,59
1680627698,58
1680627699,58
1680627700,58
1680627701,57
1680627702,57
1680627703,58
1680627704,57
1680627705,160
1680627706,255
1680627707,255
1680627708,255
1680627709,141
1680627710,71
1680627711,71
1680627712,71
1680627713,70
1680627714,70
1680627715,69
1680627716,69
1680627717,69
1680627718,70
1680627719,68
1680627720,66
1680627721,66
1680627722,68
1680627723,65
1680627724,64
1680627725,65
1680627726,65
1680627727,66
1680627728,67
1680627729,66
1680627730,66
1680627731,67
1680627732,67
1680627733,67
1680627734,183
1680627735,255
1680627736,255
1680627737,255
1680627738,79
1680627739,70
1680627740,71
1680627741,71
1680627742,71
1680627743,70
1680627744,71
1680627745,70
1680627746,71
1680627747,71
1680627748,72
1680627749,71
1680627750,73
1680627751,73
1680627752,74
1680627753,73
1680627754,75
1680627755,74
1680627756,74
1680627757,75
1680627758,75
1680627759,75
1680627760,76
1680627761,75
1680627762,76
1680627763,246
1680627764,254
1680627765,255
1680627766,255
1680627767,255
1680627768,255
1680627769,218
1680627770,62
1680627771,66
1680627772,66
1680627773,67
1680627774,67
1680627775,66
1680627776,64
1680627777,63
1680627778,64
1680627779,64
1680627780,65
1680627781,65
1680627782,65
1680627783,66
1680627784,66
1680627785,66
1680627786,66
1680627787,67
1680627788,67
1680627789,66
1680627790,67
1680627791,67
1680627792,67
1680627793,67
1680627794,107
1680627795,254
1680627796,256
1680627797,254
1680627798,255
1680627799,255
1680627800,255
1680627801,256
1680627802,255
1680627803,235
1680627804,70
1680627805,74
1680627806,75
1680627807,74
1680627808,75
1680627809,75
1680627810,75
1680627811,75
1680627812,75
1680627813,75
1680627814,75
1680627815,75
1680627816,75
1680627817,75
1680627818,76
1680627819,79
1680627820,81
1680627821,84
1680627822,84
1680627823,80
1680627824,75
1680627825,79
1680627826,79
1680627827,76
1680627828,73
1680627829,76
1680627830,75
1680627831,74
1680627832,70
1680627833,69
1680627834,70
1680627835,72
1680627836,71
1680627837,73
1680627838,75
1680627839,73
1680627840,74
1680627841,75
1680627842,75
1680627843,73
1680627844,73
1680627845,76
1680627846,77
1680627847,77
1680627848,79
1680627849,79
1680627850,78
1680627851,75
1680627852,74
1680627853,70
1680627854,72
1680627855,72
1680627856,74
1680627857,70
1680627858,74
1680627859,72
1680627860,70
1680627861,73
1680627862,72
1680627863,75
1680627864,73
1680627865,73
1680627866,71
1680627867,67
1680627868,67
1680627869,68
1680627870,70
1680627871,71
1680627872,72
1680627873,71
1680627874,70
1680627875,73
1680627876,73
1680627877,72
1680627878,71
1680627879,72
1680627880,73
1680627881,72
1680627882,71
1680627883,73
1680627884,75
1680627885,74
1680627886,73
1680627887,70
1680627888,68
1680627889,68
1680627890,68
1680627891,68
1680627892,69
1680627893,69
1680627894,69
1680627895,69
1680627896,66
1680627897,67
1680627898,67
1680627899,68
1680627900,69
1680627901,69
1680627902,69
1680627903,69
1680627904,70
1680627905,69
1680627906,69
1680627907,66
1680627908,67
1680627909,65
1680627910,67
1680627911,67
1680627912,65
1680627913,64
1680627914,63
1680627915,64
1680627916,63
1680627917,62
1680627918,63
1680627919,63
1680627920,65
1680627921,67
1680627922,65
1680627923,65
1680627924,62
1680627925,62
1680627926,62
1680627927,62
1680627928,60
1680627929,62
1680627930,62
1680627931,65
1680627932,67
1680627933,69
1680627934,69
1680627935,72
1680627936,70
1680627937,66
1680627938,65
1680627939,65
1680627940,17
