time,FPS
1680726533,16
1680726534,47
1680726535,42
1680726536,31
1680726537,54
1680726538,50
1680726539,52
1680726540,50
1680726541,51
1680726542,50
1680726543,49
1680726544,52
1680726545,48
1680726546,48
1680726547,43
1680726548,43
1680726549,43
1680726550,42
1680726551,48
1680726552,44
1680726553,42
1680726554,43
1680726555,44
1680726556,46
1680726557,45
1680726558,46
1680726559,45
1680726560,49
1680726561,45
1680726562,47
1680726563,44
1680726564,49
1680726565,45
1680726566,48
1680726567,43
1680726568,44
1680726569,48
1680726570,44
1680726571,46
1680726572,49
1680726573,44
1680726574,47
1680726575,46
1680726576,43
1680726577,46
1680726578,46
1680726579,54
1680726580,54
1680726581,51
1680726582,52
1680726583,53
1680726584,52
1680726585,53
1680726586,53
1680726587,51
1680726588,48
1680726589,45
1680726590,42
1680726591,43
1680726592,43
1680726593,42
1680726594,43
1680726595,44
1680726596,48
1680726597,44
1680726598,43
1680726599,46
1680726600,46
1680726601,48
1680726602,45
1680726603,44
1680726604,48
1680726605,50
1680726606,46
1680726607,48
1680726608,48
1680726609,48
1680726610,43
1680726611,45
1680726612,50
1680726613,48
1680726614,44
1680726615,49
1680726616,42
1680726617,48
1680726618,47
1680726619,44
1680726620,47
1680726621,43
1680726622,47
1680726623,45
1680726624,42
1680726625,44
1680726626,43
1680726627,46
1680726628,42
1680726629,43
1680726630,48
1680726631,46
1680726632,48
1680726633,45
1680726634,43
1680726635,44
1680726636,233
1680726637,254
1680726638,253
1680726639,256
1680726640,164
1680726641,62
1680726642,61
1680726643,63
1680726644,62
1680726645,62
1680726646,63
1680726647,64
1680726648,64
1680726649,65
1680726650,64
1680726651,65
1680726652,65
1680726653,66
1680726654,66
1680726655,67
1680726656,67
1680726657,67
1680726658,69
1680726659,67
1680726660,67
1680726661,66
1680726662,67
1680726663,66
1680726664,67
1680726665,143
1680726666,255
1680726667,256
1680726668,256
1680726669,159
1680726670,70
1680726671,75
1680726672,74
1680726673,73
1680726674,75
1680726675,74
1680726676,74
1680726677,74
1680726678,74
1680726679,74
1680726680,70
1680726681,69
1680726682,72
1680726683,68
1680726684,67
1680726685,68
1680726686,69
1680726687,69
1680726688,71
1680726689,70
1680726690,70
1680726691,69
1680726692,70
1680726693,71
1680726694,153
1680726695,256
1680726696,255
1680726697,256
1680726698,129
1680726699,73
1680726700,72
1680726701,74
1680726702,73
1680726703,73
1680726704,73
1680726705,73
1680726706,73
1680726707,73
1680726708,74
1680726709,75
1680726710,76
1680726711,77
1680726712,78
1680726713,78
1680726714,77
1680726715,78
1680726716,78
1680726717,78
1680726718,79
1680726719,79
1680726720,78
1680726721,79
1680726722,79
1680726723,192
1680726724,256
1680726725,256
1680726726,255
1680726727,256
1680726728,254
1680726729,215
1680726730,55
1680726731,65
1680726732,65
1680726733,65
1680726734,65
1680726735,65
1680726736,63
1680726737,62
1680726738,62
1680726739,62
1680726740,64
1680726741,64
1680726742,64
1680726743,65
1680726744,64
1680726745,66
1680726746,66
1680726747,67
1680726748,67
1680726749,66
1680726750,67
1680726751,66
1680726752,67
1680726753,67
1680726754,82
1680726755,254
1680726756,256
1680726757,254
1680726758,256
1680726759,255
1680726760,256
1680726761,175
1680726762,68
1680726763,71
1680726764,71
1680726765,70
1680726766,71
1680726767,72
1680726768,72
1680726769,72
1680726770,70
1680726771,72
1680726772,71
1680726773,72
1680726774,71
1680726775,72
1680726776,70
1680726777,74
1680726778,76
1680726779,77
1680726780,79
1680726781,67
1680726782,69
1680726783,72
1680726784,68
1680726785,66
1680726786,65
1680726787,67
1680726788,68
1680726789,66
1680726790,64
1680726791,61
1680726792,63
1680726793,62
1680726794,64
1680726795,65
1680726796,66
1680726797,64
1680726798,67
1680726799,67
1680726800,66
1680726801,67
1680726802,67
1680726803,68
1680726804,69
1680726805,70
1680726806,72
1680726807,72
1680726808,71
1680726809,69
1680726810,67
1680726811,64
1680726812,64
1680726813,64
1680726814,66
1680726815,63
1680726816,64
1680726817,63
1680726818,64
1680726819,65
1680726820,64
1680726821,66
1680726822,68
1680726823,67
1680726824,64
1680726825,62
1680726826,62
1680726827,63
1680726828,64
1680726829,65
1680726830,64
1680726831,65
1680726832,63
1680726833,65
1680726834,66
1680726835,65
1680726836,65
1680726837,66
1680726838,65
1680726839,65
1680726840,64
1680726841,62
1680726842,61
1680726843,62
1680726844,62
1680726845,64
1680726846,61
1680726847,60
1680726848,59
1680726849,59
1680726850,58
1680726851,59
1680726852,60
1680726853,60
1680726854,61
1680726855,63
1680726856,63
1680726857,60
1680726858,58
1680726859,59
1680726860,60
1680726861,61
1680726862,67
1680726863,66
1680726864,67
1680726865,66
1680726866,66
1680726867,65
1680726868,63
1680726869,62
1680726870,61
1680726871,60
1680726872,59
1680726873,60
1680726874,60
1680726875,58
1680726876,58
1680726877,58
1680726878,59
1680726879,57
1680726880,57
1680726881,58
1680726882,59
1680726883,62
1680726884,62
1680726885,62
1680726886,60
1680726887,59
1680726888,59
1680726889,58
1680726890,59
1680726891,60
1680726892,61
1680726893,62
1680726894,66
1680726895,69
1680726896,71
1680726897,70
1680726898,68
1680726899,61
1680726900,19
