time,FPS
1680031116,35
1680031117,43
1680031118,20
1680031119,47
1680031120,42
1680031121,43
1680031122,45
1680031123,45
1680031124,46
1680031125,47
1680031126,46
1680031127,43
1680031128,45
1680031129,38
1680031130,39
1680031131,40
1680031132,38
1680031133,40
1680031134,45
1680031135,44
1680031136,40
1680031137,41
1680031138,49
1680031139,52
1680031140,49
1680031141,53
1680031142,51
1680031143,53
1680031144,48
1680031145,55
1680031146,50
1680031147,50
1680031148,51
1680031149,50
1680031150,52
1680031151,49
1680031152,51
1680031153,50
1680031154,47
1680031155,51
1680031156,51
1680031157,49
1680031158,48
1680031159,59
1680031160,59
1680031161,58
1680031162,54
1680031163,57
1680031164,57
1680031165,57
1680031166,56
1680031167,56
1680031168,42
1680031169,39
1680031170,41
1680031171,40
1680031172,40
1680031173,45
1680031174,44
1680031175,39
1680031176,42
1680031177,38
1680031178,41
1680031179,38
1680031180,43
1680031181,48
1680031182,43
1680031183,45
1680031184,49
1680031185,43
1680031186,47
1680031187,46
1680031188,45
1680031189,43
1680031190,48
1680031191,47
1680031192,44
1680031193,45
1680031194,43
1680031195,47
1680031196,42
1680031197,47
1680031198,44
1680031199,43
1680031200,41
1680031201,44
1680031202,42
1680031203,43
1680031204,44
1680031205,43
1680031206,45
1680031207,42
1680031208,40
1680031209,41
1680031210,43
1680031211,41
1680031212,45
1680031213,43
1680031214,44
1680031215,47
1680031216,157
1680031217,253
1680031218,248
1680031219,252
1680031220,182
1680031221,103
1680031222,102
1680031223,107
1680031224,107
1680031225,107
1680031226,108
1680031227,106
1680031228,109
1680031229,109
1680031230,108
1680031231,109
1680031232,109
1680031233,109
1680031234,109
1680031235,109
1680031236,109
1680031237,110
1680031238,110
1680031239,108
1680031240,107
1680031241,111
1680031242,111
1680031243,112
1680031244,114
1680031245,173
1680031246,255
1680031247,255
1680031248,250
1680031249,133
1680031250,150
1680031251,154
1680031252,152
1680031253,153
1680031254,152
1680031255,149
1680031256,149
1680031257,149
1680031258,153
1680031259,150
1680031260,151
1680031261,154
1680031262,153
1680031263,152
1680031264,152
1680031265,148
1680031266,153
1680031267,155
1680031268,155
1680031269,154
1680031270,155
1680031271,150
1680031272,150
1680031273,151
1680031274,233
1680031275,255
1680031276,255
1680031277,255
1680031278,139
1680031279,137
1680031280,134
1680031281,133
1680031282,134
1680031283,132
1680031284,132
1680031285,132
1680031286,132
1680031287,136
1680031288,136
1680031289,141
1680031290,145
1680031291,148
1680031292,151
1680031293,151
1680031294,152
1680031295,153
1680031296,153
1680031297,154
1680031298,155
1680031299,156
1680031300,156
1680031301,156
1680031302,156
1680031303,235
1680031304,256
1680031305,255
1680031306,254
1680031307,255
1680031308,254
1680031309,255
1680031310,204
1680031311,120
1680031312,131
1680031313,132
1680031314,131
1680031315,129
1680031316,129
1680031317,125
1680031318,124
1680031319,123
1680031320,122
1680031321,126
1680031322,125
1680031323,125
1680031324,127
1680031325,126
1680031326,125
1680031327,126
1680031328,126
1680031329,125
1680031330,125
1680031331,126
1680031332,127
1680031333,128
1680031334,128
1680031335,155
1680031336,255
1680031337,255
1680031338,255
1680031339,255
1680031340,253
1680031341,256
1680031342,255
1680031343,254
1680031344,151
1680031345,161
1680031346,162
1680031347,160
1680031348,161
1680031349,157
1680031350,164
1680031351,164
1680031352,164
1680031353,162
1680031354,162
1680031355,166
1680031356,162
1680031357,162
1680031358,160
1680031359,165
1680031360,170
1680031361,173
1680031362,173
1680031363,167
1680031364,154
1680031365,156
1680031366,160
1680031367,151
1680031368,146
1680031369,151
1680031370,156
1680031371,157
1680031372,149
1680031373,147
1680031374,143
1680031375,146
1680031376,148
1680031377,150
1680031378,153
1680031379,150
1680031380,158
1680031381,156
1680031382,154
1680031383,150
1680031384,151
1680031385,158
1680031386,164
1680031387,161
1680031388,163
1680031389,163
1680031390,158
1680031391,153
1680031392,150
1680031393,149
1680031394,153
1680031395,153
1680031396,153
1680031397,152
1680031398,155
1680031399,154
1680031400,153
1680031401,156
1680031402,154
1680031403,155
1680031404,159
1680031405,159
1680031406,154
1680031407,148
1680031408,149
1680031409,147
1680031410,150
1680031411,154
1680031412,154
1680031413,153
1680031414,152
1680031415,159
1680031416,159
1680031417,159
1680031418,156
1680031419,158
1680031420,158
1680031421,156
1680031422,158
1680031423,159
1680031424,172
1680031425,166
1680031426,161
1680031427,159
1680031428,155
1680031429,149
1680031430,146
1680031431,149
1680031432,149
1680031433,149
1680031434,150
1680031435,148
1680031436,144
1680031437,144
1680031438,145
1680031439,145
1680031440,147
1680031441,149
1680031442,169
1680031443,169
1680031444,161
1680031445,165
1680031446,163
1680031447,150
1680031448,144
1680031449,143
1680031450,146
1680031451,149
1680031452,147
1680031453,144
1680031454,143
1680031455,141
1680031456,140
1680031457,141
1680031458,139
1680031459,140
1680031460,142
1680031461,145
1680031462,143
1680031463,142
1680031464,140
1680031465,134
1680031466,135
1680031467,136
1680031468,124
1680031469,128
1680031470,129
1680031471,134
1680031472,138
1680031473,141
1680031474,141
1680031475,143
1680031476,136
1680031477,137
1680031478,138
1680031479,140
1680031480,140
1680031481,22
