time,FPS
1675360408,27
1675360409,43
1675360410,32
1675360411,47
1675360412,47
1675360413,43
1675360414,47
1675360415,43
1675360416,45
1675360417,46
1675360418,46
1675360419,42
1675360420,48
1675360421,43
1675360422,40
1675360423,40
1675360424,45
1675360425,41
1675360426,42
1675360427,48
1675360428,43
1675360429,45
1675360430,45
1675360431,47
1675360432,47
1675360433,44
1675360434,45
1675360435,48
1675360436,49
1675360437,43
1675360438,45
1675360439,47
1675360440,47
1675360441,45
1675360442,42
1675360443,44
1675360444,44
1675360445,45
1675360446,45
1675360447,48
1675360448,45
1675360449,47
1675360450,45
1675360451,48
1675360452,45
1675360453,44
1675360454,47
1675360455,57
1675360456,58
1675360457,54
1675360458,57
1675360459,57
1675360460,57
1675360461,56
1675360462,55
1675360463,55
1675360464,44
1675360465,42
1675360466,41
1675360467,41
1675360468,45
1675360469,42
1675360470,45
1675360471,43
1675360472,44
1675360473,40
1675360474,42
1675360475,46
1675360476,49
1675360477,49
1675360478,48
1675360479,44
1675360480,47
1675360481,45
1675360482,45
1675360483,43
1675360484,40
1675360485,45
1675360486,44
1675360487,40
1675360488,45
1675360489,40
1675360490,44
1675360491,46
1675360492,47
1675360493,47
1675360494,45
1675360495,46
1675360496,49
1675360497,42
1675360498,41
1675360499,47
1675360500,45
1675360501,44
1675360502,47
1675360503,42
1675360504,42
1675360505,40
1675360506,43
1675360507,48
1675360508,44
1675360509,46
1675360510,46
1675360511,43
1675360512,191
1675360513,255
1675360514,253
1675360515,255
1675360516,135
1675360517,123
1675360518,124
1675360519,123
1675360520,122
1675360521,122
1675360522,123
1675360523,120
1675360524,125
1675360525,127
1675360526,125
1675360527,128
1675360528,126
1675360529,127
1675360530,127
1675360531,129
1675360532,126
1675360533,125
1675360534,130
1675360535,130
1675360536,132
1675360537,132
1675360538,132
1675360539,132
1675360540,132
1675360541,219
1675360542,256
1675360543,256
1675360544,255
1675360545,126
1675360546,156
1675360547,154
1675360548,155
1675360549,155
1675360550,154
1675360551,154
1675360552,151
1675360553,153
1675360554,154
1675360555,152
1675360556,153
1675360557,155
1675360558,156
1675360559,153
1675360560,151
1675360561,153
1675360562,153
1675360563,155
1675360564,156
1675360565,156
1675360566,158
1675360567,156
1675360568,155
1675360569,153
1675360570,242
1675360571,256
1675360572,254
1675360573,165
1675360574,145
1675360575,140
1675360576,141
1675360577,139
1675360578,138
1675360579,138
1675360580,137
1675360581,138
1675360582,140
1675360583,141
1675360584,143
1675360585,148
1675360586,153
1675360587,154
1675360588,155
1675360589,156
1675360590,156
1675360591,156
1675360592,158
1675360593,159
1675360594,159
1675360595,160
1675360596,160
1675360597,160
1675360598,214
1675360599,255
1675360600,256
1675360601,250
1675360602,255
1675360603,242
1675360604,96
1675360605,131
1675360606,129
1675360607,129
1675360608,128
1675360609,127
1675360610,127
1675360611,124
1675360612,123
1675360613,125
1675360614,125
1675360615,126
1675360616,126
1675360617,127
1675360618,126
1675360619,126
1675360620,129
1675360621,128
1675360622,128
1675360623,128
1675360624,130
1675360625,129
1675360626,131
1675360627,130
1675360628,139
1675360629,255
1675360630,256
1675360631,255
1675360632,256
1675360633,254
1675360634,255
1675360635,154
1675360636,158
1675360637,161
1675360638,161
1675360639,161
1675360640,160
1675360641,161
1675360642,161
1675360643,163
1675360644,161
1675360645,160
1675360646,163
1675360647,162
1675360648,160
1675360649,162
1675360650,167
1675360651,170
1675360652,174
1675360653,176
1675360654,159
1675360655,153
1675360656,159
1675360657,155
1675360658,148
1675360659,146
1675360660,151
1675360661,154
1675360662,155
1675360663,147
1675360664,143
1675360665,144
1675360666,145
1675360667,148
1675360668,150
1675360669,149
1675360670,150
1675360671,158
1675360672,159
1675360673,152
1675360674,153
1675360675,152
1675360676,163
1675360677,166
1675360678,164
1675360679,166
1675360680,164
1675360681,158
1675360682,155
1675360683,144
1675360684,147
1675360685,152
1675360686,150
1675360687,152
1675360688,154
1675360689,157
1675360690,152
1675360691,151
1675360692,153
1675360693,154
1675360694,159
1675360695,157
1675360696,158
1675360697,151
1675360698,148
1675360699,149
1675360700,148
1675360701,152
1675360702,156
1675360703,155
1675360704,153
1675360705,156
1675360706,161
1675360707,159
1675360708,156
1675360709,157
1675360710,158
1675360711,157
1675360712,157
1675360713,160
1675360714,160
1675360715,165
1675360716,155
1675360717,150
1675360718,144
1675360719,141
1675360720,143
1675360721,145
1675360722,145
1675360723,146
1675360724,141
1675360725,146
1675360726,146
1675360727,148
1675360728,148
1675360729,149
1675360730,147
1675360731,147
1675360732,148
1675360733,147
1675360734,164
1675360735,159
1675360736,158
1675360737,157
1675360738,156
1675360739,156
1675360740,155
1675360741,148
1675360742,145
1675360743,144
1675360744,146
1675360745,147
1675360746,146
1675360747,143
1675360748,142
1675360749,143
1675360750,139
1675360751,140
1675360752,138
1675360753,140
1675360754,143
1675360755,144
1675360756,140
1675360757,141
1675360758,136
1675360759,133
1675360760,133
1675360761,134
1675360762,132
1675360763,133
1675360764,134
1675360765,135
1675360766,136
1675360767,141
1675360768,144
1675360769,145
1675360770,138
1675360771,141
1675360772,139
1675360773,142
1675360774,143
1675360775,145
1675360776,65
