time,FPS
1677192232,48
1677192233,31
1677192234,44
1677192235,43
1677192236,47
1677192237,44
1677192238,41
1677192239,41
1677192240,42
1677192241,42
1677192242,43
1677192243,40
1677192244,42
1677192245,47
1677192246,40
1677192247,42
1677192248,41
1677192249,45
1677192250,44
1677192251,44
1677192252,44
1677192253,43
1677192254,42
1677192255,44
1677192256,46
1677192257,43
1677192258,44
1677192259,49
1677192260,42
1677192261,42
1677192262,45
1677192263,47
1677192264,43
1677192265,41
1677192266,44
1677192267,43
1677192268,43
1677192269,42
1677192270,42
1677192271,45
1677192272,46
1677192273,46
1677192274,47
1677192275,42
1677192276,43
1677192277,49
1677192278,56
1677192279,55
1677192280,53
1677192281,54
1677192282,55
1677192283,54
1677192284,53
1677192285,53
1677192286,47
1677192287,41
1677192288,47
1677192289,45
1677192290,41
1677192291,42
1677192292,45
1677192293,43
1677192294,48
1677192295,45
1677192296,45
1677192297,45
1677192298,50
1677192299,52
1677192300,46
1677192301,46
1677192302,47
1677192303,50
1677192304,47
1677192305,46
1677192306,45
1677192307,42
1677192308,45
1677192309,45
1677192310,46
1677192311,45
1677192312,48
1677192313,44
1677192314,43
1677192315,46
1677192316,47
1677192317,43
1677192318,42
1677192319,46
1677192320,45
1677192321,49
1677192322,44
1677192323,46
1677192324,40
1677192325,45
1677192326,46
1677192327,45
1677192328,43
1677192329,42
1677192330,41
1677192331,44
1677192332,45
1677192333,44
1677192334,69
1677192335,256
1677192336,253
1677192337,256
1677192338,255
1677192339,97
1677192340,125
1677192341,125
1677192342,125
1677192343,128
1677192344,129
1677192345,130
1677192346,129
1677192347,126
1677192348,124
1677192349,127
1677192350,128
1677192351,128
1677192352,127
1677192353,124
1677192354,129
1677192355,125
1677192356,126
1677192357,130
1677192358,129
1677192359,127
1677192360,128
1677192361,129
1677192362,131
1677192363,131
1677192364,245
1677192365,255
1677192366,256
1677192367,255
1677192368,122
1677192369,157
1677192370,153
1677192371,155
1677192372,154
1677192373,154
1677192374,154
1677192375,154
1677192376,154
1677192377,154
1677192378,153
1677192379,151
1677192380,153
1677192381,154
1677192382,151
1677192383,151
1677192384,151
1677192385,150
1677192386,151
1677192387,156
1677192388,152
1677192389,156
1677192390,158
1677192391,158
1677192392,160
1677192393,248
1677192394,256
1677192395,256
1677192396,174
1677192397,143
1677192398,136
1677192399,136
1677192400,136
1677192401,135
1677192402,134
1677192403,134
1677192404,133
1677192405,136
1677192406,137
1677192407,139
1677192408,144
1677192409,148
1677192410,150
1677192411,151
1677192412,151
1677192413,151
1677192414,152
1677192415,153
1677192416,154
1677192417,155
1677192418,155
1677192419,156
1677192420,155
1677192421,202
1677192422,255
1677192423,256
1677192424,255
1677192425,256
1677192426,255
1677192427,255
1677192428,99
1677192429,130
1677192430,131
1677192431,131
1677192432,130
1677192433,129
1677192434,126
1677192435,124
1677192436,123
1677192437,122
1677192438,124
1677192439,125
1677192440,125
1677192441,127
1677192442,126
1677192443,123
1677192444,127
1677192445,126
1677192446,126
1677192447,124
1677192448,128
1677192449,128
1677192450,129
1677192451,128
1677192452,128
1677192453,239
1677192454,256
1677192455,254
1677192456,256
1677192457,255
1677192458,254
1677192459,164
1677192460,159
1677192461,159
1677192462,160
1677192463,157
1677192464,159
1677192465,162
1677192466,160
1677192467,161
1677192468,162
1677192469,162
1677192470,162
1677192471,162
1677192472,158
1677192473,159
1677192474,158
1677192475,166
1677192476,169
1677192477,173
1677192478,172
1677192479,155
1677192480,155
1677192481,160
1677192482,150
1677192483,146
1677192484,148
1677192485,153
1677192486,157
1677192487,152
1677192488,145
1677192489,142
1677192490,146
1677192491,149
1677192492,148
1677192493,150
1677192494,149
1677192495,156
1677192496,159
1677192497,158
1677192498,154
1677192499,153
1677192500,156
1677192501,164
1677192502,166
1677192503,161
1677192504,165
1677192505,161
1677192506,155
1677192507,151
1677192508,146
1677192509,150
1677192510,151
1677192511,152
1677192512,152
1677192513,155
1677192514,155
1677192515,152
1677192516,157
1677192517,153
1677192518,156
1677192519,165
1677192520,157
1677192521,158
1677192522,151
1677192523,152
1677192524,151
1677192525,151
1677192526,156
1677192527,156
1677192528,156
1677192529,154
1677192530,160
1677192531,160
1677192532,155
1677192533,156
1677192534,156
1677192535,158
1677192536,158
1677192537,156
1677192538,164
1677192539,165
1677192540,161
1677192541,162
1677192542,154
1677192543,148
1677192544,147
1677192545,148
1677192546,146
1677192547,149
1677192548,151
1677192549,152
1677192550,153
1677192551,153
1677192552,146
1677192553,148
1677192554,149
1677192555,150
1677192556,149
1677192557,163
1677192558,164
1677192559,162
1677192560,161
1677192561,160
1677192562,158
1677192563,157
1677192564,148
1677192565,143
1677192566,142
1677192567,147
1677192568,147
1677192569,147
1677192570,142
1677192571,142
1677192572,142
1677192573,141
1677192574,138
1677192575,138
1677192576,140
1677192577,143
1677192578,144
1677192579,140
1677192580,141
1677192581,135
1677192582,132
1677192583,134
1677192584,132
1677192585,127
1677192586,129
1677192587,130
1677192588,136
1677192589,138
1677192590,140
1677192591,143
1677192592,145
1677192593,138
1677192594,141
1677192595,142
1677192596,145
1677192597,145
1677192598,122
