time,FPS
1678738895,41
1678738896,44
1678738897,23
1678738898,52
1678738899,45
1678738900,46
1678738901,48
1678738902,46
1678738903,46
1678738904,49
1678738905,50
1678738906,47
1678738907,51
1678738908,38
1678738909,40
1678738910,42
1678738911,40
1678738912,42
1678738913,43
1678738914,39
1678738915,38
1678738916,40
1678738917,48
1678738918,51
1678738919,50
1678738920,52
1678738921,51
1678738922,51
1678738923,51
1678738924,51
1678738925,51
1678738926,52
1678738927,52
1678738928,50
1678738929,50
1678738930,51
1678738931,51
1678738932,53
1678738933,51
1678738934,51
1678738935,50
1678738936,52
1678738937,50
1678738938,51
1678738939,52
1678738940,48
1678738941,58
1678738942,59
1678738943,58
1678738944,55
1678738945,58
1678738946,57
1678738947,57
1678738948,57
1678738949,55
1678738950,42
1678738951,40
1678738952,43
1678738953,39
1678738954,41
1678738955,43
1678738956,40
1678738957,39
1678738958,41
1678738959,43
1678738960,40
1678738961,41
1678738962,53
1678738963,50
1678738964,48
1678738965,48
1678738966,43
1678738967,41
1678738968,43
1678738969,49
1678738970,48
1678738971,49
1678738972,47
1678738973,51
1678738974,50
1678738975,53
1678738976,48
1678738977,45
1678738978,47
1678738979,46
1678738980,44
1678738981,50
1678738982,53
1678738983,44
1678738984,53
1678738985,49
1678738986,50
1678738987,51
1678738988,50
1678738989,48
1678738990,51
1678738991,50
1678738992,50
1678738993,48
1678738994,45
1678738995,47
1678738996,53
1678738997,53
1678738998,111
1678738999,144
1678739000,144
1678739001,144
1678739002,97
1678739003,107
1678739004,110
1678739005,110
1678739006,112
1678739007,112
1678739008,112
1678739009,113
1678739010,113
1678739011,110
1678739012,111
1678739013,110
1678739014,110
1678739015,111
1678739016,112
1678739017,114
1678739018,115
1678739019,115
1678739020,116
1678739021,117
1678739022,118
1678739023,115
1678739024,118
1678739025,119
1678739026,118
1678739027,135
1678739028,144
1678739029,144
1678739030,145
1678739031,106
1678739032,144
1678739033,144
1678739034,143
1678739035,145
1678739036,144
1678739037,144
1678739038,144
1678739039,144
1678739040,143
1678739041,145
1678739042,143
1678739043,144
1678739044,144
1678739045,141
1678739046,143
1678739047,145
1678739048,143
1678739049,144
1678739050,144
1678739051,144
1678739052,145
1678739053,144
1678739054,143
1678739055,143
1678739056,144
1678739057,144
1678739058,144
1678739059,116
1678739060,137
1678739061,132
1678739062,133
1678739063,132
1678739064,131
1678739065,129
1678739066,130
1678739067,131
1678739068,133
1678739069,134
1678739070,137
1678739071,141
1678739072,144
1678739073,144
1678739074,145
1678739075,143
1678739076,144
1678739077,145
1678739078,144
1678739079,143
1678739080,145
1678739081,143
1678739082,145
1678739083,144
1678739084,142
1678739085,144
1678739086,144
1678739087,144
1678739088,144
1678739089,139
1678739090,95
1678739091,128
1678739092,129
1678739093,127
1678739094,127
1678739095,126
1678739096,123
1678739097,122
1678739098,120
1678739099,121
1678739100,121
1678739101,122
1678739102,120
1678739103,124
1678739104,122
1678739105,123
1678739106,123
1678739107,125
1678739108,122
1678739109,124
1678739110,126
1678739111,125
1678739112,126
1678739113,125
1678739114,126
1678739115,140
1678739116,144
1678739117,142
1678739118,142
1678739119,144
1678739120,143
1678739121,145
1678739122,115
1678739123,143
1678739124,145
1678739125,143
1678739126,145
1678739127,143
1678739128,145
1678739129,143
1678739130,144
1678739131,144
1678739132,144
1678739133,145
1678739134,144
1678739135,144
1678739136,144
1678739137,144
1678739138,143
1678739139,145
1678739140,144
1678739141,144
1678739142,144
1678739143,144
1678739144,144
1678739145,144
1678739146,141
1678739147,144
1678739148,145
1678739149,144
1678739150,143
1678739151,141
1678739152,142
1678739153,139
1678739154,144
1678739155,144
1678739156,144
1678739157,144
1678739158,144
1678739159,144
1678739160,144
1678739161,144
1678739162,143
1678739163,144
1678739164,145
1678739165,144
1678739166,144
1678739167,144
1678739168,144
1678739169,144
1678739170,144
1678739171,143
1678739172,145
1678739173,144
1678739174,144
1678739175,144
1678739176,144
1678739177,144
1678739178,144
1678739179,144
1678739180,144
1678739181,143
1678739182,144
1678739183,145
1678739184,144
1678739185,144
1678739186,144
1678739187,144
1678739188,144
1678739189,144
1678739190,144
1678739191,144
1678739192,144
1678739193,144
1678739194,144
1678739195,144
1678739196,144
1678739197,144
1678739198,144
1678739199,144
1678739200,144
1678739201,144
1678739202,143
1678739203,145
1678739204,144
1678739205,144
1678739206,144
1678739207,142
1678739208,141
1678739209,143
1678739210,143
1678739211,144
1678739212,145
1678739213,143
1678739214,143
1678739215,143
1678739216,145
1678739217,143
1678739218,145
1678739219,143
1678739220,144
1678739221,144
1678739222,137
1678739223,144
1678739224,144
1678739225,144
1678739226,140
1678739227,140
1678739228,141
1678739229,141
1678739230,145
1678739231,141
1678739232,141
1678739233,139
1678739234,139
1678739235,137
1678739236,137
1678739237,135
1678739238,135
1678739239,138
1678739240,143
1678739241,137
1678739242,138
1678739243,135
1678739244,131
1678739245,130
1678739246,132
1678739247,123
1678739248,124
1678739249,124
1678739250,124
1678739251,127
1678739252,129
1678739253,132
1678739254,136
1678739255,129
1678739256,133
1678739257,132
1678739258,133
1678739259,134
1678739260,133
1678739261,134
1678739262,42
