time,FPS
1675128619,42
1675128620,33
1675128621,42
1675128622,44
1675128623,40
1675128624,43
1675128625,41
1675128626,43
1675128627,43
1675128628,46
1675128629,40
1675128630,45
1675128631,44
1675128632,41
1675128633,46
1675128634,43
1675128635,40
1675128636,45
1675128637,41
1675128638,44
1675128639,46
1675128640,47
1675128641,42
1675128642,47
1675128643,44
1675128644,45
1675128645,41
1675128646,44
1675128647,48
1675128648,45
1675128649,46
1675128650,42
1675128651,44
1675128652,44
1675128653,44
1675128654,41
1675128655,42
1675128656,46
1675128657,45
1675128658,43
1675128659,42
1675128660,46
1675128661,46
1675128662,43
1675128663,42
1675128664,46
1675128665,55
1675128666,55
1675128667,55
1675128668,52
1675128669,53
1675128670,53
1675128671,52
1675128672,52
1675128673,54
1675128674,44
1675128675,41
1675128676,44
1675128677,40
1675128678,41
1675128679,42
1675128680,41
1675128681,49
1675128682,45
1675128683,41
1675128684,42
1675128685,48
1675128686,44
1675128687,43
1675128688,46
1675128689,46
1675128690,47
1675128691,44
1675128692,46
1675128693,45
1675128694,45
1675128695,42
1675128696,43
1675128697,45
1675128698,44
1675128699,46
1675128700,45
1675128701,41
1675128702,45
1675128703,44
1675128704,41
1675128705,41
1675128706,46
1675128707,44
1675128708,45
1675128709,41
1675128710,45
1675128711,44
1675128712,44
1675128713,44
1675128714,47
1675128715,48
1675128716,44
1675128717,42
1675128718,41
1675128719,39
1675128720,44
1675128721,44
1675128722,125
1675128723,252
1675128724,252
1675128725,251
1675128726,211
1675128727,97
1675128728,110
1675128729,116
1675128730,119
1675128731,118
1675128732,118
1675128733,114
1675128734,117
1675128735,119
1675128736,117
1675128737,117
1675128738,117
1675128739,118
1675128740,117
1675128741,118
1675128742,118
1675128743,117
1675128744,119
1675128745,122
1675128746,121
1675128747,122
1675128748,123
1675128749,123
1675128750,124
1675128751,152
1675128752,256
1675128753,256
1675128754,254
1675128755,160
1675128756,150
1675128757,152
1675128758,155
1675128759,155
1675128760,153
1675128761,151
1675128762,157
1675128763,158
1675128764,158
1675128765,158
1675128766,156
1675128767,156
1675128768,160
1675128769,156
1675128770,152
1675128771,153
1675128772,151
1675128773,157
1675128774,158
1675128775,159
1675128776,159
1675128777,160
1675128778,156
1675128779,156
1675128780,220
1675128781,249
1675128782,256
1675128783,206
1675128784,146
1675128785,138
1675128786,138
1675128787,138
1675128788,135
1675128789,136
1675128790,136
1675128791,135
1675128792,137
1675128793,138
1675128794,141
1675128795,144
1675128796,149
1675128797,151
1675128798,153
1675128799,153
1675128800,153
1675128801,155
1675128802,155
1675128803,155
1675128804,158
1675128805,157
1675128806,158
1675128807,158
1675128808,178
1675128809,256
1675128810,256
1675128811,255
1675128812,255
1675128813,255
1675128814,136
1675128815,126
1675128816,130
1675128817,128
1675128818,126
1675128819,126
1675128820,124
1675128821,121
1675128822,120
1675128823,120
1675128824,120
1675128825,123
1675128826,123
1675128827,125
1675128828,122
1675128829,124
1675128830,125
1675128831,125
1675128832,126
1675128833,124
1675128834,125
1675128835,125
1675128836,127
1675128837,127
1675128838,125
1675128839,217
1675128840,255
1675128841,255
1675128842,256
1675128843,253
1675128844,254
1675128845,255
1675128846,143
1675128847,160
1675128848,161
1675128849,156
1675128850,159
1675128851,161
1675128852,164
1675128853,162
1675128854,160
1675128855,161
1675128856,161
1675128857,160
1675128858,161
1675128859,161
1675128860,161
1675128861,168
1675128862,166
1675128863,173
1675128864,175
1675128865,155
1675128866,152
1675128867,159
1675128868,151
1675128869,147
1675128870,144
1675128871,152
1675128872,156
1675128873,153
1675128874,146
1675128875,146
1675128876,146
1675128877,147
1675128878,148
1675128879,150
1675128880,150
1675128881,150
1675128882,160
1675128883,157
1675128884,156
1675128885,152
1675128886,151
1675128887,162
1675128888,163
1675128889,165
1675128890,158
1675128891,164
1675128892,154
1675128893,156
1675128894,150
1675128895,147
1675128896,152
1675128897,150
1675128898,152
1675128899,150
1675128900,152
1675128901,152
1675128902,151
1675128903,152
1675128904,151
1675128905,158
1675128906,157
1675128907,157
1675128908,155
1675128909,150
1675128910,150
1675128911,149
1675128912,151
1675128913,155
1675128914,155
1675128915,154
1675128916,153
1675128917,162
1675128918,161
1675128919,158
1675128920,159
1675128921,157
1675128922,158
1675128923,158
1675128924,159
1675128925,169
1675128926,168
1675128927,158
1675128928,161
1675128929,156
1675128930,152
1675128931,147
1675128932,144
1675128933,146
1675128934,149
1675128935,149
1675128936,151
1675128937,152
1675128938,150
1675128939,148
1675128940,148
1675128941,149
1675128942,149
1675128943,151
1675128944,168
1675128945,161
1675128946,160
1675128947,159
1675128948,156
1675128949,156
1675128950,152
1675128951,144
1675128952,142
1675128953,144
1675128954,147
1675128955,145
1675128956,143
1675128957,142
1675128958,142
1675128959,140
1675128960,139
1675128961,138
1675128962,139
1675128963,141
1675128964,144
1675128965,141
1675128966,142
1675128967,139
1675128968,134
1675128969,132
1675128970,136
1675128971,132
1675128972,133
1675128973,134
1675128974,137
1675128975,140
1675128976,144
1675128977,146
1675128978,148
1675128979,142
1675128980,141
1675128981,139
1675128982,145
1675128983,144
1675128984,145
1675128985,145
1675128986,144
1675128987,86
