time,FPS
1679336717,1
1679336718,40
1679336719,39
1679336720,28
1679336721,50
1679336722,42
1679336723,44
1679336724,43
1679336725,46
1679336726,46
1679336727,43
1679336728,46
1679336729,44
1679336730,47
1679336731,46
1679336732,42
1679336733,44
1679336734,49
1679336735,49
1679336736,42
1679336737,45
1679336738,49
1679336739,41
1679336740,56
1679336741,56
1679336742,53
1679336743,55
1679336744,53
1679336745,53
1679336746,53
1679336747,56
1679336748,53
1679336749,52
1679336750,54
1679336751,56
1679336752,58
1679336753,52
1679336754,53
1679336755,52
1679336756,52
1679336757,51
1679336758,55
1679336759,55
1679336760,53
1679336761,50
1679336762,58
1679336763,57
1679336764,58
1679336765,55
1679336766,57
1679336767,58
1679336768,56
1679336769,57
1679336770,57
1679336771,48
1679336772,42
1679336773,43
1679336774,41
1679336775,42
1679336776,46
1679336777,43
1679336778,47
1679336779,45
1679336780,40
1679336781,47
1679336782,45
1679336783,45
1679336784,45
1679336785,54
1679336786,50
1679336787,50
1679336788,45
1679336789,48
1679336790,44
1679336791,46
1679336792,51
1679336793,47
1679336794,51
1679336795,48
1679336796,50
1679336797,51
1679336798,46
1679336799,53
1679336800,52
1679336801,52
1679336802,49
1679336803,46
1679336804,52
1679336805,50
1679336806,52
1679336807,48
1679336808,46
1679336809,51
1679336810,48
1679336811,47
1679336812,49
1679336813,51
1679336814,51
1679336815,46
1679336816,47
1679336817,47
1679336818,46
1679336819,125
1679336820,251
1679336821,249
1679336822,252
1679336823,242
1679336824,91
1679336825,126
1679336826,125
1679336827,126
1679336828,129
1679336829,129
1679336830,126
1679336831,122
1679336832,126
1679336833,125
1679336834,125
1679336835,127
1679336836,127
1679336837,127
1679336838,127
1679336839,126
1679336840,123
1679336841,128
1679336842,130
1679336843,130
1679336844,131
1679336845,132
1679336846,131
1679336847,132
1679336848,141
1679336849,255
1679336850,255
1679336851,255
1679336852,174
1679336853,137
1679336854,155
1679336855,150
1679336856,155
1679336857,156
1679336858,153
1679336859,155
1679336860,154
1679336861,154
1679336862,154
1679336863,152
1679336864,152
1679336865,156
1679336866,152
1679336867,151
1679336868,151
1679336869,152
1679336870,151
1679336871,148
1679336872,153
1679336873,154
1679336874,152
1679336875,152
1679336876,148
1679336877,202
1679336878,255
1679336879,255
1679336880,253
1679336881,125
1679336882,134
1679336883,136
1679336884,134
1679336885,133
1679336886,134
1679336887,131
1679336888,133
1679336889,133
1679336890,136
1679336891,139
1679336892,143
1679336893,147
1679336894,150
1679336895,151
1679336896,152
1679336897,153
1679336898,154
1679336899,153
1679336900,155
1679336901,155
1679336902,156
1679336903,156
1679336904,157
1679336905,158
1679336906,255
1679336907,255
1679336908,255
1679336909,255
1679336910,255
1679336911,255
1679336912,253
1679336913,182
1679336914,119
1679336915,130
1679336916,132
1679336917,130
1679336918,127
1679336919,126
1679336920,124
1679336921,122
1679336922,122
1679336923,122
1679336924,124
1679336925,124
1679336926,126
1679336927,125
1679336928,125
1679336929,125
1679336930,126
1679336931,126
1679336932,124
1679336933,125
1679336934,126
1679336935,129
1679336936,128
1679336937,127
1679336938,175
1679336939,255
1679336940,255
1679336941,255
1679336942,254
1679336943,255
1679336944,256
1679336945,255
1679336946,254
1679336947,233
1679336948,126
1679336949,159
1679336950,159
1679336951,160
1679336952,161
1679336953,162
1679336954,164
1679336955,162
1679336956,158
1679336957,164
1679336958,164
1679336959,163
1679336960,162
1679336961,160
1679336962,165
1679336963,166
1679336964,170
1679336965,173
1679336966,168
1679336967,154
1679336968,154
1679336969,159
1679336970,151
1679336971,145
1679336972,146
1679336973,154
1679336974,155
1679336975,152
1679336976,147
1679336977,147
1679336978,143
1679336979,147
1679336980,150
1679336981,152
1679336982,150
1679336983,155
1679336984,159
1679336985,153
1679336986,153
1679336987,154
1679336988,159
1679336989,165
1679336990,166
1679336991,165
1679336992,166
1679336993,163
1679336994,155
1679336995,152
1679336996,145
1679336997,150
1679336998,153
1679336999,153
1679337000,152
1679337001,154
1679337002,157
1679337003,150
1679337004,153
1679337005,152
1679337006,156
1679337007,160
1679337008,159
1679337009,155
1679337010,151
1679337011,152
1679337012,147
1679337013,148
1679337014,153
1679337015,156
1679337016,155
1679337017,153
1679337018,161
1679337019,162
1679337020,159
1679337021,158
1679337022,156
1679337023,158
1679337024,157
1679337025,155
1679337026,164
1679337027,163
1679337028,159
1679337029,157
1679337030,156
1679337031,152
1679337032,147
1679337033,147
1679337034,147
1679337035,148
1679337036,147
1679337037,149
1679337038,150
1679337039,151
1679337040,146
1679337041,146
1679337042,148
1679337043,149
1679337044,148
1679337045,162
1679337046,164
1679337047,159
1679337048,152
1679337049,158
1679337050,155
1679337051,154
1679337052,147
1679337053,145
1679337054,142
1679337055,145
1679337056,147
1679337057,145
1679337058,144
1679337059,144
1679337060,143
1679337061,142
1679337062,141
1679337063,141
1679337064,143
1679337065,146
1679337066,146
1679337067,140
1679337068,143
1679337069,138
1679337070,134
1679337071,135
1679337072,132
1679337073,129
1679337074,128
1679337075,130
1679337076,132
1679337077,138
1679337078,141
1679337079,141
1679337080,143
1679337081,134
1679337082,140
1679337083,84
