time,FPS
1674781882,32
1674781883,46
1674781884,27
1674781885,49
1674781886,47
1674781887,46
1674781888,50
1674781889,47
1674781890,48
1674781891,44
1674781892,47
1674781893,47
1674781894,47
1674781895,43
1674781896,43
1674781897,46
1674781898,47
1674781899,43
1674781900,44
1674781901,42
1674781902,46
1674781903,44
1674781904,51
1674781905,52
1674781906,52
1674781907,52
1674781908,54
1674781909,51
1674781910,53
1674781911,53
1674781912,52
1674781913,53
1674781914,51
1674781915,54
1674781916,54
1674781917,53
1674781918,51
1674781919,54
1674781920,50
1674781921,51
1674781922,49
1674781923,52
1674781924,52
1674781925,51
1674781926,52
1674781927,59
1674781928,59
1674781929,55
1674781930,58
1674781931,59
1674781932,58
1674781933,58
1674781934,58
1674781935,52
1674781936,45
1674781937,40
1674781938,47
1674781939,41
1674781940,47
1674781941,40
1674781942,41
1674781943,45
1674781944,42
1674781945,46
1674781946,43
1674781947,46
1674781948,48
1674781949,45
1674781950,44
1674781951,47
1674781952,50
1674781953,45
1674781954,45
1674781955,49
1674781956,45
1674781957,44
1674781958,53
1674781959,49
1674781960,46
1674781961,45
1674781962,45
1674781963,46
1674781964,47
1674781965,51
1674781966,46
1674781967,49
1674781968,44
1674781969,48
1674781970,48
1674781971,46
1674781972,48
1674781973,46
1674781974,45
1674781975,42
1674781976,42
1674781977,49
1674781978,49
1674781979,43
1674781980,45
1674781981,47
1674781982,47
1674781983,46
1674781984,223
1674781985,254
1674781986,248
1674781987,254
1674781988,124
1674781989,124
1674781990,121
1674781991,125
1674781992,127
1674781993,126
1674781994,126
1674781995,128
1674781996,130
1674781997,128
1674781998,129
1674781999,128
1674782000,129
1674782001,124
1674782002,124
1674782003,126
1674782004,129
1674782005,130
1674782006,130
1674782007,130
1674782008,131
1674782009,133
1674782010,131
1674782011,131
1674782012,128
1674782013,236
1674782014,255
1674782015,253
1674782016,221
1674782017,116
1674782018,152
1674782019,152
1674782020,149
1674782021,153
1674782022,150
1674782023,151
1674782024,150
1674782025,149
1674782026,149
1674782027,148
1674782028,146
1674782029,149
1674782030,148
1674782031,145
1674782032,146
1674782033,146
1674782034,148
1674782035,149
1674782036,150
1674782037,150
1674782038,151
1674782039,149
1674782040,149
1674782041,172
1674782042,255
1674782043,255
1674782044,256
1674782045,162
1674782046,138
1674782047,134
1674782048,135
1674782049,133
1674782050,133
1674782051,133
1674782052,133
1674782053,133
1674782054,136
1674782055,138
1674782056,140
1674782057,143
1674782058,148
1674782059,150
1674782060,150
1674782061,150
1674782062,151
1674782063,151
1674782064,153
1674782065,153
1674782066,154
1674782067,154
1674782068,155
1674782069,155
1674782070,223
1674782071,255
1674782072,255
1674782073,255
1674782074,255
1674782075,226
1674782076,102
1674782077,131
1674782078,132
1674782079,132
1674782080,129
1674782081,127
1674782082,125
1674782083,123
1674782084,122
1674782085,122
1674782086,123
1674782087,123
1674782088,124
1674782089,125
1674782090,124
1674782091,125
1674782092,126
1674782093,125
1674782094,126
1674782095,125
1674782096,126
1674782097,125
1674782098,128
1674782099,128
1674782100,145
1674782101,254
1674782102,256
1674782103,254
1674782104,256
1674782105,254
1674782106,252
1674782107,175
1674782108,159
1674782109,160
1674782110,161
1674782111,159
1674782112,156
1674782113,163
1674782114,163
1674782115,163
1674782116,163
1674782117,163
1674782118,163
1674782119,160
1674782120,161
1674782121,162
1674782122,162
1674782123,169
1674782124,173
1674782125,174
1674782126,166
1674782127,152
1674782128,159
1674782129,157
1674782130,149
1674782131,143
1674782132,152
1674782133,156
1674782134,157
1674782135,150
1674782136,149
1674782137,146
1674782138,142
1674782139,148
1674782140,147
1674782141,152
1674782142,149
1674782143,158
1674782144,156
1674782145,157
1674782146,153
1674782147,154
1674782148,159
1674782149,160
1674782150,164
1674782151,161
1674782152,164
1674782153,159
1674782154,154
1674782155,151
1674782156,147
1674782157,151
1674782158,153
1674782159,155
1674782160,154
1674782161,154
1674782162,159
1674782163,150
1674782164,156
1674782165,152
1674782166,157
1674782167,160
1674782168,157
1674782169,154
1674782170,146
1674782171,148
1674782172,147
1674782173,149
1674782174,151
1674782175,152
1674782176,153
1674782177,153
1674782178,162
1674782179,157
1674782180,158
1674782181,157
1674782182,157
1674782183,158
1674782184,156
1674782185,158
1674782186,161
1674782187,158
1674782188,161
1674782189,159
1674782190,155
1674782191,153
1674782192,151
1674782193,149
1674782194,147
1674782195,150
1674782196,151
1674782197,151
1674782198,152
1674782199,148
1674782200,146
1674782201,147
1674782202,147
1674782203,148
1674782204,153
1674782205,166
1674782206,161
1674782207,152
1674782208,158
1674782209,155
1674782210,155
1674782211,148
1674782212,145
1674782213,143
1674782214,147
1674782215,149
1674782216,147
1674782217,145
1674782218,143
1674782219,144
1674782220,141
1674782221,140
1674782222,139
1674782223,139
1674782224,144
1674782225,145
1674782226,140
1674782227,142
1674782228,136
1674782229,134
1674782230,133
1674782231,133
1674782232,129
1674782233,130
1674782234,132
1674782235,132
1674782236,136
1674782237,138
1674782238,138
1674782239,140
1674782240,133
1674782241,141
1674782242,134
1674782243,139
1674782244,138
1674782245,139
1674782246,139
1674782247,139
1674782248,123
