time,FPS
1674691026,24
1674691027,44
1674691028,32
1674691029,45
1674691030,42
1674691031,45
1674691032,46
1674691033,42
1674691034,49
1674691035,46
1674691036,43
1674691037,43
1674691038,46
1674691039,45
1674691040,43
1674691041,43
1674691042,43
1674691043,42
1674691044,47
1674691045,42
1674691046,43
1674691047,42
1674691048,49
1674691049,44
1674691050,46
1674691051,48
1674691052,47
1674691053,43
1674691054,41
1674691055,43
1674691056,46
1674691057,45
1674691058,46
1674691059,45
1674691060,44
1674691061,44
1674691062,43
1674691063,45
1674691064,47
1674691065,42
1674691066,47
1674691067,47
1674691068,47
1674691069,44
1674691070,46
1674691071,47
1674691072,47
1674691073,57
1674691074,57
1674691075,56
1674691076,55
1674691077,57
1674691078,57
1674691079,57
1674691080,56
1674691081,56
1674691082,40
1674691083,44
1674691084,43
1674691085,45
1674691086,42
1674691087,46
1674691088,42
1674691089,45
1674691090,46
1674691091,40
1674691092,49
1674691093,46
1674691094,49
1674691095,46
1674691096,46
1674691097,42
1674691098,45
1674691099,47
1674691100,43
1674691101,47
1674691102,46
1674691103,42
1674691104,47
1674691105,46
1674691106,43
1674691107,48
1674691108,46
1674691109,44
1674691110,45
1674691111,48
1674691112,45
1674691113,48
1674691114,40
1674691115,40
1674691116,46
1674691117,47
1674691118,45
1674691119,48
1674691120,44
1674691121,45
1674691122,46
1674691123,46
1674691124,46
1674691125,43
1674691126,41
1674691127,45
1674691128,42
1674691129,46
1674691130,175
1674691131,248
1674691132,251
1674691133,256
1674691134,149
1674691135,115
1674691136,116
1674691137,120
1674691138,120
1674691139,120
1674691140,120
1674691141,121
1674691142,121
1674691143,118
1674691144,120
1674691145,121
1674691146,118
1674691147,117
1674691148,117
1674691149,118
1674691150,117
1674691151,115
1674691152,116
1674691153,117
1674691154,112
1674691155,117
1674691156,118
1674691157,118
1674691158,118
1674691159,188
1674691160,255
1674691161,246
1674691162,255
1674691163,129
1674691164,154
1674691165,157
1674691166,152
1674691167,156
1674691168,149
1674691169,154
1674691170,156
1674691171,155
1674691172,151
1674691173,150
1674691174,152
1674691175,149
1674691176,153
1674691177,151
1674691178,153
1674691179,154
1674691180,154
1674691181,155
1674691182,156
1674691183,152
1674691184,153
1674691185,155
1674691186,158
1674691187,159
1674691188,235
1674691189,256
1674691190,255
1674691191,194
1674691192,142
1674691193,136
1674691194,135
1674691195,134
1674691196,133
1674691197,134
1674691198,134
1674691199,133
1674691200,134
1674691201,137
1674691202,137
1674691203,141
1674691204,145
1674691205,146
1674691206,147
1674691207,148
1674691208,148
1674691209,148
1674691210,148
1674691211,152
1674691212,151
1674691213,154
1674691214,154
1674691215,153
1674691216,187
1674691217,255
1674691218,255
1674691219,248
1674691220,255
1674691221,256
1674691222,166
1674691223,125
1674691224,132
1674691225,131
1674691226,132
1674691227,130
1674691228,123
1674691229,124
1674691230,124
1674691231,123
1674691232,124
1674691233,125
1674691234,124
1674691235,128
1674691236,126
1674691237,127
1674691238,127
1674691239,128
1674691240,125
1674691241,126
1674691242,127
1674691243,128
1674691244,127
1674691245,129
1674691246,128
1674691247,188
1674691248,256
1674691249,255
1674691250,256
1674691251,255
1674691252,255
1674691253,255
1674691254,147
1674691255,160
1674691256,160
1674691257,160
1674691258,159
1674691259,158
1674691260,162
1674691261,163
1674691262,162
1674691263,162
1674691264,158
1674691265,161
1674691266,158
1674691267,158
1674691268,163
1674691269,166
1674691270,169
1674691271,172
1674691272,174
1674691273,155
1674691274,152
1674691275,161
1674691276,151
1674691277,147
1674691278,146
1674691279,152
1674691280,153
1674691281,154
1674691282,145
1674691283,147
1674691284,148
1674691285,148
1674691286,149
1674691287,151
1674691288,151
1674691289,153
1674691290,160
1674691291,158
1674691292,151
1674691293,150
1674691294,154
1674691295,163
1674691296,162
1674691297,158
1674691298,165
1674691299,162
1674691300,154
1674691301,154
1674691302,148
1674691303,148
1674691304,152
1674691305,151
1674691306,152
1674691307,155
1674691308,156
1674691309,155
1674691310,154
1674691311,153
1674691312,156
1674691313,162
1674691314,156
1674691315,159
1674691316,153
1674691317,150
1674691318,149
1674691319,149
1674691320,152
1674691321,153
1674691322,152
1674691323,149
1674691324,152
1674691325,156
1674691326,156
1674691327,157
1674691328,154
1674691329,158
1674691330,159
1674691331,159
1674691332,158
1674691333,156
1674691334,156
1674691335,159
1674691336,157
1674691337,146
1674691338,141
1674691339,142
1674691340,142
1674691341,141
1674691342,143
1674691343,145
1674691344,146
1674691345,148
1674691346,151
1674691347,145
1674691348,143
1674691349,145
1674691350,146
1674691351,144
1674691352,153
1674691353,167
1674691354,160
1674691355,158
1674691356,157
1674691357,156
1674691358,152
1674691359,149
1674691360,141
1674691361,140
1674691362,142
1674691363,145
1674691364,145
1674691365,141
1674691366,141
1674691367,141
1674691368,140
1674691369,139
1674691370,137
1674691371,139
1674691372,141
1674691373,144
1674691374,142
1674691375,139
1674691376,138
1674691377,133
1674691378,133
1674691379,135
1674691380,127
1674691381,129
1674691382,133
1674691383,135
1674691384,140
1674691385,144
1674691386,145
1674691387,148
1674691388,139
1674691389,139
1674691390,141
1674691391,144
1674691392,144
1674691393,145
1674691394,143
1674691395,26
