time,FPS
1675806171,4
1675806172,48
1675806173,39
1675806174,35
1675806175,47
1675806176,46
1675806177,48
1675806178,48
1675806179,46
1675806180,50
1675806181,47
1675806182,45
1675806183,48
1675806184,47
1675806185,42
1675806186,41
1675806187,47
1675806188,41
1675806189,45
1675806190,43
1675806191,45
1675806192,46
1675806193,48
1675806194,55
1675806195,53
1675806196,55
1675806197,50
1675806198,52
1675806199,55
1675806200,53
1675806201,52
1675806202,52
1675806203,56
1675806204,56
1675806205,51
1675806206,55
1675806207,49
1675806208,55
1675806209,53
1675806210,51
1675806211,54
1675806212,51
1675806213,50
1675806214,50
1675806215,49
1675806216,45
1675806217,58
1675806218,58
1675806219,58
1675806220,55
1675806221,57
1675806222,57
1675806223,57
1675806224,57
1675806225,57
1675806226,44
1675806227,39
1675806228,40
1675806229,41
1675806230,45
1675806231,44
1675806232,41
1675806233,41
1675806234,44
1675806235,43
1675806236,42
1675806237,43
1675806238,45
1675806239,44
1675806240,45
1675806241,43
1675806242,46
1675806243,45
1675806244,47
1675806245,45
1675806246,47
1675806247,47
1675806248,48
1675806249,47
1675806250,49
1675806251,48
1675806252,47
1675806253,43
1675806254,50
1675806255,44
1675806256,46
1675806257,47
1675806258,47
1675806259,47
1675806260,45
1675806261,46
1675806262,47
1675806263,49
1675806264,47
1675806265,51
1675806266,44
1675806267,45
1675806268,46
1675806269,46
1675806270,48
1675806271,47
1675806272,51
1675806273,48
1675806274,123
1675806275,251
1675806276,251
1675806277,252
1675806278,178
1675806279,124
1675806280,127
1675806281,130
1675806282,130
1675806283,129
1675806284,129
1675806285,127
1675806286,130
1675806287,123
1675806288,127
1675806289,127
1675806290,126
1675806291,128
1675806292,127
1675806293,129
1675806294,128
1675806295,127
1675806296,126
1675806297,127
1675806298,131
1675806299,132
1675806300,130
1675806301,132
1675806302,131
1675806303,184
1675806304,256
1675806305,255
1675806306,254
1675806307,152
1675806308,148
1675806309,151
1675806310,153
1675806311,151
1675806312,149
1675806313,149
1675806314,151
1675806315,152
1675806316,155
1675806317,150
1675806318,148
1675806319,153
1675806320,157
1675806321,153
1675806322,152
1675806323,153
1675806324,153
1675806325,154
1675806326,155
1675806327,155
1675806328,156
1675806329,156
1675806330,157
1675806331,157
1675806332,222
1675806333,255
1675806334,250
1675806335,190
1675806336,144
1675806337,136
1675806338,136
1675806339,135
1675806340,135
1675806341,135
1675806342,133
1675806343,135
1675806344,137
1675806345,136
1675806346,141
1675806347,145
1675806348,149
1675806349,152
1675806350,152
1675806351,153
1675806352,154
1675806353,154
1675806354,155
1675806355,157
1675806356,156
1675806357,158
1675806358,158
1675806359,158
1675806360,200
1675806361,254
1675806362,256
1675806363,254
1675806364,251
1675806365,255
1675806366,180
1675806367,116
1675806368,133
1675806369,133
1675806370,132
1675806371,131
1675806372,130
1675806373,126
1675806374,125
1675806375,124
1675806376,126
1675806377,128
1675806378,128
1675806379,128
1675806380,129
1675806381,129
1675806382,129
1675806383,129
1675806384,129
1675806385,130
1675806386,129
1675806387,130
1675806388,131
1675806389,132
1675806390,129
1675806391,173
1675806392,255
1675806393,256
1675806394,255
1675806395,255
1675806396,254
1675806397,256
1675806398,170
1675806399,160
1675806400,161
1675806401,160
1675806402,157
1675806403,159
1675806404,163
1675806405,164
1675806406,163
1675806407,163
1675806408,163
1675806409,160
1675806410,160
1675806411,159
1675806412,161
1675806413,165
1675806414,171
1675806415,174
1675806416,175
1675806417,163
1675806418,153
1675806419,161
1675806420,157
1675806421,150
1675806422,147
1675806423,153
1675806424,158
1675806425,156
1675806426,148
1675806427,149
1675806428,143
1675806429,147
1675806430,148
1675806431,147
1675806432,151
1675806433,151
1675806434,155
1675806435,157
1675806436,157
1675806437,154
1675806438,152
1675806439,159
1675806440,162
1675806441,161
1675806442,163
1675806443,165
1675806444,158
1675806445,153
1675806446,151
1675806447,148
1675806448,153
1675806449,154
1675806450,155
1675806451,152
1675806452,157
1675806453,155
1675806454,154
1675806455,156
1675806456,155
1675806457,159
1675806458,158
1675806459,158
1675806460,150
1675806461,147
1675806462,149
1675806463,148
1675806464,151
1675806465,153
1675806466,153
1675806467,152
1675806468,152
1675806469,162
1675806470,159
1675806471,154
1675806472,156
1675806473,158
1675806474,157
1675806475,158
1675806476,158
1675806477,160
1675806478,168
1675806479,162
1675806480,156
1675806481,153
1675806482,148
1675806483,146
1675806484,146
1675806485,148
1675806486,150
1675806487,150
1675806488,151
1675806489,147
1675806490,146
1675806491,149
1675806492,149
1675806493,148
1675806494,148
1675806495,162
1675806496,166
1675806497,154
1675806498,159
1675806499,161
1675806500,159
1675806501,149
1675806502,144
1675806503,144
1675806504,147
1675806505,149
1675806506,148
1675806507,145
1675806508,143
1675806509,144
1675806510,142
1675806511,142
1675806512,141
1675806513,142
1675806514,145
1675806515,148
1675806516,142
1675806517,144
1675806518,139
1675806519,135
1675806520,135
1675806521,135
1675806522,125
1675806523,125
1675806524,127
1675806525,131
1675806526,133
1675806527,139
1675806528,141
1675806529,142
1675806530,133
1675806531,141
1675806532,136
1675806533,139
1675806534,140
1675806535,139
1675806536,140
1675806537,140
1675806538,117
