time,FPS
1679677659,50
1679677660,40
1679677661,31
1679677662,50
1679677663,44
1679677664,47
1679677665,46
1679677666,48
1679677667,48
1679677668,52
1679677669,47
1679677670,45
1679677671,49
1679677672,49
1679677673,41
1679677674,45
1679677675,46
1679677676,49
1679677677,44
1679677678,45
1679677679,45
1679677680,46
1679677681,52
1679677682,53
1679677683,53
1679677684,50
1679677685,54
1679677686,53
1679677687,51
1679677688,51
1679677689,54
1679677690,54
1679677691,53
1679677692,51
1679677693,53
1679677694,50
1679677695,53
1679677696,53
1679677697,53
1679677698,52
1679677699,52
1679677700,55
1679677701,53
1679677702,54
1679677703,58
1679677704,58
1679677705,55
1679677706,57
1679677707,57
1679677708,57
1679677709,57
1679677710,57
1679677711,45
1679677712,40
1679677713,41
1679677714,45
1679677715,40
1679677716,45
1679677717,44
1679677718,46
1679677719,45
1679677720,41
1679677721,46
1679677722,49
1679677723,49
1679677724,50
1679677725,47
1679677726,50
1679677727,51
1679677728,46
1679677729,52
1679677730,48
1679677731,50
1679677732,50
1679677733,51
1679677734,55
1679677735,52
1679677736,49
1679677737,49
1679677738,53
1679677739,47
1679677740,45
1679677741,49
1679677742,48
1679677743,46
1679677744,47
1679677745,44
1679677746,49
1679677747,48
1679677748,49
1679677749,48
1679677750,53
1679677751,49
1679677752,44
1679677753,51
1679677754,47
1679677755,46
1679677756,41
1679677757,43
1679677758,43
1679677759,104
1679677760,252
1679677761,248
1679677762,251
1679677763,251
1679677764,138
1679677765,188
1679677766,187
1679677767,186
1679677768,187
1679677769,186
1679677770,187
1679677771,184
1679677772,180
1679677773,178
1679677774,179
1679677775,179
1679677776,179
1679677777,178
1679677778,181
1679677779,181
1679677780,183
1679677781,183
1679677782,183
1679677783,184
1679677784,185
1679677785,186
1679677786,186
1679677787,187
1679677788,191
1679677789,255
1679677790,256
1679677791,255
1679677792,254
1679677793,163
1679677794,218
1679677795,216
1679677796,216
1679677797,219
1679677798,217
1679677799,215
1679677800,214
1679677801,215
1679677802,216
1679677803,217
1679677804,213
1679677805,217
1679677806,218
1679677807,215
1679677808,215
1679677809,214
1679677810,217
1679677811,217
1679677812,215
1679677813,218
1679677814,217
1679677815,216
1679677816,216
1679677817,219
1679677818,255
1679677819,255
1679677820,256
1679677821,201
1679677822,167
1679677823,141
1679677824,141
1679677825,142
1679677826,141
1679677827,141
1679677828,142
1679677829,147
1679677830,157
1679677831,168
1679677832,178
1679677833,193
1679677834,208
1679677835,213
1679677836,212
1679677837,215
1679677838,214
1679677839,214
1679677840,216
1679677841,216
1679677842,216
1679677843,217
1679677844,219
1679677845,219
1679677846,242
1679677847,255
1679677848,254
1679677849,256
1679677850,253
1679677851,256
1679677852,221
1679677853,117
1679677854,135
1679677855,134
1679677856,134
1679677857,132
1679677858,132
1679677859,131
1679677860,126
1679677861,124
1679677862,123
1679677863,125
1679677864,127
1679677865,129
1679677866,131
1679677867,129
1679677868,131
1679677869,132
1679677870,129
1679677871,129
1679677872,128
1679677873,132
1679677874,134
1679677875,134
1679677876,137
1679677877,160
1679677878,255
1679677879,253
1679677880,255
1679677881,256
1679677882,255
1679677883,254
1679677884,254
1679677885,170
1679677886,208
1679677887,205
1679677888,207
1679677889,207
1679677890,204
1679677891,208
1679677892,209
1679677893,208
1679677894,206
1679677895,208
1679677896,208
1679677897,206
1679677898,206
1679677899,213
1679677900,214
1679677901,207
1679677902,206
1679677903,193
1679677904,183
1679677905,179
1679677906,180
1679677907,179
1679677908,172
1679677909,171
1679677910,178
1679677911,182
1679677912,184
1679677913,180
1679677914,180
1679677915,186
1679677916,183
1679677917,184
1679677918,186
1679677919,193
1679677920,193
1679677921,196
1679677922,200
1679677923,200
1679677924,202
1679677925,205
1679677926,206
1679677927,210
1679677928,200
1679677929,204
1679677930,202
1679677931,204
1679677932,203
1679677933,205
1679677934,204
1679677935,197
1679677936,184
1679677937,190
1679677938,182
1679677939,190
1679677940,189
1679677941,188
1679677942,190
1679677943,191
1679677944,190
1679677945,204
1679677946,204
1679677947,203
1679677948,208
1679677949,205
1679677950,204
1679677951,209
1679677952,208
1679677953,208
1679677954,205
1679677955,214
1679677956,206
1679677957,204
1679677958,202
1679677959,210
1679677960,203
1679677961,202
1679677962,199
1679677963,210
1679677964,206
1679677965,215
1679677966,212
1679677967,212
1679677968,208
1679677969,209
1679677970,213
1679677971,212
1679677972,214
1679677973,214
1679677974,212
1679677975,216
1679677976,212
1679677977,214
1679677978,214
1679677979,217
1679677980,214
1679677981,214
1679677982,212
1679677983,216
1679677984,208
1679677985,204
1679677986,212
1679677987,211
1679677988,207
1679677989,204
1679677990,202
1679677991,207
1679677992,207
1679677993,204
1679677994,206
1679677995,203
1679677996,201
1679677997,201
1679677998,198
1679677999,203
1679678000,203
1679678001,204
1679678002,207
1679678003,208
1679678004,204
1679678005,199
1679678006,203
1679678007,198
1679678008,197
1679678009,197
1679678010,188
1679678011,183
1679678012,185
1679678013,186
1679678014,189
1679678015,193
1679678016,195
1679678017,195
1679678018,191
1679678019,192
1679678020,195
1679678021,194
1679678022,195
1679678023,194
1679678024,33
