time,FPS
1676055008,7
1676055009,45
1676055010,25
1676055011,50
1676055012,44
1676055013,39
1676055014,45
1676055015,39
1676055016,45
1676055017,42
1676055018,48
1676055019,42
1676055020,45
1676055021,50
1676055022,45
1676055023,41
1676055024,44
1676055025,45
1676055026,40
1676055027,44
1676055028,39
1676055029,44
1676055030,47
1676055031,45
1676055032,42
1676055033,49
1676055034,46
1676055035,50
1676055036,46
1676055037,39
1676055038,48
1676055039,44
1676055040,42
1676055041,45
1676055042,41
1676055043,46
1676055044,42
1676055045,45
1676055046,44
1676055047,43
1676055048,41
1676055049,46
1676055050,44
1676055051,46
1676055052,45
1676055053,43
1676055054,49
1676055055,56
1676055056,56
1676055057,53
1676055058,53
1676055059,54
1676055060,53
1676055061,52
1676055062,52
1676055063,50
1676055064,46
1676055065,47
1676055066,46
1676055067,44
1676055068,46
1676055069,45
1676055070,43
1676055071,40
1676055072,44
1676055073,41
1676055074,46
1676055075,50
1676055076,49
1676055077,46
1676055078,48
1676055079,47
1676055080,47
1676055081,46
1676055082,46
1676055083,50
1676055084,48
1676055085,48
1676055086,45
1676055087,49
1676055088,46
1676055089,46
1676055090,43
1676055091,45
1676055092,48
1676055093,45
1676055094,46
1676055095,40
1676055096,47
1676055097,45
1676055098,45
1676055099,44
1676055100,42
1676055101,48
1676055102,47
1676055103,45
1676055104,40
1676055105,43
1676055106,45
1676055107,42
1676055108,44
1676055109,47
1676055110,47
1676055111,48
1676055112,232
1676055113,252
1676055114,244
1676055115,256
1676055116,122
1676055117,123
1676055118,129
1676055119,130
1676055120,130
1676055121,130
1676055122,124
1676055123,127
1676055124,129
1676055125,128
1676055126,127
1676055127,128
1676055128,127
1676055129,129
1676055130,126
1676055131,128
1676055132,126
1676055133,126
1676055134,128
1676055135,130
1676055136,130
1676055137,131
1676055138,131
1676055139,133
1676055140,132
1676055141,232
1676055142,256
1676055143,256
1676055144,253
1676055145,134
1676055146,158
1676055147,159
1676055148,157
1676055149,158
1676055150,156
1676055151,156
1676055152,156
1676055153,156
1676055154,157
1676055155,156
1676055156,154
1676055157,155
1676055158,159
1676055159,154
1676055160,154
1676055161,155
1676055162,156
1676055163,157
1676055164,158
1676055165,155
1676055166,156
1676055167,154
1676055168,156
1676055169,160
1676055170,227
1676055171,255
1676055172,256
1676055173,186
1676055174,146
1676055175,140
1676055176,135
1676055177,138
1676055178,138
1676055179,136
1676055180,137
1676055181,137
1676055182,140
1676055183,140
1676055184,143
1676055185,148
1676055186,151
1676055187,154
1676055188,153
1676055189,156
1676055190,155
1676055191,157
1676055192,157
1676055193,158
1676055194,160
1676055195,159
1676055196,160
1676055197,160
1676055198,199
1676055199,253
1676055200,255
1676055201,256
1676055202,254
1676055203,256
1676055204,116
1676055205,129
1676055206,132
1676055207,130
1676055208,130
1676055209,129
1676055210,125
1676055211,123
1676055212,122
1676055213,122
1676055214,124
1676055215,125
1676055216,124
1676055217,127
1676055218,125
1676055219,126
1676055220,122
1676055221,126
1676055222,126
1676055223,126
1676055224,127
1676055225,125
1676055226,128
1676055227,127
1676055228,126
1676055229,233
1676055230,256
1676055231,255
1676055232,254
1676055233,255
1676055234,255
1676055235,253
1676055236,110
1676055237,159
1676055238,160
1676055239,160
1676055240,158
1676055241,159
1676055242,162
1676055243,162
1676055244,162
1676055245,159
1676055246,160
1676055247,162
1676055248,159
1676055249,159
1676055250,163
1676055251,167
1676055252,169
1676055253,171
1676055254,174
1676055255,164
1676055256,153
1676055257,160
1676055258,158
1676055259,150
1676055260,145
1676055261,148
1676055262,153
1676055263,155
1676055264,146
1676055265,144
1676055266,145
1676055267,146
1676055268,148
1676055269,148
1676055270,150
1676055271,151
1676055272,159
1676055273,159
1676055274,153
1676055275,153
1676055276,153
1676055277,163
1676055278,163
1676055279,166
1676055280,159
1676055281,164
1676055282,160
1676055283,154
1676055284,149
1676055285,147
1676055286,153
1676055287,150
1676055288,152
1676055289,152
1676055290,158
1676055291,154
1676055292,151
1676055293,154
1676055294,153
1676055295,156
1676055296,158
1676055297,159
1676055298,148
1676055299,150
1676055300,147
1676055301,147
1676055302,150
1676055303,153
1676055304,154
1676055305,154
1676055306,153
1676055307,158
1676055308,159
1676055309,158
1676055310,154
1676055311,158
1676055312,157
1676055313,163
1676055314,168
1676055315,160
1676055316,164
1676055317,154
1676055318,152
1676055319,148
1676055320,146
1676055321,146
1676055322,147
1676055323,149
1676055324,150
1676055325,152
1676055326,152
1676055327,149
1676055328,147
1676055329,148
1676055330,149
1676055331,149
1676055332,157
1676055333,170
1676055334,161
1676055335,161
1676055336,160
1676055337,155
1676055338,156
1676055339,149
1676055340,142
1676055341,142
1676055342,144
1676055343,147
1676055344,143
1676055345,142
1676055346,141
1676055347,141
1676055348,140
1676055349,138
1676055350,138
1676055351,139
1676055352,140
1676055353,144
1676055354,138
1676055355,141
1676055356,136
1676055357,132
1676055358,134
1676055359,134
1676055360,130
1676055361,131
1676055362,136
1676055363,138
1676055364,141
1676055365,145
1676055366,147
1676055367,149
1676055368,138
1676055369,140
1676055370,143
1676055371,145
1676055372,145
1676055373,145
1676055374,145
1676055375,145
1676055376,123
