time,FPS
1674677596,28
1674677597,41
1674677598,26
1674677599,51
1674677600,50
1674677601,49
1674677602,49
1674677603,50
1674677604,50
1674677605,53
1674677606,48
1674677607,48
1674677608,51
1674677609,44
1674677610,38
1674677611,45
1674677612,37
1674677613,44
1674677614,41
1674677615,45
1674677616,46
1674677617,44
1674677618,52
1674677619,52
1674677620,53
1674677621,52
1674677622,55
1674677623,53
1674677624,54
1674677625,54
1674677626,51
1674677627,56
1674677628,53
1674677629,56
1674677630,53
1674677631,52
1674677632,55
1674677633,52
1674677634,54
1674677635,52
1674677636,52
1674677637,53
1674677638,53
1674677639,53
1674677640,57
1674677641,58
1674677642,55
1674677643,57
1674677644,57
1674677645,56
1674677646,57
1674677647,56
1674677648,44
1674677649,39
1674677650,42
1674677651,45
1674677652,42
1674677653,41
1674677654,44
1674677655,45
1674677656,45
1674677657,40
1674677658,47
1674677659,49
1674677660,44
1674677661,46
1674677662,51
1674677663,48
1674677664,46
1674677665,48
1674677666,53
1674677667,48
1674677668,49
1674677669,51
1674677670,46
1674677671,47
1674677672,52
1674677673,54
1674677674,52
1674677675,46
1674677676,51
1674677677,49
1674677678,49
1674677679,47
1674677680,50
1674677681,49
1674677682,46
1674677683,51
1674677684,50
1674677685,52
1674677686,46
1674677687,48
1674677688,49
1674677689,49
1674677690,54
1674677691,48
1674677692,46
1674677693,53
1674677694,52
1674677695,46
1674677696,75
1674677697,144
1674677698,144
1674677699,143
1674677700,144
1674677701,86
1674677702,81
1674677703,79
1674677704,82
1674677705,82
1674677706,82
1674677707,84
1674677708,83
1674677709,85
1674677710,81
1674677711,83
1674677712,84
1674677713,84
1674677714,83
1674677715,81
1674677716,84
1674677717,85
1674677718,84
1674677719,86
1674677720,86
1674677721,84
1674677722,86
1674677723,86
1674677724,86
1674677725,86
1674677726,119
1674677727,144
1674677728,144
1674677729,144
1674677730,97
1674677731,95
1674677732,96
1674677733,97
1674677734,98
1674677735,96
1674677736,96
1674677737,97
1674677738,96
1674677739,97
1674677740,96
1674677741,93
1674677742,93
1674677743,95
1674677744,92
1674677745,91
1674677746,91
1674677747,92
1674677748,93
1674677749,93
1674677750,92
1674677751,93
1674677752,94
1674677753,95
1674677754,95
1674677755,124
1674677756,144
1674677757,144
1674677758,144
1674677759,87
1674677760,95
1674677761,95
1674677762,94
1674677763,94
1674677764,94
1674677765,93
1674677766,93
1674677767,93
1674677768,94
1674677769,95
1674677770,97
1674677771,98
1674677772,101
1674677773,101
1674677774,102
1674677775,101
1674677776,102
1674677777,102
1674677778,103
1674677779,102
1674677780,102
1674677781,104
1674677782,103
1674677783,104
1674677784,133
1674677785,143
1674677786,144
1674677787,144
1674677788,144
1674677789,144
1674677790,134
1674677791,59
1674677792,84
1674677793,84
1674677794,85
1674677795,84
1674677796,84
1674677797,83
1674677798,81
1674677799,81
1674677800,82
1674677801,82
1674677802,83
1674677803,82
1674677804,84
1674677805,84
1674677806,84
1674677807,85
1674677808,85
1674677809,86
1674677810,85
1674677811,85
1674677812,85
1674677813,84
1674677814,85
1674677815,86
1674677816,144
1674677817,144
1674677818,144
1674677819,144
1674677820,144
1674677821,144
1674677822,143
1674677823,144
1674677824,84
1674677825,97
1674677826,97
1674677827,97
1674677828,97
1674677829,99
1674677830,97
1674677831,98
1674677832,96
1674677833,97
1674677834,97
1674677835,96
1674677836,98
1674677837,96
1674677838,98
1674677839,96
1674677840,100
1674677841,105
1674677842,105
1674677843,107
1674677844,93
1674677845,92
1674677846,98
1674677847,90
1674677848,88
1674677849,88
1674677850,91
1674677851,92
1674677852,90
1674677853,86
1674677854,85
1674677855,84
1674677856,84
1674677857,87
1674677858,88
1674677859,88
1674677860,86
1674677861,92
1674677862,91
1674677863,91
1674677864,89
1674677865,91
1674677866,94
1674677867,94
1674677868,94
1674677869,97
1674677870,99
1674677871,94
1674677872,92
1674677873,90
1674677874,85
1674677875,88
1674677876,88
1674677877,90
1674677878,85
1674677879,87
1674677880,88
1674677881,87
1674677882,88
1674677883,86
1674677884,90
1674677885,92
1674677886,91
1674677887,87
1674677888,84
1674677889,86
1674677890,86
1674677891,88
1674677892,89
1674677893,90
1674677894,89
1674677895,87
1674677896,90
1674677897,91
1674677898,89
1674677899,89
1674677900,89
1674677901,90
1674677902,88
1674677903,88
1674677904,85
1674677905,86
1674677906,87
1674677907,90
1674677908,87
1674677909,85
1674677910,83
1674677911,81
1674677912,81
1674677913,81
1674677914,83
1674677915,83
1674677916,83
1674677917,86
1674677918,86
1674677919,82
1674677920,82
1674677921,82
1674677922,83
1674677923,85
1674677924,92
1674677925,93
1674677926,91
1674677927,92
1674677928,90
1674677929,88
1674677930,85
1674677931,86
1674677932,84
1674677933,82
1674677934,81
1674677935,84
1674677936,83
1674677937,82
1674677938,80
1674677939,81
1674677940,81
1674677941,80
1674677942,80
1674677943,80
1674677944,83
1674677945,86
1674677946,87
1674677947,87
1674677948,84
1674677949,82
1674677950,82
1674677951,82
1674677952,81
1674677953,81
1674677954,82
1674677955,85
1674677956,87
1674677957,91
1674677958,92
1674677959,92
1674677960,59
