time,FPS
1674677996,39
1674677997,40
1674677998,30
1674677999,51
1674678000,53
1674678001,54
1674678002,52
1674678003,52
1674678004,52
1674678005,52
1674678006,51
1674678007,52
1674678008,48
1674678009,45
1674678010,51
1674678011,49
1674678012,47
1674678013,45
1674678014,44
1674678015,44
1674678016,47
1674678017,46
1674678018,55
1674678019,57
1674678020,51
1674678021,56
1674678022,53
1674678023,53
1674678024,55
1674678025,53
1674678026,52
1674678027,54
1674678028,51
1674678029,52
1674678030,54
1674678031,53
1674678032,52
1674678033,54
1674678034,52
1674678035,52
1674678036,53
1674678037,53
1674678038,50
1674678039,58
1674678040,58
1674678041,55
1674678042,57
1674678043,57
1674678044,58
1674678045,57
1674678046,56
1674678047,51
1674678048,47
1674678049,46
1674678050,40
1674678051,48
1674678052,45
1674678053,46
1674678054,42
1674678055,48
1674678056,46
1674678057,44
1674678058,44
1674678059,42
1674678060,49
1674678061,46
1674678062,48
1674678063,49
1674678064,46
1674678065,48
1674678066,44
1674678067,49
1674678068,46
1674678069,47
1674678070,44
1674678071,45
1674678072,50
1674678073,48
1674678074,41
1674678075,50
1674678076,42
1674678077,48
1674678078,45
1674678079,45
1674678080,47
1674678081,48
1674678082,46
1674678083,46
1674678084,45
1674678085,46
1674678086,48
1674678087,47
1674678088,47
1674678089,47
1674678090,48
1674678091,48
1674678092,44
1674678093,47
1674678094,44
1674678095,46
1674678096,142
1674678097,145
1674678098,144
1674678099,144
1674678100,104
1674678101,81
1674678102,78
1674678103,81
1674678104,82
1674678105,81
1674678106,83
1674678107,82
1674678108,84
1674678109,82
1674678110,82
1674678111,83
1674678112,84
1674678113,84
1674678114,84
1674678115,85
1674678116,87
1674678117,85
1674678118,85
1674678119,85
1674678120,84
1674678121,83
1674678122,85
1674678123,85
1674678124,84
1674678125,106
1674678126,144
1674678127,143
1674678128,144
1674678129,105
1674678130,91
1674678131,98
1674678132,95
1674678133,97
1674678134,96
1674678135,96
1674678136,96
1674678137,96
1674678138,96
1674678139,96
1674678140,93
1674678141,92
1674678142,95
1674678143,91
1674678144,91
1674678145,89
1674678146,91
1674678147,92
1674678148,93
1674678149,93
1674678150,92
1674678151,92
1674678152,93
1674678153,94
1674678154,114
1674678155,143
1674678156,144
1674678157,144
1674678158,102
1674678159,96
1674678160,94
1674678161,94
1674678162,94
1674678163,92
1674678164,93
1674678165,92
1674678166,93
1674678167,93
1674678168,94
1674678169,95
1674678170,97
1674678171,99
1674678172,100
1674678173,101
1674678174,101
1674678175,100
1674678176,101
1674678177,102
1674678178,101
1674678179,102
1674678180,101
1674678181,103
1674678182,102
1674678183,124
1674678184,144
1674678185,144
1674678186,144
1674678187,144
1674678188,144
1674678189,143
1674678190,94
1674678191,81
1674678192,85
1674678193,86
1674678194,85
1674678195,85
1674678196,84
1674678197,82
1674678198,82
1674678199,82
1674678200,83
1674678201,83
1674678202,83
1674678203,84
1674678204,84
1674678205,83
1674678206,84
1674678207,83
1674678208,85
1674678209,83
1674678210,85
1674678211,84
1674678212,86
1674678213,84
1674678214,85
1674678215,114
1674678216,144
1674678217,144
1674678218,144
1674678219,144
1674678220,144
1674678221,143
1674678222,144
1674678223,120
1674678224,86
1674678225,97
1674678226,97
1674678227,97
1674678228,97
1674678229,98
1674678230,97
1674678231,96
1674678232,96
1674678233,97
1674678234,96
1674678235,96
1674678236,97
1674678237,95
1674678238,97
1674678239,96
1674678240,99
1674678241,104
1674678242,105
1674678243,105
1674678244,91
1674678245,92
1674678246,97
1674678247,88
1674678248,89
1674678249,87
1674678250,91
1674678251,92
1674678252,90
1674678253,85
1674678254,84
1674678255,84
1674678256,85
1674678257,86
1674678258,87
1674678259,88
1674678260,87
1674678261,90
1674678262,91
1674678263,88
1674678264,88
1674678265,89
1674678266,93
1674678267,94
1674678268,96
1674678269,97
1674678270,99
1674678271,94
1674678272,92
1674678273,88
1674678274,84
1674678275,88
1674678276,87
1674678277,90
1674678278,85
1674678279,87
1674678280,86
1674678281,87
1674678282,87
1674678283,87
1674678284,91
1674678285,89
1674678286,89
1674678287,85
1674678288,84
1674678289,84
1674678290,85
1674678291,87
1674678292,87
1674678293,89
1674678294,88
1674678295,87
1674678296,89
1674678297,89
1674678298,89
1674678299,89
1674678300,90
1674678301,89
1674678302,87
1674678303,85
1674678304,85
1674678305,87
1674678306,92
1674678307,91
1674678308,88
1674678309,85
1674678310,83
1674678311,81
1674678312,81
1674678313,83
1674678314,84
1674678315,84
1674678316,85
1674678317,86
1674678318,80
1674678319,81
1674678320,81
1674678321,82
1674678322,83
1674678323,93
1674678324,88
1674678325,89
1674678326,88
1674678327,87
1674678328,87
1674678329,84
1674678330,83
1674678331,81
1674678332,83
1674678333,83
1674678334,82
1674678335,81
1674678336,81
1674678337,81
1674678338,80
1674678339,79
1674678340,80
1674678341,81
1674678342,85
1674678343,87
1674678344,85
1674678345,85
1674678346,83
1674678347,82
1674678348,81
1674678349,81
1674678350,81
1674678351,82
1674678352,83
1674678353,86
1674678354,89
1674678355,92
1674678356,91
1674678357,93
1674678358,84
1674678359,62
