time,FPS
1679336317,35
1679336318,47
1679336319,24
1679336320,52
1679336321,45
1679336322,47
1679336323,48
1679336324,51
1679336325,48
1679336326,51
1679336327,46
1679336328,47
1679336329,46
1679336330,46
1679336331,44
1679336332,41
1679336333,46
1679336334,49
1679336335,46
1679336336,46
1679336337,44
1679336338,44
1679336339,50
1679336340,54
1679336341,52
1679336342,53
1679336343,53
1679336344,51
1679336345,55
1679336346,54
1679336347,52
1679336348,55
1679336349,55
1679336350,53
1679336351,52
1679336352,53
1679336353,50
1679336354,53
1679336355,57
1679336356,56
1679336357,53
1679336358,55
1679336359,52
1679336360,51
1679336361,48
1679336362,58
1679336363,58
1679336364,55
1679336365,57
1679336366,57
1679336367,56
1679336368,57
1679336369,56
1679336370,56
1679336371,44
1679336372,46
1679336373,41
1679336374,43
1679336375,43
1679336376,45
1679336377,41
1679336378,46
1679336379,45
1679336380,45
1679336381,45
1679336382,49
1679336383,48
1679336384,48
1679336385,49
1679336386,49
1679336387,45
1679336388,44
1679336389,46
1679336390,44
1679336391,45
1679336392,44
1679336393,43
1679336394,44
1679336395,46
1679336396,46
1679336397,47
1679336398,45
1679336399,44
1679336400,48
1679336401,44
1679336402,43
1679336403,45
1679336404,47
1679336405,42
1679336406,46
1679336407,44
1679336408,43
1679336409,49
1679336410,46
1679336411,45
1679336412,45
1679336413,48
1679336414,46
1679336415,49
1679336416,50
1679336417,46
1679336418,47
1679336419,190
1679336420,254
1679336421,249
1679336422,255
1679336423,155
1679336424,113
1679336425,116
1679336426,118
1679336427,119
1679336428,118
1679336429,114
1679336430,116
1679336431,117
1679336432,118
1679336433,116
1679336434,116
1679336435,115
1679336436,116
1679336437,116
1679336438,119
1679336439,117
1679336440,120
1679336441,122
1679336442,121
1679336443,121
1679336444,118
1679336445,118
1679336446,120
1679336447,121
1679336448,197
1679336449,255
1679336450,256
1679336451,255
1679336452,118
1679336453,157
1679336454,154
1679336455,154
1679336456,153
1679336457,150
1679336458,150
1679336459,153
1679336460,151
1679336461,151
1679336462,151
1679336463,149
1679336464,153
1679336465,151
1679336466,150
1679336467,150
1679336468,151
1679336469,152
1679336470,151
1679336471,151
1679336472,154
1679336473,151
1679336474,155
1679336475,152
1679336476,157
1679336477,247
1679336478,255
1679336479,246
1679336480,193
1679336481,143
1679336482,133
1679336483,134
1679336484,133
1679336485,135
1679336486,132
1679336487,134
1679336488,132
1679336489,135
1679336490,138
1679336491,140
1679336492,143
1679336493,148
1679336494,151
1679336495,151
1679336496,152
1679336497,152
1679336498,154
1679336499,153
1679336500,156
1679336501,155
1679336502,157
1679336503,156
1679336504,156
1679336505,200
1679336506,255
1679336507,253
1679336508,254
1679336509,255
1679336510,255
1679336511,255
1679336512,255
1679336513,106
1679336514,129
1679336515,131
1679336516,131
1679336517,128
1679336518,127
1679336519,125
1679336520,122
1679336521,121
1679336522,122
1679336523,122
1679336524,123
1679336525,123
1679336526,126
1679336527,124
1679336528,125
1679336529,125
1679336530,125
1679336531,125
1679336532,123
1679336533,125
1679336534,126
1679336535,128
1679336536,127
1679336537,127
1679336538,230
1679336539,255
1679336540,256
1679336541,255
1679336542,250
1679336543,253
1679336544,254
1679336545,254
1679336546,192
1679336547,152
1679336548,160
1679336549,160
1679336550,160
1679336551,161
1679336552,162
1679336553,163
1679336554,164
1679336555,163
1679336556,163
1679336557,165
1679336558,164
1679336559,162
1679336560,161
1679336561,164
1679336562,169
1679336563,172
1679336564,173
1679336565,167
1679336566,154
1679336567,156
1679336568,159
1679336569,148
1679336570,144
1679336571,152
1679336572,155
1679336573,157
1679336574,149
1679336575,148
1679336576,146
1679336577,148
1679336578,149
1679336579,149
1679336580,151
1679336581,150
1679336582,158
1679336583,158
1679336584,153
1679336585,153
1679336586,151
1679336587,158
1679336588,165
1679336589,163
1679336590,164
1679336591,162
1679336592,160
1679336593,154
1679336594,148
1679336595,148
1679336596,151
1679336597,154
1679336598,155
1679336599,152
1679336600,155
1679336601,157
1679336602,152
1679336603,157
1679336604,156
1679336605,153
1679336606,161
1679336607,159
1679336608,156
1679336609,150
1679336610,150
1679336611,149
1679336612,151
1679336613,155
1679336614,155
1679336615,152
1679336616,152
1679336617,162
1679336618,157
1679336619,153
1679336620,153
1679336621,155
1679336622,156
1679336623,154
1679336624,157
1679336625,157
1679336626,165
1679336627,163
1679336628,157
1679336629,154
1679336630,146
1679336631,144
1679336632,145
1679336633,148
1679336634,147
1679336635,149
1679336636,150
1679336637,148
1679336638,144
1679336639,144
1679336640,146
1679336641,148
1679336642,147
1679336643,160
1679336644,165
1679336645,160
1679336646,153
1679336647,159
1679336648,155
1679336649,152
1679336650,141
1679336651,143
1679336652,143
1679336653,147
1679336654,146
1679336655,142
1679336656,143
1679336657,142
1679336658,140
1679336659,141
1679336660,138
1679336661,141
1679336662,143
1679336663,144
1679336664,141
1679336665,141
1679336666,140
1679336667,135
1679336668,134
1679336669,135
1679336670,126
1679336671,129
1679336672,131
1679336673,132
1679336674,135
1679336675,138
1679336676,139
1679336677,141
1679336678,135
1679336679,138
1679336680,135
1679336681,138
1679336682,138
1679336683,49
