time,FPS
1677527818,9
1677527819,46
1677527820,43
1677527821,27
1677527822,51
1677527823,48
1677527824,47
1677527825,45
1677527826,49
1677527827,52
1677527828,46
1677527829,44
1677527830,46
1677527831,49
1677527832,44
1677527833,45
1677527834,45
1677527835,45
1677527836,43
1677527837,42
1677527838,40
1677527839,45
1677527840,44
1677527841,51
1677527842,51
1677527843,49
1677527844,50
1677527845,51
1677527846,55
1677527847,47
1677527848,52
1677527849,50
1677527850,50
1677527851,52
1677527852,50
1677527853,49
1677527854,48
1677527855,49
1677527856,52
1677527857,50
1677527858,51
1677527859,50
1677527860,47
1677527861,51
1677527862,53
1677527863,47
1677527864,56
1677527865,57
1677527866,57
1677527867,54
1677527868,55
1677527869,57
1677527870,54
1677527871,55
1677527872,56
1677527873,45
1677527874,41
1677527875,40
1677527876,45
1677527877,41
1677527878,43
1677527879,44
1677527880,45
1677527881,42
1677527882,46
1677527883,47
1677527884,46
1677527885,42
1677527886,49
1677527887,46
1677527888,41
1677527889,42
1677527890,44
1677527891,46
1677527892,45
1677527893,42
1677527894,43
1677527895,46
1677527896,47
1677527897,44
1677527898,47
1677527899,43
1677527900,47
1677527901,44
1677527902,43
1677527903,44
1677527904,41
1677527905,47
1677527906,46
1677527907,44
1677527908,45
1677527909,46
1677527910,47
1677527911,39
1677527912,47
1677527913,44
1677527914,48
1677527915,48
1677527916,47
1677527917,45
1677527918,42
1677527919,43
1677527920,43
1677527921,124
1677527922,251
1677527923,251
1677527924,254
1677527925,185
1677527926,187
1677527927,194
1677527928,194
1677527929,192
1677527930,195
1677527931,198
1677527932,187
1677527933,189
1677527934,186
1677527935,187
1677527936,188
1677527937,184
1677527938,185
1677527939,186
1677527940,193
1677527941,194
1677527942,188
1677527943,193
1677527944,190
1677527945,194
1677527946,190
1677527947,192
1677527948,196
1677527949,196
1677527950,215
1677527951,255
1677527952,255
1677527953,256
1677527954,198
1677527955,219
1677527956,224
1677527957,225
1677527958,224
1677527959,221
1677527960,223
1677527961,221
1677527962,224
1677527963,221
1677527964,221
1677527965,222
1677527966,222
1677527967,224
1677527968,220
1677527969,221
1677527970,220
1677527971,221
1677527972,222
1677527973,222
1677527974,222
1677527975,226
1677527976,223
1677527977,223
1677527978,224
1677527979,245
1677527980,255
1677527981,255
1677527982,225
1677527983,197
1677527984,145
1677527985,144
1677527986,144
1677527987,144
1677527988,144
1677527989,145
1677527990,149
1677527991,156
1677527992,167
1677527993,179
1677527994,193
1677527995,207
1677527996,216
1677527997,220
1677527998,221
1677527999,221
1677528000,221
1677528001,221
1677528002,221
1677528003,223
1677528004,222
1677528005,224
1677528006,222
1677528007,233
1677528008,255
1677528009,255
1677528010,252
1677528011,256
1677528012,255
1677528013,256
1677528014,140
1677528015,142
1677528016,144
1677528017,144
1677528018,145
1677528019,142
1677528020,141
1677528021,139
1677528022,134
1677528023,133
1677528024,134
1677528025,137
1677528026,136
1677528027,139
1677528028,137
1677528029,138
1677528030,139
1677528031,138
1677528032,137
1677528033,136
1677528034,138
1677528035,141
1677528036,145
1677528037,144
1677528038,143
1677528039,225
1677528040,255
1677528041,255
1677528042,255
1677528043,255
1677528044,253
1677528045,255
1677528046,255
1677528047,144
1677528048,195
1677528049,197
1677528050,196
1677528051,196
1677528052,193
1677528053,195
1677528054,198
1677528055,197
1677528056,199
1677528057,196
1677528058,196
1677528059,196
1677528060,193
1677528061,197
1677528062,203
1677528063,194
1677528064,191
1677528065,183
1677528066,166
1677528067,162
1677528068,163
1677528069,164
1677528070,161
1677528071,155
1677528072,156
1677528073,165
1677528074,164
1677528075,165
1677528076,163
1677528077,167
1677528078,169
1677528079,167
1677528080,168
1677528081,169
1677528082,175
1677528083,173
1677528084,182
1677528085,190
1677528086,189
1677528087,190
1677528088,192
1677528089,197
1677528090,200
1677528091,192
1677528092,193
1677528093,193
1677528094,194
1677528095,192
1677528096,191
1677528097,190
1677528098,180
1677528099,166
1677528100,173
1677528101,171
1677528102,171
1677528103,176
1677528104,176
1677528105,175
1677528106,177
1677528107,175
1677528108,194
1677528109,192
1677528110,193
1677528111,195
1677528112,190
1677528113,190
1677528114,191
1677528115,194
1677528116,195
1677528117,191
1677528118,197
1677528119,185
1677528120,189
1677528121,191
1677528122,195
1677528123,188
1677528124,186
1677528125,183
1677528126,199
1677528127,197
1677528128,210
1677528129,199
1677528130,201
1677528131,201
1677528132,195
1677528133,196
1677528134,196
1677528135,203
1677528136,206
1677528137,211
1677528138,211
1677528139,200
1677528140,200
1677528141,201
1677528142,202
1677528143,200
1677528144,198
1677528145,198
1677528146,186
1677528147,191
1677528148,195
1677528149,202
1677528150,200
1677528151,203
1677528152,204
1677528153,198
1677528154,199
1677528155,203
1677528156,204
1677528157,200
1677528158,202
1677528159,199
1677528160,197
1677528161,202
1677528162,202
1677528163,205
1677528164,206
1677528165,207
1677528166,203
1677528167,201
1677528168,203
1677528169,203
1677528170,201
1677528171,206
1677528172,195
1677528173,194
1677528174,199
1677528175,201
1677528176,201
1677528177,202
1677528178,205
1677528179,208
1677528180,199
1677528181,204
1677528182,205
1677528183,206
1677528184,205
1677528185,205
1677528186,66
