time,FPS
1678223515,26
1678223516,27
1678223517,46
1678223518,44
1678223519,46
1678223520,45
1678223521,42
1678223522,46
1678223523,46
1678223524,46
1678223525,42
1678223526,44
1678223527,37
1678223528,45
1678223529,43
1678223530,44
1678223531,43
1678223532,42
1678223533,44
1678223534,46
1678223535,46
1678223536,45
1678223537,49
1678223538,42
1678223539,45
1678223540,46
1678223541,50
1678223542,45
1678223543,45
1678223544,46
1678223545,45
1678223546,45
1678223547,46
1678223548,47
1678223549,43
1678223550,50
1678223551,49
1678223552,47
1678223553,48
1678223554,44
1678223555,45
1678223556,48
1678223557,46
1678223558,41
1678223559,49
1678223560,45
1678223561,53
1678223562,57
1678223563,57
1678223564,55
1678223565,56
1678223566,57
1678223567,56
1678223568,56
1678223569,57
1678223570,46
1678223571,40
1678223572,45
1678223573,43
1678223574,44
1678223575,41
1678223576,41
1678223577,41
1678223578,43
1678223579,40
1678223580,44
1678223581,41
1678223582,47
1678223583,43
1678223584,43
1678223585,49
1678223586,41
1678223587,44
1678223588,45
1678223589,42
1678223590,41
1678223591,42
1678223592,43
1678223593,42
1678223594,45
1678223595,44
1678223596,43
1678223597,43
1678223598,47
1678223599,44
1678223600,44
1678223601,39
1678223602,39
1678223603,46
1678223604,41
1678223605,43
1678223606,47
1678223607,44
1678223608,43
1678223609,45
1678223610,42
1678223611,40
1678223612,42
1678223613,40
1678223614,43
1678223615,47
1678223616,42
1678223617,43
1678223618,89
1678223619,254
1678223620,254
1678223621,252
1678223622,201
1678223623,147
1678223624,171
1678223625,169
1678223626,170
1678223627,168
1678223628,170
1678223629,171
1678223630,172
1678223631,169
1678223632,171
1678223633,167
1678223634,169
1678223635,166
1678223636,163
1678223637,172
1678223638,174
1678223639,173
1678223640,173
1678223641,176
1678223642,175
1678223643,175
1678223644,175
1678223645,177
1678223646,175
1678223647,191
1678223648,255
1678223649,255
1678223650,256
1678223651,255
1678223652,178
1678223653,225
1678223654,225
1678223655,225
1678223656,224
1678223657,223
1678223658,220
1678223659,221
1678223660,220
1678223661,220
1678223662,220
1678223663,216
1678223664,222
1678223665,223
1678223666,220
1678223667,219
1678223668,218
1678223669,221
1678223670,220
1678223671,221
1678223672,220
1678223673,225
1678223674,221
1678223675,222
1678223676,224
1678223677,254
1678223678,255
1678223679,256
1678223680,202
1678223681,192
1678223682,186
1678223683,186
1678223684,182
1678223685,183
1678223686,187
1678223687,193
1678223688,189
1678223689,195
1678223690,201
1678223691,202
1678223692,211
1678223693,216
1678223694,220
1678223695,215
1678223696,219
1678223697,221
1678223698,221
1678223699,222
1678223700,221
1678223701,224
1678223702,215
1678223703,224
1678223704,225
1678223705,225
1678223706,255
1678223707,256
1678223708,251
1678223709,256
1678223710,256
1678223711,218
1678223712,161
1678223713,192
1678223714,192
1678223715,190
1678223716,187
1678223717,187
1678223718,181
1678223719,179
1678223720,176
1678223721,176
1678223722,180
1678223723,181
1678223724,184
1678223725,185
1678223726,185
1678223727,184
1678223728,183
1678223729,183
1678223730,181
1678223731,179
1678223732,186
1678223733,187
1678223734,191
1678223735,189
1678223736,204
1678223737,255
1678223738,254
1678223739,255
1678223740,256
1678223741,254
1678223742,253
1678223743,182
1678223744,202
1678223745,214
1678223746,213
1678223747,212
1678223748,210
1678223749,210
1678223750,210
1678223751,213
1678223752,211
1678223753,212
1678223754,211
1678223755,210
1678223756,202
1678223757,207
1678223758,209
1678223759,201
1678223760,202
1678223761,198
1678223762,190
1678223763,185
1678223764,191
1678223765,189
1678223766,186
1678223767,185
1678223768,181
1678223769,185
1678223770,188
1678223771,189
1678223772,189
1678223773,188
1678223774,195
1678223775,193
1678223776,189
1678223777,192
1678223778,196
1678223779,195
1678223780,200
1678223781,202
1678223782,208
1678223783,205
1678223784,211
1678223785,213
1678223786,211
1678223787,208
1678223788,208
1678223789,210
1678223790,207
1678223791,209
1678223792,210
1678223793,213
1678223794,206
1678223795,200
1678223796,196
1678223797,200
1678223798,203
1678223799,203
1678223800,200
1678223801,202
1678223802,203
1678223803,201
1678223804,208
1678223805,206
1678223806,210
1678223807,210
1678223808,211
1678223809,208
1678223810,206
1678223811,213
1678223812,211
1678223813,213
1678223814,224
1678223815,223
1678223816,222
1678223817,224
1678223818,226
1678223819,224
1678223820,217
1678223821,219
1678223822,224
1678223823,227
1678223824,227
1678223825,227
1678223826,225
1678223827,221
1678223828,216
1678223829,214
1678223830,216
1678223831,213
1678223832,216
1678223833,219
1678223834,219
1678223835,211
1678223836,213
1678223837,214
1678223838,215
1678223839,215
1678223840,213
1678223841,223
1678223842,233
1678223843,233
1678223844,235
1678223845,232
1678223846,221
1678223847,213
1678223848,212
1678223849,213
1678223850,216
1678223851,215
1678223852,214
1678223853,212
1678223854,212
1678223855,210
1678223856,210
1678223857,208
1678223858,209
1678223859,211
1678223860,214
1678223861,209
1678223862,207
1678223863,212
1678223864,204
1678223865,196
1678223866,203
1678223867,196
1678223868,192
1678223869,193
1678223870,194
1678223871,197
1678223872,200
1678223873,205
1678223874,205
1678223875,198
1678223876,202
1678223877,202
1678223878,203
1678223879,198
1678223880,203
1678223881,201
1678223882,199
1678223883,35
