time,FPS
1680627973,43
1680627974,38
1680627975,47
1680627976,59
1680627977,59
1680627978,50
1680627979,51
1680627980,51
1680627981,51
1680627982,51
1680627983,52
1680627984,52
1680627985,44
1680627986,42
1680627987,49
1680627988,42
1680627989,41
1680627990,45
1680627991,47
1680627992,44
1680627993,43
1680627994,45
1680627995,58
1680627996,60
1680627997,58
1680627998,62
1680627999,54
1680628000,47
1680628001,49
1680628002,47
1680628003,50
1680628004,45
1680628005,45
1680628006,47
1680628007,49
1680628008,49
1680628009,46
1680628010,42
1680628011,49
1680628012,50
1680628013,45
1680628014,45
1680628015,45
1680628016,47
1680628017,49
1680628018,58
1680628019,59
1680628020,56
1680628021,56
1680628022,57
1680628023,57
1680628024,55
1680628025,54
1680628026,56
1680628027,40
1680628028,42
1680628029,41
1680628030,42
1680628031,41
1680628032,44
1680628033,45
1680628034,41
1680628035,44
1680628036,41
1680628037,40
1680628038,44
1680628039,49
1680628040,47
1680628041,41
1680628042,40
1680628043,40
1680628044,43
1680628045,40
1680628046,41
1680628047,40
1680628048,40
1680628049,39
1680628050,42
1680628051,40
1680628052,42
1680628053,45
1680628054,43
1680628055,41
1680628056,44
1680628057,43
1680628058,42
1680628059,46
1680628060,46
1680628061,50
1680628062,42
1680628063,44
1680628064,40
1680628065,45
1680628066,40
1680628067,45
1680628068,46
1680628069,43
1680628070,41
1680628071,41
1680628072,44
1680628073,42
1680628074,41
1680628075,179
1680628076,255
1680628077,255
1680628078,255
1680628079,128
1680628080,58
1680628081,57
1680628082,57
1680628083,57
1680628084,58
1680628085,56
1680628086,55
1680628087,55
1680628088,55
1680628089,56
1680628090,56
1680628091,56
1680628092,57
1680628093,56
1680628094,56
1680628095,59
1680628096,62
1680628097,62
1680628098,62
1680628099,62
1680628100,63
1680628101,62
1680628102,62
1680628103,62
1680628104,185
1680628105,255
1680628106,255
1680628107,255
1680628108,105
1680628109,70
1680628110,71
1680628111,71
1680628112,70
1680628113,70
1680628114,69
1680628115,70
1680628116,69
1680628117,70
1680628118,69
1680628119,65
1680628120,67
1680628121,67
1680628122,65
1680628123,64
1680628124,65
1680628125,66
1680628126,66
1680628127,66
1680628128,66
1680628129,66
1680628130,65
1680628131,68
1680628132,70
1680628133,219
1680628134,255
1680628135,254
1680628136,223
1680628137,71
1680628138,70
1680628139,71
1680628140,71
1680628141,71
1680628142,70
1680628143,71
1680628144,71
1680628145,71
1680628146,71
1680628147,72
1680628148,72
1680628149,73
1680628150,73
1680628151,74
1680628152,74
1680628153,74
1680628154,74
1680628155,75
1680628156,75
1680628157,75
1680628158,75
1680628159,76
1680628160,76
1680628161,109
1680628162,255
1680628163,255
1680628164,254
1680628165,255
1680628166,255
1680628167,256
1680628168,195
1680628169,64
1680628170,66
1680628171,66
1680628172,67
1680628173,66
1680628174,66
1680628175,63
1680628176,64
1680628177,64
1680628178,64
1680628179,65
1680628180,65
1680628181,65
1680628182,66
1680628183,66
1680628184,66
1680628185,66
1680628186,67
1680628187,67
1680628188,66
1680628189,67
1680628190,67
1680628191,68
1680628192,67
1680628193,130
1680628194,255
1680628195,255
1680628196,256
1680628197,255
1680628198,255
1680628199,256
1680628200,255
1680628201,255
1680628202,97
1680628203,74
1680628204,75
1680628205,74
1680628206,75
1680628207,75
1680628208,75
1680628209,75
1680628210,75
1680628211,75
1680628212,75
1680628213,75
1680628214,75
1680628215,75
1680628216,75
1680628217,75
1680628218,78
1680628219,79
1680628220,80
1680628221,77
1680628222,71
1680628223,75
1680628224,76
1680628225,72
1680628226,70
1680628227,71
1680628228,72
1680628229,71
1680628230,69
1680628231,66
1680628232,67
1680628233,68
1680628234,67
1680628235,74
1680628236,73
1680628237,74
1680628238,73
1680628239,75
1680628240,75
1680628241,74
1680628242,73
1680628243,73
1680628244,77
1680628245,78
1680628246,77
1680628247,79
1680628248,80
1680628249,76
1680628250,75
1680628251,72
1680628252,71
1680628253,72
1680628254,72
1680628255,72
1680628256,71
1680628257,71
1680628258,72
1680628259,72
1680628260,71
1680628261,72
1680628262,76
1680628263,74
1680628264,73
1680628265,69
1680628266,69
1680628267,70
1680628268,68
1680628269,71
1680628270,72
1680628271,73
1680628272,71
1680628273,71
1680628274,73
1680628275,72
1680628276,71
1680628277,73
1680628278,72
1680628279,73
1680628280,73
1680628281,70
1680628282,70
1680628283,73
1680628284,73
1680628285,71
1680628286,73
1680628287,71
1680628288,71
1680628289,69
1680628290,69
1680628291,70
1680628292,70
1680628293,70
1680628294,70
1680628295,71
1680628296,71
1680628297,68
1680628298,69
1680628299,69
1680628300,70
1680628301,71
1680628302,74
1680628303,74
1680628304,74
1680628305,74
1680628306,73
1680628307,70
1680628308,69
1680628309,66
1680628310,66
1680628311,66
1680628312,67
1680628313,67
1680628314,65
1680628315,64
1680628316,64
1680628317,64
1680628318,64
1680628319,62
1680628320,62
1680628321,64
1680628322,67
1680628323,66
1680628324,65
1680628325,65
1680628326,61
1680628327,62
1680628328,62
1680628329,61
1680628330,61
1680628331,63
1680628332,63
1680628333,65
1680628334,68
1680628335,69
1680628336,69
1680628337,73
1680628338,64
1680628339,24
