time,FPS
1680296770,23
1680296771,50
1680296772,23
1680296773,49
1680296774,54
1680296775,52
1680296776,51
1680296777,53
1680296778,52
1680296779,55
1680296780,51
1680296781,50
1680296782,52
1680296783,44
1680296784,45
1680296785,43
1680296786,42
1680296787,42
1680296788,43
1680296789,42
1680296790,43
1680296791,47
1680296792,46
1680296793,54
1680296794,53
1680296795,51
1680296796,51
1680296797,53
1680296798,52
1680296799,50
1680296800,50
1680296801,52
1680296802,52
1680296803,53
1680296804,52
1680296805,52
1680296806,51
1680296807,54
1680296808,53
1680296809,54
1680296810,51
1680296811,52
1680296812,55
1680296813,53
1680296814,52
1680296815,59
1680296816,58
1680296817,56
1680296818,58
1680296819,57
1680296820,58
1680296821,57
1680296822,56
1680296823,47
1680296824,43
1680296825,44
1680296826,41
1680296827,44
1680296828,46
1680296829,44
1680296830,45
1680296831,48
1680296832,46
1680296833,48
1680296834,41
1680296835,41
1680296836,47
1680296837,48
1680296838,45
1680296839,43
1680296840,45
1680296841,50
1680296842,48
1680296843,51
1680296844,47
1680296845,52
1680296846,49
1680296847,51
1680296848,52
1680296849,51
1680296850,52
1680296851,46
1680296852,52
1680296853,54
1680296854,49
1680296855,52
1680296856,53
1680296857,51
1680296858,51
1680296859,51
1680296860,50
1680296861,51
1680296862,47
1680296863,53
1680296864,49
1680296865,47
1680296866,52
1680296867,54
1680296868,50
1680296869,47
1680296870,47
1680296871,87
1680296872,254
1680296873,251
1680296874,253
1680296875,220
1680296876,125
1680296877,163
1680296878,164
1680296879,163
1680296880,163
1680296881,164
1680296882,160
1680296883,162
1680296884,160
1680296885,159
1680296886,159
1680296887,156
1680296888,161
1680296889,158
1680296890,162
1680296891,164
1680296892,163
1680296893,162
1680296894,164
1680296895,162
1680296896,164
1680296897,163
1680296898,164
1680296899,162
1680296900,174
1680296901,256
1680296902,252
1680296903,254
1680296904,235
1680296905,169
1680296906,192
1680296907,193
1680296908,191
1680296909,191
1680296910,190
1680296911,191
1680296912,190
1680296913,190
1680296914,191
1680296915,189
1680296916,185
1680296917,191
1680296918,190
1680296919,185
1680296920,185
1680296921,185
1680296922,188
1680296923,188
1680296924,189
1680296925,189
1680296926,189
1680296927,187
1680296928,188
1680296929,199
1680296930,255
1680296931,255
1680296932,256
1680296933,164
1680296934,148
1680296935,141
1680296936,140
1680296937,140
1680296938,140
1680296939,142
1680296940,143
1680296941,149
1680296942,159
1680296943,168
1680296944,177
1680296945,187
1680296946,191
1680296947,191
1680296948,190
1680296949,194
1680296950,194
1680296951,196
1680296952,195
1680296953,197
1680296954,195
1680296955,193
1680296956,197
1680296957,197
1680296958,247
1680296959,255
1680296960,254
1680296961,255
1680296962,255
1680296963,255
1680296964,158
1680296965,137
1680296966,146
1680296967,143
1680296968,146
1680296969,142
1680296970,140
1680296971,137
1680296972,135
1680296973,133
1680296974,134
1680296975,137
1680296976,136
1680296977,139
1680296978,137
1680296979,135
1680296980,139
1680296981,138
1680296982,138
1680296983,137
1680296984,137
1680296985,143
1680296986,144
1680296987,147
1680296988,147
1680296989,206
1680296990,255
1680296991,253
1680296992,253
1680296993,255
1680296994,255
1680296995,256
1680296996,161
1680296997,198
1680296998,196
1680296999,199
1680297000,200
1680297001,200
1680297002,203
1680297003,199
1680297004,200
1680297005,199
1680297006,200
1680297007,201
1680297008,199
1680297009,201
1680297010,203
1680297011,207
1680297012,203
1680297013,203
1680297014,201
1680297015,178
1680297016,178
1680297017,179
1680297018,179
1680297019,174
1680297020,177
1680297021,182
1680297022,180
1680297023,185
1680297024,180
1680297025,183
1680297026,184
1680297027,181
1680297028,181
1680297029,183
1680297030,189
1680297031,186
1680297032,197
1680297033,197
1680297034,194
1680297035,195
1680297036,196
1680297037,205
1680297038,208
1680297039,205
1680297040,191
1680297041,203
1680297042,196
1680297043,192
1680297044,189
1680297045,188
1680297046,192
1680297047,184
1680297048,185
1680297049,181
1680297050,184
1680297051,188
1680297052,189
1680297053,185
1680297054,187
1680297055,187
1680297056,194
1680297057,193
1680297058,183
1680297059,189
1680297060,183
1680297061,189
1680297062,193
1680297063,194
1680297064,194
1680297065,187
1680297066,195
1680297067,197
1680297068,193
1680297069,195
1680297070,196
1680297071,196
1680297072,192
1680297073,194
1680297074,198
1680297075,196
1680297076,198
1680297077,194
1680297078,191
1680297079,188
1680297080,181
1680297081,178
1680297082,185
1680297083,185
1680297084,186
1680297085,189
1680297086,188
1680297087,183
1680297088,179
1680297089,180
1680297090,182
1680297091,179
1680297092,194
1680297093,197
1680297094,199
1680297095,182
1680297096,197
1680297097,194
1680297098,191
1680297099,183
1680297100,174
1680297101,175
1680297102,180
1680297103,180
1680297104,177
1680297105,172
1680297106,173
1680297107,174
1680297108,172
1680297109,171
1680297110,171
1680297111,174
1680297112,180
1680297113,179
1680297114,171
1680297115,177
1680297116,171
1680297117,168
1680297118,170
1680297119,167
1680297120,160
1680297121,162
1680297122,162
1680297123,168
1680297124,171
1680297125,175
1680297126,171
1680297127,174
1680297128,165
1680297129,166
1680297130,167
1680297131,167
1680297132,165
1680297133,168
1680297134,168
1680297135,168
1680297136,73
