time,FPS
1679086322,20
1679086323,48
1679086324,26
1679086325,48
1679086326,47
1679086327,49
1679086328,49
1679086329,49
1679086330,45
1679086331,50
1679086332,46
1679086333,47
1679086334,43
1679086335,44
1679086336,44
1679086337,43
1679086338,44
1679086339,45
1679086340,43
1679086341,45
1679086342,43
1679086343,42
1679086344,49
1679086345,54
1679086346,54
1679086347,53
1679086348,53
1679086349,53
1679086350,50
1679086351,54
1679086352,55
1679086353,55
1679086354,54
1679086355,53
1679086356,51
1679086357,55
1679086358,51
1679086359,52
1679086360,52
1679086361,55
1679086362,51
1679086363,48
1679086364,54
1679086365,52
1679086366,54
1679086367,58
1679086368,58
1679086369,56
1679086370,56
1679086371,57
1679086372,57
1679086373,56
1679086374,57
1679086375,52
1679086376,41
1679086377,41
1679086378,39
1679086379,40
1679086380,43
1679086381,42
1679086382,44
1679086383,44
1679086384,43
1679086385,49
1679086386,46
1679086387,44
1679086388,47
1679086389,49
1679086390,52
1679086391,50
1679086392,45
1679086393,44
1679086394,47
1679086395,54
1679086396,48
1679086397,45
1679086398,49
1679086399,43
1679086400,50
1679086401,49
1679086402,53
1679086403,49
1679086404,48
1679086405,51
1679086406,49
1679086407,51
1679086408,50
1679086409,45
1679086410,52
1679086411,47
1679086412,44
1679086413,50
1679086414,50
1679086415,49
1679086416,46
1679086417,48
1679086418,47
1679086419,44
1679086420,50
1679086421,47
1679086422,47
1679086423,65
1679086424,251
1679086425,255
1679086426,248
1679086427,255
1679086428,117
1679086429,124
1679086430,130
1679086431,131
1679086432,130
1679086433,131
1679086434,124
1679086435,131
1679086436,130
1679086437,129
1679086438,129
1679086439,129
1679086440,130
1679086441,129
1679086442,127
1679086443,130
1679086444,127
1679086445,128
1679086446,131
1679086447,132
1679086448,133
1679086449,133
1679086450,133
1679086451,130
1679086452,129
1679086453,243
1679086454,255
1679086455,256
1679086456,211
1679086457,135
1679086458,157
1679086459,152
1679086460,154
1679086461,155
1679086462,153
1679086463,151
1679086464,155
1679086465,152
1679086466,154
1679086467,155
1679086468,150
1679086469,152
1679086470,154
1679086471,151
1679086472,151
1679086473,151
1679086474,153
1679086475,153
1679086476,154
1679086477,152
1679086478,155
1679086479,156
1679086480,154
1679086481,181
1679086482,255
1679086483,250
1679086484,252
1679086485,158
1679086486,138
1679086487,135
1679086488,135
1679086489,134
1679086490,133
1679086491,133
1679086492,133
1679086493,134
1679086494,136
1679086495,140
1679086496,141
1679086497,145
1679086498,151
1679086499,153
1679086500,152
1679086501,154
1679086502,155
1679086503,154
1679086504,156
1679086505,157
1679086506,157
1679086507,158
1679086508,158
1679086509,158
1679086510,228
1679086511,255
1679086512,255
1679086513,251
1679086514,255
1679086515,255
1679086516,256
1679086517,219
1679086518,101
1679086519,131
1679086520,130
1679086521,131
1679086522,129
1679086523,127
1679086524,124
1679086525,122
1679086526,120
1679086527,123
1679086528,122
1679086529,124
1679086530,125
1679086531,125
1679086532,125
1679086533,126
1679086534,125
1679086535,125
1679086536,126
1679086537,124
1679086538,126
1679086539,128
1679086540,128
1679086541,129
1679086542,142
1679086543,253
1679086544,256
1679086545,255
1679086546,250
1679086547,256
1679086548,255
1679086549,253
1679086550,255
1679086551,163
1679086552,160
1679086553,161
1679086554,161
1679086555,158
1679086556,159
1679086557,162
1679086558,164
1679086559,160
1679086560,162
1679086561,165
1679086562,164
1679086563,163
1679086564,159
1679086565,162
1679086566,163
1679086567,169
1679086568,170
1679086569,173
1679086570,171
1679086571,156
1679086572,153
1679086573,160
1679086574,150
1679086575,146
1679086576,148
1679086577,156
1679086578,156
1679086579,153
1679086580,147
1679086581,148
1679086582,146
1679086583,145
1679086584,148
1679086585,151
1679086586,150
1679086587,157
1679086588,158
1679086589,156
1679086590,154
1679086591,152
1679086592,158
1679086593,165
1679086594,165
1679086595,165
1679086596,165
1679086597,164
1679086598,156
1679086599,154
1679086600,148
1679086601,150
1679086602,155
1679086603,153
1679086604,153
1679086605,156
1679086606,156
1679086607,153
1679086608,158
1679086609,155
1679086610,156
1679086611,163
1679086612,158
1679086613,156
1679086614,150
1679086615,151
1679086616,150
1679086617,151
1679086618,155
1679086619,156
1679086620,153
1679086621,154
1679086622,163
1679086623,159
1679086624,157
1679086625,159
1679086626,160
1679086627,160
1679086628,159
1679086629,157
1679086630,158
1679086631,159
1679086632,165
1679086633,163
1679086634,154
1679086635,152
1679086636,150
1679086637,149
1679086638,148
1679086639,148
1679086640,148
1679086641,149
1679086642,150
1679086643,150
1679086644,153
1679086645,152
1679086646,147
1679086647,149
1679086648,150
1679086649,149
1679086650,152
1679086651,170
1679086652,160
1679086653,161
1679086654,158
1679086655,158
1679086656,154
1679086657,155
1679086658,146
1679086659,143
1679086660,145
1679086661,147
1679086662,148
1679086663,142
1679086664,144
1679086665,143
1679086666,143
1679086667,141
1679086668,140
1679086669,141
1679086670,144
1679086671,146
1679086672,144
1679086673,143
1679086674,143
1679086675,138
1679086676,135
1679086677,137
1679086678,135
1679086679,133
1679086680,135
1679086681,135
1679086682,137
1679086683,141
1679086684,141
1679086685,142
1679086686,135
1679086687,135
