time,FPS
1678830895,25
1678830896,40
1678830897,25
1678830898,53
1678830899,46
1678830900,47
1678830901,50
1678830902,51
1678830903,50
1678830904,49
1678830905,48
1678830906,46
1678830907,49
1678830908,46
1678830909,47
1678830910,42
1678830911,44
1678830912,45
1678830913,49
1678830914,47
1678830915,45
1678830916,46
1678830917,51
1678830918,52
1678830919,53
1678830920,53
1678830921,54
1678830922,53
1678830923,52
1678830924,54
1678830925,55
1678830926,53
1678830927,53
1678830928,50
1678830929,54
1678830930,52
1678830931,54
1678830932,52
1678830933,53
1678830934,54
1678830935,51
1678830936,51
1678830937,55
1678830938,53
1678830939,55
1678830940,53
1678830941,58
1678830942,58
1678830943,54
1678830944,57
1678830945,57
1678830946,56
1678830947,57
1678830948,55
1678830949,51
1678830950,42
1678830951,41
1678830952,44
1678830953,43
1678830954,46
1678830955,47
1678830956,44
1678830957,45
1678830958,40
1678830959,43
1678830960,43
1678830961,45
1678830962,47
1678830963,48
1678830964,47
1678830965,52
1678830966,47
1678830967,50
1678830968,51
1678830969,49
1678830970,51
1678830971,47
1678830972,51
1678830973,47
1678830974,47
1678830975,49
1678830976,47
1678830977,49
1678830978,48
1678830979,47
1678830980,50
1678830981,47
1678830982,53
1678830983,48
1678830984,48
1678830985,51
1678830986,49
1678830987,46
1678830988,47
1678830989,46
1678830990,47
1678830991,47
1678830992,46
1678830993,45
1678830994,48
1678830995,51
1678830996,49
1678830997,71
1678830998,253
1678830999,255
1678831000,247
1678831001,256
1678831002,93
1678831003,110
1678831004,109
1678831005,108
1678831006,109
1678831007,108
1678831008,108
1678831009,114
1678831010,112
1678831011,112
1678831012,109
1678831013,109
1678831014,110
1678831015,110
1678831016,111
1678831017,111
1678831018,113
1678831019,114
1678831020,114
1678831021,114
1678831022,113
1678831023,114
1678831024,115
1678831025,117
1678831026,115
1678831027,240
1678831028,255
1678831029,254
1678831030,208
1678831031,131
1678831032,150
1678831033,149
1678831034,147
1678831035,146
1678831036,145
1678831037,146
1678831038,147
1678831039,145
1678831040,147
1678831041,145
1678831042,145
1678831043,147
1678831044,146
1678831045,143
1678831046,144
1678831047,144
1678831048,144
1678831049,145
1678831050,146
1678831051,145
1678831052,146
1678831053,145
1678831054,144
1678831055,174
1678831056,255
1678831057,256
1678831058,254
1678831059,164
1678831060,137
1678831061,133
1678831062,131
1678831063,133
1678831064,132
1678831065,130
1678831066,131
1678831067,131
1678831068,134
1678831069,133
1678831070,137
1678831071,140
1678831072,145
1678831073,146
1678831074,149
1678831075,148
1678831076,149
1678831077,149
1678831078,151
1678831079,152
1678831080,153
1678831081,153
1678831082,152
1678831083,152
1678831084,217
1678831085,255
1678831086,255
1678831087,253
1678831088,254
1678831089,255
1678831090,256
1678831091,239
1678831092,93
1678831093,126
1678831094,129
1678831095,127
1678831096,125
1678831097,125
1678831098,122
1678831099,119
1678831100,118
1678831101,120
1678831102,119
1678831103,120
1678831104,122
1678831105,124
1678831106,122
1678831107,122
1678831108,123
1678831109,123
1678831110,123
1678831111,121
1678831112,122
1678831113,123
1678831114,125
1678831115,125
1678831116,126
1678831117,255
1678831118,255
1678831119,254
1678831120,254
1678831121,254
1678831122,255
1678831123,256
1678831124,255
1678831125,166
1678831126,155
1678831127,156
1678831128,156
1678831129,155
1678831130,156
1678831131,159
1678831132,159
1678831133,159
1678831134,159
1678831135,158
1678831136,161
1678831137,160
1678831138,158
1678831139,158
1678831140,163
1678831141,166
1678831142,169
1678831143,168
1678831144,159
1678831145,149
1678831146,156
1678831147,152
1678831148,145
1678831149,141
1678831150,150
1678831151,152
1678831152,151
1678831153,143
1678831154,142
1678831155,144
1678831156,144
1678831157,145
1678831158,146
1678831159,147
1678831160,146
1678831161,154
1678831162,154
1678831163,151
1678831164,149
1678831165,151
1678831166,159
1678831167,161
1678831168,159
1678831169,160
1678831170,159
1678831171,153
1678831172,150
1678831173,145
1678831174,146
1678831175,150
1678831176,150
1678831177,149
1678831178,151
1678831179,153
1678831180,152
1678831181,151
1678831182,151
1678831183,151
1678831184,155
1678831185,152
1678831186,150
1678831187,143
1678831188,143
1678831189,141
1678831190,143
1678831191,145
1678831192,149
1678831193,149
1678831194,148
1678831195,152
1678831196,152
1678831197,155
1678831198,152
1678831199,150
1678831200,152
1678831201,151
1678831202,151
1678831203,153
1678831204,150
1678831205,162
1678831206,153
1678831207,150
1678831208,145
1678831209,140
1678831210,140
1678831211,142
1678831212,140
1678831213,143
1678831214,143
1678831215,145
1678831216,141
1678831217,139
1678831218,140
1678831219,144
1678831220,143
1678831221,147
1678831222,164
1678831223,158
1678831224,153
1678831225,157
1678831226,153
1678831227,154
1678831228,145
1678831229,140
1678831230,139
1678831231,142
1678831232,144
1678831233,143
1678831234,137
1678831235,138
1678831236,137
1678831237,135
1678831238,135
1678831239,136
1678831240,138
1678831241,138
1678831242,142
1678831243,137
1678831244,139
1678831245,135
1678831246,131
1678831247,129
1678831248,130
1678831249,123
1678831250,124
1678831251,124
1678831252,126
1678831253,128
1678831254,135
1678831255,135
1678831256,138
1678831257,129
1678831258,135
1678831259,134
1678831260,131
1678831261,124
