time,FPS
1676054181,41
1676054182,41
1676054183,28
1676054184,52
1676054185,43
1676054186,42
1676054187,45
1676054188,43
1676054189,45
1676054190,42
1676054191,42
1676054192,46
1676054193,42
1676054194,43
1676054195,46
1676054196,39
1676054197,44
1676054198,42
1676054199,44
1676054200,38
1676054201,43
1676054202,39
1676054203,46
1676054204,47
1676054205,44
1676054206,48
1676054207,40
1676054208,45
1676054209,40
1676054210,44
1676054211,40
1676054212,43
1676054213,45
1676054214,44
1676054215,44
1676054216,40
1676054217,43
1676054218,44
1676054219,44
1676054220,42
1676054221,43
1676054222,42
1676054223,44
1676054224,48
1676054225,56
1676054226,57
1676054227,52
1676054228,54
1676054229,54
1676054230,52
1676054231,53
1676054232,52
1676054233,46
1676054234,41
1676054235,41
1676054236,43
1676054237,42
1676054238,45
1676054239,42
1676054240,43
1676054241,44
1676054242,44
1676054243,46
1676054244,44
1676054245,45
1676054246,47
1676054247,46
1676054248,48
1676054249,43
1676054250,45
1676054251,46
1676054252,45
1676054253,47
1676054254,47
1676054255,44
1676054256,48
1676054257,48
1676054258,49
1676054259,47
1676054260,45
1676054261,43
1676054262,44
1676054263,46
1676054264,43
1676054265,46
1676054266,49
1676054267,48
1676054268,43
1676054269,48
1676054270,49
1676054271,45
1676054272,46
1676054273,45
1676054274,43
1676054275,46
1676054276,45
1676054277,43
1676054278,42
1676054279,44
1676054280,45
1676054281,44
1676054282,245
1676054283,255
1676054284,251
1676054285,256
1676054286,119
1676054287,121
1676054288,125
1676054289,123
1676054290,122
1676054291,123
1676054292,121
1676054293,124
1676054294,120
1676054295,124
1676054296,124
1676054297,126
1676054298,128
1676054299,128
1676054300,129
1676054301,129
1676054302,130
1676054303,130
1676054304,126
1676054305,130
1676054306,124
1676054307,127
1676054308,127
1676054309,125
1676054310,125
1676054311,234
1676054312,255
1676054313,256
1676054314,217
1676054315,136
1676054316,159
1676054317,153
1676054318,156
1676054319,155
1676054320,152
1676054321,152
1676054322,154
1676054323,156
1676054324,156
1676054325,156
1676054326,153
1676054327,157
1676054328,154
1676054329,153
1676054330,150
1676054331,153
1676054332,153
1676054333,150
1676054334,156
1676054335,158
1676054336,158
1676054337,158
1676054338,160
1676054339,175
1676054340,256
1676054341,255
1676054342,256
1676054343,141
1676054344,140
1676054345,135
1676054346,137
1676054347,136
1676054348,136
1676054349,135
1676054350,135
1676054351,135
1676054352,138
1676054353,138
1676054354,142
1676054355,147
1676054356,150
1676054357,151
1676054358,153
1676054359,153
1676054360,153
1676054361,154
1676054362,155
1676054363,156
1676054364,155
1676054365,156
1676054366,155
1676054367,156
1676054368,234
1676054369,256
1676054370,255
1676054371,256
1676054372,255
1676054373,255
1676054374,184
1676054375,122
1676054376,131
1676054377,133
1676054378,132
1676054379,130
1676054380,127
1676054381,126
1676054382,123
1676054383,124
1676054384,125
1676054385,127
1676054386,127
1676054387,129
1676054388,129
1676054389,125
1676054390,126
1676054391,129
1676054392,128
1676054393,127
1676054394,128
1676054395,130
1676054396,129
1676054397,130
1676054398,129
1676054399,160
1676054400,256
1676054401,255
1676054402,256
1676054403,255
1676054404,256
1676054405,255
1676054406,256
1676054407,153
1676054408,160
1676054409,160
1676054410,160
1676054411,161
1676054412,162
1676054413,162
1676054414,163
1676054415,160
1676054416,162
1676054417,160
1676054418,163
1676054419,163
1676054420,161
1676054421,162
1676054422,166
1676054423,166
1676054424,172
1676054425,175
1676054426,167
1676054427,152
1676054428,156
1676054429,157
1676054430,147
1676054431,143
1676054432,149
1676054433,149
1676054434,155
1676054435,150
1676054436,148
1676054437,145
1676054438,146
1676054439,148
1676054440,147
1676054441,150
1676054442,147
1676054443,157
1676054444,160
1676054445,157
1676054446,153
1676054447,154
1676054448,155
1676054449,161
1676054450,162
1676054451,157
1676054452,164
1676054453,161
1676054454,154
1676054455,152
1676054456,147
1676054457,149
1676054458,151
1676054459,152
1676054460,152
1676054461,155
1676054462,156
1676054463,152
1676054464,153
1676054465,153
1676054466,155
1676054467,160
1676054468,159
1676054469,155
1676054470,149
1676054471,150
1676054472,149
1676054473,149
1676054474,154
1676054475,154
1676054476,153
1676054477,152
1676054478,157
1676054479,160
1676054480,156
1676054481,159
1676054482,156
1676054483,158
1676054484,156
1676054485,158
1676054486,158
1676054487,167
1676054488,162
1676054489,155
1676054490,153
1676054491,147
1676054492,144
1676054493,146
1676054494,147
1676054495,147
1676054496,149
1676054497,151
1676054498,149
1676054499,144
1676054500,148
1676054501,148
1676054502,147
1676054503,145
1676054504,146
1676054505,166
1676054506,165
1676054507,161
1676054508,162
1676054509,161
1676054510,154
1676054511,142
1676054512,142
1676054513,144
1676054514,145
1676054515,144
1676054516,144
1676054517,141
1676054518,142
1676054519,140
1676054520,140
1676054521,138
1676054522,139
1676054523,141
1676054524,145
1676054525,141
1676054526,140
1676054527,139
1676054528,134
1676054529,132
1676054530,134
1676054531,131
1676054532,132
1676054533,133
1676054534,132
1676054535,137
1676054536,141
1676054537,141
1676054538,145
1676054539,140
1676054540,142
1676054541,139
1676054542,143
1676054543,142
1676054544,141
1676054545,141
1676054546,78
