time,FPS
1677870822,43
1677870823,51
1677870824,36
1677870825,53
1677870826,56
1677870827,52
1677870828,52
1677870829,52
1677870830,52
1677870831,52
1677870832,52
1677870833,53
1677870834,38
1677870835,55
1677870836,56
1677870837,53
1677870838,53
1677870839,52
1677870840,53
1677870841,54
1677870842,55
1677870843,47
1677870844,53
1677870845,50
1677870846,51
1677870847,53
1677870848,55
1677870849,53
1677870850,54
1677870851,52
1677870852,49
1677870853,55
1677870854,56
1677870855,52
1677870856,59
1677870857,58
1677870858,61
1677870859,59
1677870860,60
1677870861,59
1677870862,60
1677870863,58
1677870864,59
1677870865,60
1677870866,61
1677870867,60
1677870868,61
1677870869,59
1677870870,59
1677870871,61
1677870872,60
1677870873,59
1677870874,60
1677870875,61
1677870876,61
1677870877,60
1677870878,60
1677870879,59
1677870880,60
1677870881,62
1677870882,61
1677870883,60
1677870884,58
1677870885,57
1677870886,60
1677870887,61
1677870888,59
1677870889,59
1677870890,61
1677870891,206
1677870892,255
1677870893,256
1677870894,254
1677870895,195
1677870896,78
1677870897,78
1677870898,79
1677870899,80
1677870900,81
1677870901,80
1677870902,80
1677870903,81
1677870904,79
1677870905,78
1677870906,79
1677870907,78
1677870908,77
1677870909,79
1677870910,80
1677870911,81
1677870912,80
1677870913,81
1677870914,80
1677870915,80
1677870916,81
1677870917,81
1677870918,84
1677870919,83
1677870920,144
1677870921,256
1677870922,255
1677870923,248
1677870924,189
1677870925,85
1677870926,95
1677870927,94
1677870928,96
1677870929,96
1677870930,95
1677870931,97
1677870932,96
1677870933,95
1677870934,94
1677870935,95
1677870936,93
1677870937,94
1677870938,95
1677870939,92
1677870940,94
1677870941,95
1677870942,94
1677870943,94
1677870944,93
1677870945,95
1677870946,93
1677870947,97
1677870948,96
1677870949,157
1677870950,256
1677870951,256
1677870952,253
1677870953,200
1677870954,92
1677870955,83
1677870956,87
1677870957,88
1677870958,83
1677870959,85
1677870960,87
1677870961,84
1677870962,86
1677870963,87
1677870964,88
1677870965,92
1677870966,93
1677870967,95
1677870968,95
1677870969,93
1677870970,97
1677870971,95
1677870972,98
1677870973,99
1677870974,99
1677870975,96
1677870976,98
1677870977,98
1677870978,156
1677870979,254
1677870980,255
1677870981,255
1677870982,253
1677870983,256
1677870984,255
1677870985,255
1677870986,159
1677870987,87
1677870988,86
1677870989,90
1677870990,86
1677870991,87
1677870992,82
1677870993,83
1677870994,80
1677870995,84
1677870996,84
1677870997,82
1677870998,85
1677870999,77
1677871000,84
1677871001,84
1677871002,80
1677871003,86
1677871004,82
1677871005,85
1677871006,84
1677871007,84
1677871008,85
1677871009,86
1677871010,86
1677871011,182
1677871012,255
1677871013,256
1677871014,254
1677871015,250
1677871016,256
1677871017,255
1677871018,255
1677871019,250
1677871020,255
1677871021,112
1677871022,103
1677871023,106
1677871024,105
1677871025,105
1677871026,107
1677871027,104
1677871028,104
1677871029,108
1677871030,103
1677871031,105
1677871032,108
1677871033,102
1677871034,107
1677871035,103
1677871036,107
1677871037,109
1677871038,113
1677871039,113
1677871040,108
1677871041,101
1677871042,104
1677871043,104
1677871044,99
1677871045,98
1677871046,95
1677871047,96
1677871048,101
1677871049,99
1677871050,97
1677871051,97
1677871052,95
1677871053,95
1677871054,97
1677871055,101
1677871056,99
1677871057,102
1677871058,99
1677871059,102
1677871060,101
1677871061,97
1677871062,102
1677871063,104
1677871064,108
1677871065,104
1677871066,108
1677871067,107
1677871068,103
1677871069,101
1677871070,96
1677871071,94
1677871072,99
1677871073,98
1677871074,99
1677871075,99
1677871076,102
1677871077,98
1677871078,101
1677871079,98
1677871080,103
1677871081,103
1677871082,102
1677871083,98
1677871084,97
1677871085,95
1677871086,95
1677871087,93
1677871088,96
1677871089,99
1677871090,97
1677871091,96
1677871092,100
1677871093,102
1677871094,99
1677871095,99
1677871096,102
1677871097,99
1677871098,103
1677871099,101
1677871100,105
1677871101,100
1677871102,97
1677871103,101
1677871104,98
1677871105,98
1677871106,94
1677871107,95
1677871108,95
1677871109,97
1677871110,96
1677871111,93
1677871112,98
1677871113,98
1677871114,92
1677871115,95
1677871116,95
1677871117,95
1677871118,97
1677871119,106
1677871120,105
1677871121,104
1677871122,103
1677871123,96
1677871124,100
1677871125,98
1677871126,101
1677871127,96
1677871128,93
1677871129,89
1677871130,89
1677871131,91
1677871132,93
1677871133,89
1677871134,90
1677871135,91
1677871136,88
1677871137,89
1677871138,87
1677871139,88
1677871140,92
1677871141,92
1677871142,91
1677871143,88
1677871144,85
1677871145,86
1677871146,85
1677871147,87
1677871148,82
1677871149,83
1677871150,85
1677871151,85
1677871152,88
1677871153,93
1677871154,91
1677871155,93
1677871156,88
1677871157,89
1677871158,89
1677871159,88
1677871160,91
1677871161,91
1677871162,91
1677871163,92
1677871164,90
1677871165,93
1677871166,92
1677871167,92
1677871168,92
1677871169,94
1677871170,88
1677871171,85
1677871172,88
1677871173,91
1677871174,92
1677871175,41
