time,FPS
1675469741,30
1675469742,45
1675469743,27
1675469744,53
1675469745,42
1675469746,50
1675469747,42
1675469748,41
1675469749,46
1675469750,42
1675469751,43
1675469752,45
1675469753,41
1675469754,45
1675469755,45
1675469756,46
1675469757,44
1675469758,42
1675469759,42
1675469760,42
1675469761,45
1675469762,43
1675469763,51
1675469764,45
1675469765,46
1675469766,46
1675469767,44
1675469768,42
1675469769,46
1675469770,43
1675469771,42
1675469772,42
1675469773,43
1675469774,43
1675469775,44
1675469776,42
1675469777,44
1675469778,47
1675469779,44
1675469780,42
1675469781,44
1675469782,40
1675469783,45
1675469784,42
1675469785,44
1675469786,46
1675469787,47
1675469788,55
1675469789,55
1675469790,52
1675469791,54
1675469792,53
1675469793,53
1675469794,53
1675469795,52
1675469796,54
1675469797,43
1675469798,42
1675469799,41
1675469800,44
1675469801,47
1675469802,41
1675469803,48
1675469804,45
1675469805,42
1675469806,42
1675469807,46
1675469808,49
1675469809,44
1675469810,49
1675469811,47
1675469812,45
1675469813,46
1675469814,46
1675469815,43
1675469816,45
1675469817,43
1675469818,45
1675469819,47
1675469820,41
1675469821,46
1675469822,43
1675469823,43
1675469824,45
1675469825,47
1675469826,47
1675469827,48
1675469828,44
1675469829,45
1675469830,51
1675469831,46
1675469832,48
1675469833,42
1675469834,42
1675469835,43
1675469836,46
1675469837,44
1675469838,47
1675469839,49
1675469840,43
1675469841,45
1675469842,47
1675469843,46
1675469844,41
1675469845,190
1675469846,255
1675469847,251
1675469848,255
1675469849,148
1675469850,124
1675469851,129
1675469852,131
1675469853,131
1675469854,131
1675469855,126
1675469856,131
1675469857,131
1675469858,127
1675469859,129
1675469860,126
1675469861,128
1675469862,128
1675469863,127
1675469864,129
1675469865,129
1675469866,130
1675469867,130
1675469868,129
1675469869,133
1675469870,134
1675469871,133
1675469872,131
1675469873,130
1675469874,206
1675469875,255
1675469876,256
1675469877,254
1675469878,111
1675469879,157
1675469880,158
1675469881,152
1675469882,157
1675469883,151
1675469884,158
1675469885,158
1675469886,159
1675469887,158
1675469888,158
1675469889,155
1675469890,159
1675469891,160
1675469892,155
1675469893,156
1675469894,156
1675469895,157
1675469896,158
1675469897,158
1675469898,159
1675469899,159
1675469900,160
1675469901,161
1675469902,161
1675469903,252
1675469904,253
1675469905,253
1675469906,184
1675469907,143
1675469908,139
1675469909,138
1675469910,135
1675469911,136
1675469912,135
1675469913,134
1675469914,134
1675469915,137
1675469916,138
1675469917,140
1675469918,144
1675469919,148
1675469920,151
1675469921,153
1675469922,152
1675469923,153
1675469924,155
1675469925,155
1675469926,156
1675469927,156
1675469928,157
1675469929,158
1675469930,158
1675469931,198
1675469932,255
1675469933,255
1675469934,255
1675469935,256
1675469936,255
1675469937,176
1675469938,126
1675469939,131
1675469940,133
1675469941,131
1675469942,131
1675469943,127
1675469944,123
1675469945,123
1675469946,123
1675469947,125
1675469948,126
1675469949,126
1675469950,128
1675469951,124
1675469952,128
1675469953,128
1675469954,129
1675469955,128
1675469956,128
1675469957,126
1675469958,129
1675469959,130
1675469960,128
1675469961,130
1675469962,186
1675469963,256
1675469964,255
1675469965,256
1675469966,256
1675469967,253
1675469968,256
1675469969,256
1675469970,139
1675469971,160
1675469972,159
1675469973,160
1675469974,155
1675469975,161
1675469976,159
1675469977,161
1675469978,163
1675469979,160
1675469980,162
1675469981,161
1675469982,162
1675469983,158
1675469984,161
1675469985,163
1675469986,166
1675469987,167
1675469988,174
1675469989,168
1675469990,153
1675469991,155
1675469992,159
1675469993,150
1675469994,143
1675469995,144
1675469996,153
1675469997,155
1675469998,149
1675469999,145
1675470000,144
1675470001,145
1675470002,147
1675470003,146
1675470004,150
1675470005,149
1675470006,158
1675470007,160
1675470008,155
1675470009,152
1675470010,152
1675470011,157
1675470012,164
1675470013,165
1675470014,164
1675470015,165
1675470016,159
1675470017,155
1675470018,152
1675470019,147
1675470020,150
1675470021,151
1675470022,153
1675470023,151
1675470024,152
1675470025,155
1675470026,152
1675470027,154
1675470028,152
1675470029,153
1675470030,161
1675470031,158
1675470032,153
1675470033,148
1675470034,149
1675470035,148
1675470036,150
1675470037,156
1675470038,154
1675470039,155
1675470040,152
1675470041,162
1675470042,156
1675470043,159
1675470044,157
1675470045,160
1675470046,162
1675470047,160
1675470048,160
1675470049,159
1675470050,159
1675470051,163
1675470052,160
1675470053,152
1675470054,147
1675470055,146
1675470056,146
1675470057,145
1675470058,145
1675470059,146
1675470060,148
1675470061,148
1675470062,151
1675470063,150
1675470064,150
1675470065,144
1675470066,146
1675470067,147
1675470068,147
1675470069,148
1675470070,169
1675470071,161
1675470072,158
1675470073,160
1675470074,159
1675470075,158
1675470076,156
1675470077,143
1675470078,143
1675470079,143
1675470080,147
1675470081,147
1675470082,144
1675470083,142
1675470084,142
1675470085,141
1675470086,140
1675470087,139
1675470088,141
1675470089,142
1675470090,146
1675470091,141
1675470092,142
1675470093,141
1675470094,135
1675470095,134
1675470096,136
1675470097,134
1675470098,135
1675470099,137
1675470100,138
1675470101,140
1675470102,144
1675470103,147
1675470104,148
1675470105,142
1675470106,140
1675470107,141
1675470108,146
1675470109,117
