time,FPS
1680724579,34
1680724580,40
1680724581,28
1680724582,53
1680724583,52
1680724584,51
1680724585,50
1680724586,50
1680724587,51
1680724588,49
1680724589,47
1680724590,52
1680724591,45
1680724592,41
1680724593,42
1680724594,45
1680724595,45
1680724596,43
1680724597,44
1680724598,44
1680724599,44
1680724600,44
1680724601,42
1680724602,44
1680724603,43
1680724604,44
1680724605,42
1680724606,43
1680724607,46
1680724608,44
1680724609,42
1680724610,44
1680724611,43
1680724612,43
1680724613,44
1680724614,43
1680724615,43
1680724616,43
1680724617,45
1680724618,40
1680724619,43
1680724620,42
1680724621,46
1680724622,44
1680724623,43
1680724624,57
1680724625,58
1680724626,58
1680724627,54
1680724628,57
1680724629,57
1680724630,56
1680724631,57
1680724632,57
1680724633,44
1680724634,39
1680724635,40
1680724636,40
1680724637,39
1680724638,38
1680724639,46
1680724640,41
1680724641,39
1680724642,43
1680724643,42
1680724644,47
1680724645,41
1680724646,43
1680724647,44
1680724648,43
1680724649,43
1680724650,45
1680724651,44
1680724652,44
1680724653,44
1680724654,43
1680724655,42
1680724656,43
1680724657,47
1680724658,43
1680724659,43
1680724660,47
1680724661,46
1680724662,46
1680724663,47
1680724664,50
1680724665,42
1680724666,43
1680724667,44
1680724668,48
1680724669,45
1680724670,47
1680724671,41
1680724672,43
1680724673,44
1680724674,44
1680724675,47
1680724676,47
1680724677,45
1680724678,44
1680724679,43
1680724680,46
1680724681,119
1680724682,255
1680724683,254
1680724684,255
1680724685,198
1680724686,66
1680724687,64
1680724688,65
1680724689,65
1680724690,64
1680724691,65
1680724692,66
1680724693,65
1680724694,65
1680724695,63
1680724696,64
1680724697,65
1680724698,65
1680724699,66
1680724700,66
1680724701,66
1680724702,67
1680724703,67
1680724704,67
1680724705,65
1680724706,67
1680724707,66
1680724708,67
1680724709,66
1680724710,128
1680724711,256
1680724712,254
1680724713,253
1680724714,157
1680724715,76
1680724716,77
1680724717,76
1680724718,76
1680724719,76
1680724720,75
1680724721,75
1680724722,76
1680724723,75
1680724724,75
1680724725,68
1680724726,71
1680724727,72
1680724728,68
1680724729,69
1680724730,67
1680724731,70
1680724732,70
1680724733,71
1680724734,71
1680724735,71
1680724736,71
1680724737,71
1680724738,71
1680724739,176
1680724740,254
1680724741,255
1680724742,202
1680724743,77
1680724744,74
1680724745,76
1680724746,76
1680724747,74
1680724748,75
1680724749,75
1680724750,74
1680724751,75
1680724752,74
1680724753,76
1680724754,77
1680724755,78
1680724756,78
1680724757,78
1680724758,79
1680724759,78
1680724760,79
1680724761,79
1680724762,79
1680724763,80
1680724764,79
1680724765,80
1680724766,80
1680724767,140
1680724768,254
1680724769,253
1680724770,256
1680724771,254
1680724772,255
1680724773,111
1680724774,65
1680724775,65
1680724776,66
1680724777,66
1680724778,66
1680724779,65
1680724780,64
1680724781,63
1680724782,64
1680724783,64
1680724784,65
1680724785,65
1680724786,65
1680724787,66
1680724788,65
1680724789,66
1680724790,67
1680724791,65
1680724792,65
1680724793,66
1680724794,66
1680724795,65
1680724796,66
1680724797,65
1680724798,213
1680724799,255
1680724800,255
1680724801,255
1680724802,254
1680724803,255
1680724804,81
1680724805,75
1680724806,75
1680724807,75
1680724808,74
1680724809,76
1680724810,76
1680724811,75
1680724812,76
1680724813,75
1680724814,75
1680724815,75
1680724816,75
1680724817,75
1680724818,74
1680724819,76
1680724820,79
1680724821,80
1680724822,81
1680724823,72
1680724824,65
1680724825,69
1680724826,69
1680724827,66
1680724828,65
1680724829,66
1680724830,66
1680724831,66
1680724832,63
1680724833,62
1680724834,62
1680724835,63
1680724836,64
1680724837,66
1680724838,67
1680724839,65
1680724840,66
1680724841,68
1680724842,68
1680724843,67
1680724844,68
1680724845,70
1680724846,70
1680724847,72
1680724848,72
1680724849,73
1680724850,72
1680724851,70
1680724852,69
1680724853,65
1680724854,65
1680724855,64
1680724856,67
1680724857,64
1680724858,65
1680724859,63
1680724860,64
1680724861,65
1680724862,63
1680724863,64
1680724864,67
1680724865,66
1680724866,65
1680724867,61
1680724868,64
1680724869,62
1680724870,64
1680724871,65
1680724872,65
1680724873,66
1680724874,65
1680724875,67
1680724876,64
1680724877,64
1680724878,64
1680724879,65
1680724880,64
1680724881,65
1680724882,62
1680724883,67
1680724884,67
1680724885,66
1680724886,65
1680724887,64
1680724888,65
1680724889,63
1680724890,63
1680724891,63
1680724892,63
1680724893,63
1680724894,64
1680724895,64
1680724896,64
1680724897,62
1680724898,61
1680724899,61
1680724900,62
1680724901,62
1680724902,65
1680724903,67
1680724904,65
1680724905,65
1680724906,65
1680724907,63
1680724908,63
1680724909,62
1680724910,61
1680724911,59
1680724912,60
1680724913,60
1680724914,60
1680724915,58
1680724916,58
1680724917,59
1680724918,59
1680724919,57
1680724920,59
1680724921,59
1680724922,61
1680724923,63
1680724924,62
1680724925,62
1680724926,60
1680724927,59
1680724928,60
1680724929,60
1680724930,60
1680724931,60
1680724932,62
1680724933,64
1680724934,68
1680724935,70
1680724936,72
1680724937,71
1680724938,65
1680724939,62
1680724940,62
1680724941,63
1680724942,63
1680724943,63
1680724944,63
1680724945,63
1680724946,2
