time,FPS
1676325928,45
1676325929,46
1676325930,27
1676325931,50
1676325932,49
1676325933,48
1676325934,49
1676325935,48
1676325936,47
1676325937,48
1676325938,45
1676325939,48
1676325940,48
1676325941,45
1676325942,45
1676325943,45
1676325944,44
1676325945,43
1676325946,44
1676325947,42
1676325948,43
1676325949,49
1676325950,51
1676325951,51
1676325952,53
1676325953,54
1676325954,56
1676325955,53
1676325956,49
1676325957,52
1676325958,52
1676325959,55
1676325960,51
1676325961,53
1676325962,50
1676325963,50
1676325964,52
1676325965,53
1676325966,51
1676325967,53
1676325968,54
1676325969,53
1676325970,53
1676325971,53
1676325972,59
1676325973,59
1676325974,57
1676325975,59
1676325976,58
1676325977,58
1676325978,58
1676325979,57
1676325980,50
1676325981,44
1676325982,41
1676325983,42
1676325984,44
1676325985,45
1676325986,42
1676325987,43
1676325988,42
1676325989,44
1676325990,43
1676325991,42
1676325992,49
1676325993,47
1676325994,48
1676325995,48
1676325996,44
1676325997,47
1676325998,46
1676325999,48
1676326000,48
1676326001,49
1676326002,49
1676326003,52
1676326004,51
1676326005,48
1676326006,53
1676326007,47
1676326008,48
1676326009,52
1676326010,47
1676326011,51
1676326012,46
1676326013,52
1676326014,48
1676326015,47
1676326016,54
1676326017,47
1676326018,50
1676326019,48
1676326020,49
1676326021,50
1676326022,49
1676326023,50
1676326024,50
1676326025,49
1676326026,48
1676326027,50
1676326028,57
1676326029,250
1676326030,255
1676326031,249
1676326032,255
1676326033,89
1676326034,110
1676326035,115
1676326036,116
1676326037,116
1676326038,117
1676326039,113
1676326040,115
1676326041,115
1676326042,117
1676326043,115
1676326044,116
1676326045,115
1676326046,116
1676326047,117
1676326048,119
1676326049,118
1676326050,121
1676326051,118
1676326052,121
1676326053,122
1676326054,121
1676326055,120
1676326056,118
1676326057,120
1676326058,252
1676326059,256
1676326060,255
1676326061,255
1676326062,112
1676326063,152
1676326064,151
1676326065,151
1676326066,154
1676326067,152
1676326068,151
1676326069,152
1676326070,147
1676326071,150
1676326072,144
1676326073,145
1676326074,149
1676326075,149
1676326076,146
1676326077,146
1676326078,147
1676326079,146
1676326080,150
1676326081,146
1676326082,151
1676326083,154
1676326084,153
1676326085,155
1676326086,155
1676326087,249
1676326088,255
1676326089,255
1676326090,176
1676326091,144
1676326092,137
1676326093,137
1676326094,137
1676326095,136
1676326096,135
1676326097,131
1676326098,136
1676326099,137
1676326100,139
1676326101,141
1676326102,147
1676326103,149
1676326104,153
1676326105,154
1676326106,153
1676326107,155
1676326108,156
1676326109,156
1676326110,157
1676326111,158
1676326112,158
1676326113,157
1676326114,159
1676326115,207
1676326116,256
1676326117,254
1676326118,256
1676326119,255
1676326120,255
1676326121,148
1676326122,127
1676326123,134
1676326124,133
1676326125,133
1676326126,130
1676326127,128
1676326128,126
1676326129,124
1676326130,124
1676326131,125
1676326132,126
1676326133,126
1676326134,126
1676326135,128
1676326136,124
1676326137,128
1676326138,127
1676326139,128
1676326140,125
1676326141,127
1676326142,128
1676326143,127
1676326144,129
1676326145,124
1676326146,201
1676326147,255
1676326148,255
1676326149,254
1676326150,255
1676326151,256
1676326152,255
1676326153,206
1676326154,157
1676326155,161
1676326156,163
1676326157,159
1676326158,157
1676326159,162
1676326160,163
1676326161,163
1676326162,163
1676326163,160
1676326164,163
1676326165,163
1676326166,160
1676326167,163
1676326168,164
1676326169,166
1676326170,173
1676326171,174
1676326172,168
1676326173,156
1676326174,157
1676326175,162
1676326176,151
1676326177,146
1676326178,150
1676326179,156
1676326180,156
1676326181,150
1676326182,147
1676326183,146
1676326184,146
1676326185,146
1676326186,150
1676326187,152
1676326188,149
1676326189,158
1676326190,161
1676326191,155
1676326192,154
1676326193,154
1676326194,163
1676326195,166
1676326196,164
1676326197,166
1676326198,166
1676326199,161
1676326200,155
1676326201,149
1676326202,147
1676326203,151
1676326204,154
1676326205,153
1676326206,151
1676326207,156
1676326208,155
1676326209,152
1676326210,157
1676326211,154
1676326212,156
1676326213,161
1676326214,160
1676326215,153
1676326216,148
1676326217,150
1676326218,149
1676326219,149
1676326220,152
1676326221,154
1676326222,153
1676326223,151
1676326224,161
1676326225,159
1676326226,158
1676326227,157
1676326228,158
1676326229,157
1676326230,156
1676326231,157
1676326232,159
1676326233,171
1676326234,168
1676326235,166
1676326236,161
1676326237,157
1676326238,150
1676326239,146
1676326240,148
1676326241,149
1676326242,150
1676326243,151
1676326244,148
1676326245,141
1676326246,143
1676326247,146
1676326248,144
1676326249,143
1676326250,145
1676326251,143
1676326252,145
1676326253,136
1676326254,143
1676326255,142
1676326256,140
1676326257,141
1676326258,141
1676326259,143
1676326260,147
1676326261,145
1676326262,144
1676326263,142
1676326264,143
1676326265,141
1676326266,141
1676326267,139
1676326268,140
1676326269,143
1676326270,145
1676326271,140
1676326272,141
1676326273,138
1676326274,133
1676326275,133
1676326276,135
1676326277,125
1676326278,128
1676326279,128
1676326280,131
1676326281,131
1676326282,137
1676326283,138
1676326284,138
1676326285,135
1676326286,139
1676326287,134
1676326288,141
1676326289,135
1676326290,137
1676326291,135
1676326292,136
