time,FPS
1679005865,36
1679005866,47
1679005867,27
1679005868,51
1679005869,42
1679005870,47
1679005871,47
1679005872,46
1679005873,51
1679005874,48
1679005875,49
1679005876,45
1679005877,46
1679005878,49
1679005879,47
1679005880,47
1679005881,44
1679005882,46
1679005883,40
1679005884,46
1679005885,46
1679005886,44
1679005887,47
1679005888,55
1679005889,54
1679005890,52
1679005891,52
1679005892,52
1679005893,54
1679005894,51
1679005895,52
1679005896,54
1679005897,54
1679005898,54
1679005899,54
1679005900,52
1679005901,53
1679005902,51
1679005903,54
1679005904,53
1679005905,49
1679005906,53
1679005907,49
1679005908,54
1679005909,49
1679005910,58
1679005911,59
1679005912,59
1679005913,56
1679005914,57
1679005915,58
1679005916,57
1679005917,56
1679005918,57
1679005919,46
1679005920,45
1679005921,44
1679005922,45
1679005923,46
1679005924,45
1679005925,47
1679005926,49
1679005927,47
1679005928,44
1679005929,45
1679005930,46
1679005931,44
1679005932,48
1679005933,49
1679005934,50
1679005935,51
1679005936,49
1679005937,52
1679005938,50
1679005939,48
1679005940,49
1679005941,51
1679005942,47
1679005943,48
1679005944,51
1679005945,46
1679005946,51
1679005947,45
1679005948,48
1679005949,46
1679005950,49
1679005951,49
1679005952,48
1679005953,45
1679005954,49
1679005955,47
1679005956,50
1679005957,44
1679005958,46
1679005959,44
1679005960,41
1679005961,45
1679005962,48
1679005963,45
1679005964,43
1679005965,49
1679005966,46
1679005967,157
1679005968,250
1679005969,252
1679005970,253
1679005971,183
1679005972,125
1679005973,123
1679005974,130
1679005975,130
1679005976,130
1679005977,130
1679005978,125
1679005979,127
1679005980,125
1679005981,128
1679005982,128
1679005983,127
1679005984,125
1679005985,127
1679005986,123
1679005987,128
1679005988,129
1679005989,127
1679005990,130
1679005991,125
1679005992,132
1679005993,132
1679005994,132
1679005995,132
1679005996,180
1679005997,255
1679005998,256
1679005999,254
1679006000,167
1679006001,145
1679006002,154
1679006003,157
1679006004,155
1679006005,151
1679006006,151
1679006007,153
1679006008,156
1679006009,155
1679006010,156
1679006011,155
1679006012,150
1679006013,155
1679006014,149
1679006015,152
1679006016,148
1679006017,149
1679006018,151
1679006019,154
1679006020,155
1679006021,155
1679006022,156
1679006023,156
1679006024,157
1679006025,207
1679006026,256
1679006027,255
1679006028,255
1679006029,142
1679006030,136
1679006031,135
1679006032,135
1679006033,136
1679006034,134
1679006035,135
1679006036,132
1679006037,136
1679006038,138
1679006039,140
1679006040,144
1679006041,149
1679006042,151
1679006043,154
1679006044,153
1679006045,155
1679006046,155
1679006047,156
1679006048,156
1679006049,158
1679006050,158
1679006051,158
1679006052,159
1679006053,159
1679006054,249
1679006055,255
1679006056,256
1679006057,253
1679006058,255
1679006059,254
1679006060,254
1679006061,193
1679006062,107
1679006063,132
1679006064,131
1679006065,131
1679006066,128
1679006067,127
1679006068,124
1679006069,120
1679006070,120
1679006071,120
1679006072,121
1679006073,121
1679006074,124
1679006075,123
1679006076,123
1679006077,125
1679006078,123
1679006079,124
1679006080,123
1679006081,121
1679006082,125
1679006083,124
1679006084,127
1679006085,126
1679006086,150
1679006087,255
1679006088,255
1679006089,255
1679006090,256
1679006091,253
1679006092,256
1679006093,251
1679006094,255
1679006095,169
1679006096,158
1679006097,161
1679006098,161
1679006099,161
1679006100,161
1679006101,162
1679006102,161
1679006103,165
1679006104,162
1679006105,163
1679006106,163
1679006107,163
1679006108,161
1679006109,163
1679006110,165
1679006111,166
1679006112,169
1679006113,173
1679006114,169
1679006115,155
1679006116,152
1679006117,158
1679006118,149
1679006119,144
1679006120,147
1679006121,153
1679006122,154
1679006123,151
1679006124,146
1679006125,147
1679006126,146
1679006127,147
1679006128,148
1679006129,150
1679006130,148
1679006131,156
1679006132,160
1679006133,155
1679006134,152
1679006135,154
1679006136,158
1679006137,160
1679006138,160
1679006139,164
1679006140,166
1679006141,158
1679006142,156
1679006143,153
1679006144,148
1679006145,152
1679006146,153
1679006147,154
1679006148,152
1679006149,156
1679006150,156
1679006151,150
1679006152,156
1679006153,153
1679006154,155
1679006155,162
1679006156,158
1679006157,154
1679006158,149
1679006159,152
1679006160,149
1679006161,152
1679006162,157
1679006163,157
1679006164,155
1679006165,153
1679006166,163
1679006167,162
1679006168,159
1679006169,157
1679006170,160
1679006171,160
1679006172,157
1679006173,158
1679006174,166
1679006175,161
1679006176,152
1679006177,153
1679006178,152
1679006179,147
1679006180,148
1679006181,147
1679006182,148
1679006183,150
1679006184,150
1679006185,151
1679006186,151
1679006187,151
1679006188,145
1679006189,147
1679006190,148
1679006191,147
1679006192,149
1679006193,167
1679006194,160
1679006195,160
1679006196,153
1679006197,158
1679006198,158
1679006199,154
1679006200,146
1679006201,144
1679006202,144
1679006203,150
1679006204,149
1679006205,148
1679006206,144
1679006207,145
1679006208,143
1679006209,143
1679006210,139
1679006211,141
1679006212,142
1679006213,147
1679006214,145
1679006215,141
1679006216,143
1679006217,136
1679006218,135
1679006219,135
1679006220,130
1679006221,126
1679006222,126
1679006223,130
1679006224,137
1679006225,135
1679006226,143
1679006227,139
1679006228,140
1679006229,136
1679006230,137
1679006231,95
