time,FPS
1676077092,38
1676077093,45
1676077094,22
1676077095,52
1676077096,45
1676077097,44
1676077098,47
1676077099,45
1676077100,43
1676077101,47
1676077102,43
1676077103,43
1676077104,40
1676077105,43
1676077106,41
1676077107,39
1676077108,38
1676077109,41
1676077110,41
1676077111,38
1676077112,42
1676077113,40
1676077114,42
1676077115,50
1676077116,53
1676077117,52
1676077118,48
1676077119,51
1676077120,54
1676077121,50
1676077122,52
1676077123,51
1676077124,51
1676077125,53
1676077126,52
1676077127,50
1676077128,50
1676077129,51
1676077130,53
1676077131,52
1676077132,49
1676077133,51
1676077134,53
1676077135,50
1676077136,54
1676077137,59
1676077138,59
1676077139,56
1676077140,57
1676077141,58
1676077142,58
1676077143,57
1676077144,58
1676077145,43
1676077146,39
1676077147,42
1676077148,38
1676077149,42
1676077150,42
1676077151,41
1676077152,43
1676077153,44
1676077154,40
1676077155,42
1676077156,41
1676077157,43
1676077158,43
1676077159,41
1676077160,45
1676077161,44
1676077162,43
1676077163,44
1676077164,43
1676077165,44
1676077166,45
1676077167,44
1676077168,43
1676077169,44
1676077170,43
1676077171,41
1676077172,42
1676077173,43
1676077174,42
1676077175,43
1676077176,42
1676077177,39
1676077178,42
1676077179,43
1676077180,42
1676077181,43
1676077182,42
1676077183,44
1676077184,43
1676077185,39
1676077186,43
1676077187,42
1676077188,43
1676077189,40
1676077190,41
1676077191,44
1676077192,43
1676077193,96
1676077194,250
1676077195,254
1676077196,249
1676077197,201
1676077198,112
1676077199,109
1676077200,112
1676077201,113
1676077202,114
1676077203,114
1676077204,118
1676077205,114
1676077206,117
1676077207,112
1676077208,112
1676077209,115
1676077210,112
1676077211,117
1676077212,119
1676077213,120
1676077214,120
1676077215,120
1676077216,122
1676077217,121
1676077218,121
1676077219,120
1676077220,120
1676077221,119
1676077222,163
1676077223,255
1676077224,254
1676077225,251
1676077226,203
1676077227,138
1676077228,153
1676077229,150
1676077230,154
1676077231,148
1676077232,150
1676077233,153
1676077234,156
1676077235,155
1676077236,156
1676077237,152
1676077238,151
1676077239,152
1676077240,153
1676077241,150
1676077242,150
1676077243,145
1676077244,154
1676077245,147
1676077246,155
1676077247,149
1676077248,156
1676077249,149
1676077250,151
1676077251,187
1676077252,255
1676077253,256
1676077254,254
1676077255,138
1676077256,138
1676077257,137
1676077258,137
1676077259,136
1676077260,135
1676077261,134
1676077262,133
1676077263,136
1676077264,138
1676077265,139
1676077266,144
1676077267,147
1676077268,152
1676077269,152
1676077270,154
1676077271,155
1676077272,156
1676077273,156
1676077274,158
1676077275,157
1676077276,159
1676077277,159
1676077278,159
1676077279,157
1676077280,242
1676077281,254
1676077282,248
1676077283,254
1676077284,256
1676077285,185
1676077286,121
1676077287,133
1676077288,133
1676077289,132
1676077290,131
1676077291,129
1676077292,126
1676077293,125
1676077294,123
1676077295,124
1676077296,124
1676077297,126
1676077298,127
1676077299,128
1676077300,126
1676077301,127
1676077302,128
1676077303,128
1676077304,128
1676077305,127
1676077306,128
1676077307,128
1676077308,130
1676077309,130
1676077310,174
1676077311,255
1676077312,256
1676077313,254
1676077314,255
1676077315,255
1676077316,255
1676077317,150
1676077318,161
1676077319,160
1676077320,161
1676077321,159
1676077322,161
1676077323,159
1676077324,161
1676077325,163
1676077326,160
1676077327,162
1676077328,163
1676077329,163
1676077330,159
1676077331,157
1676077332,163
1676077333,170
1676077334,173
1676077335,174
1676077336,170
1676077337,154
1676077338,157
1676077339,159
1676077340,150
1676077341,144
1676077342,149
1676077343,156
1676077344,155
1676077345,151
1676077346,146
1676077347,145
1676077348,146
1676077349,143
1676077350,148
1676077351,151
1676077352,150
1676077353,156
1676077354,158
1676077355,153
1676077356,150
1676077357,149
1676077358,157
1676077359,162
1676077360,162
1676077361,162
1676077362,164
1676077363,161
1676077364,153
1676077365,152
1676077366,148
1676077367,150
1676077368,153
1676077369,153
1676077370,149
1676077371,155
1676077372,154
1676077373,153
1676077374,158
1676077375,155
1676077376,156
1676077377,163
1676077378,158
1676077379,158
1676077380,149
1676077381,151
1676077382,146
1676077383,149
1676077384,154
1676077385,155
1676077386,155
1676077387,152
1676077388,160
1676077389,158
1676077390,155
1676077391,157
1676077392,157
1676077393,158
1676077394,157
1676077395,160
1676077396,158
1676077397,156
1676077398,162
1676077399,161
1676077400,154
1676077401,155
1676077402,154
1676077403,147
1676077404,148
1676077405,147
1676077406,148
1676077407,149
1676077408,150
1676077409,150
1676077410,151
1676077411,148
1676077412,147
1676077413,146
1676077414,149
1676077415,148
1676077416,149
1676077417,167
1676077418,158
1676077419,156
1676077420,149
1676077421,158
1676077422,153
1676077423,155
1676077424,146
1676077425,140
1676077426,144
1676077427,147
1676077428,147
1676077429,146
1676077430,142
1676077431,143
1676077432,143
1676077433,141
1676077434,139
1676077435,139
1676077436,142
1676077437,145
1676077438,144
1676077439,142
1676077440,142
1676077441,136
1676077442,133
1676077443,135
1676077444,129
1676077445,125
1676077446,127
1676077447,127
1676077448,134
1676077449,136
1676077450,141
1676077451,141
1676077452,136
1676077453,131
1676077454,138
1676077455,136
1676077456,138
1676077457,119
