time,FPS
1680120766,23
1680120767,53
1680120768,28
1680120769,51
1680120770,47
1680120771,45
1680120772,42
1680120773,40
1680120774,48
1680120775,48
1680120776,44
1680120777,41
1680120778,44
1680120779,44
1680120780,45
1680120781,44
1680120782,44
1680120783,44
1680120784,43
1680120785,45
1680120786,47
1680120787,45
1680120788,45
1680120789,47
1680120790,44
1680120791,48
1680120792,45
1680120793,42
1680120794,43
1680120795,43
1680120796,43
1680120797,41
1680120798,45
1680120799,41
1680120800,47
1680120801,43
1680120802,43
1680120803,39
1680120804,45
1680120805,41
1680120806,42
1680120807,42
1680120808,41
1680120809,47
1680120810,57
1680120811,56
1680120812,54
1680120813,55
1680120814,53
1680120815,55
1680120816,52
1680120817,53
1680120818,53
1680120819,44
1680120820,46
1680120821,43
1680120822,39
1680120823,44
1680120824,43
1680120825,41
1680120826,47
1680120827,43
1680120828,44
1680120829,41
1680120830,48
1680120831,49
1680120832,47
1680120833,44
1680120834,46
1680120835,44
1680120836,44
1680120837,44
1680120838,46
1680120839,47
1680120840,44
1680120841,43
1680120842,46
1680120843,45
1680120844,46
1680120845,41
1680120846,46
1680120847,43
1680120848,45
1680120849,46
1680120850,46
1680120851,43
1680120852,43
1680120853,43
1680120854,45
1680120855,43
1680120856,44
1680120857,41
1680120858,43
1680120859,44
1680120860,47
1680120861,44
1680120862,39
1680120863,43
1680120864,43
1680120865,44
1680120866,40
1680120867,178
1680120868,256
1680120869,252
1680120870,254
1680120871,194
1680120872,187
1680120873,190
1680120874,191
1680120875,190
1680120876,189
1680120877,188
1680120878,189
1680120879,190
1680120880,188
1680120881,183
1680120882,183
1680120883,181
1680120884,183
1680120885,181
1680120886,184
1680120887,185
1680120888,186
1680120889,187
1680120890,186
1680120891,187
1680120892,189
1680120893,188
1680120894,190
1680120895,192
1680120896,214
1680120897,256
1680120898,255
1680120899,256
1680120900,198
1680120901,210
1680120902,223
1680120903,222
1680120904,195
1680120905,217
1680120906,216
1680120907,219
1680120908,217
1680120909,215
1680120910,216
1680120911,216
1680120912,212
1680120913,217
1680120914,213
1680120915,213
1680120916,214
1680120917,214
1680120918,217
1680120919,216
1680120920,216
1680120921,217
1680120922,217
1680120923,217
1680120924,216
1680120925,233
1680120926,255
1680120927,256
1680120928,254
1680120929,196
1680120930,154
1680120931,148
1680120932,150
1680120933,151
1680120934,149
1680120935,149
1680120936,149
1680120937,156
1680120938,166
1680120939,178
1680120940,186
1680120941,204
1680120942,213
1680120943,214
1680120944,216
1680120945,217
1680120946,207
1680120947,218
1680120948,217
1680120949,208
1680120950,220
1680120951,221
1680120952,220
1680120953,217
1680120954,242
1680120955,255
1680120956,256
1680120957,255
1680120958,255
1680120959,234
1680120960,140
1680120961,165
1680120962,162
1680120963,156
1680120964,152
1680120965,151
1680120966,147
1680120967,143
1680120968,139
1680120969,141
1680120970,142
1680120971,147
1680120972,149
1680120973,150
1680120974,149
1680120975,145
1680120976,146
1680120977,149
1680120978,147
1680120979,145
1680120980,149
1680120981,152
1680120982,151
1680120983,155
1680120984,168
1680120985,256
1680120986,255
1680120987,256
1680120988,251
1680120989,256
1680120990,249
1680120991,254
1680120992,249
1680120993,171
1680120994,190
1680120995,192
1680120996,193
1680120997,191
1680120998,191
1680120999,191
1680121000,192
1680121001,194
1680121002,194
1680121003,194
1680121004,194
1680121005,190
1680121006,185
1680121007,189
1680121008,192
1680121009,190
1680121010,186
1680121011,184
1680121012,169
1680121013,154
1680121014,152
1680121015,151
1680121016,154
1680121017,155
1680121018,150
1680121019,152
1680121020,153
1680121021,152
1680121022,156
1680121023,160
1680121024,160
1680121025,160
1680121026,160
1680121027,169
1680121028,175
1680121029,174
1680121030,182
1680121031,178
1680121032,176
1680121033,179
1680121034,184
1680121035,184
1680121036,177
1680121037,184
1680121038,184
1680121039,182
1680121040,183
1680121041,182
1680121042,189
1680121043,189
1680121044,179
1680121045,172
1680121046,169
1680121047,173
1680121048,174
1680121049,175
1680121050,174
1680121051,177
1680121052,175
1680121053,179
1680121054,188
1680121055,179
1680121056,188
1680121057,186
1680121058,185
1680121059,189
1680121060,194
1680121061,192
1680121062,194
1680121063,195
1680121064,203
1680121065,200
1680121066,199
1680121067,206
1680121068,205
1680121069,208
1680121070,203
1680121071,216
1680121072,213
1680121073,219
1680121074,216
1680121075,221
1680121076,219
1680121077,216
1680121078,213
1680121079,211
1680121080,208
1680121081,208
1680121082,210
1680121083,216
1680121084,204
1680121085,208
1680121086,211
1680121087,212
1680121088,212
1680121089,213
1680121090,218
1680121091,209
1680121092,220
1680121093,222
1680121094,221
1680121095,219
1680121096,214
1680121097,209
1680121098,207
1680121099,211
1680121100,212
1680121101,212
1680121102,210
1680121103,212
1680121104,207
1680121105,207
1680121106,206
1680121107,204
1680121108,208
1680121109,210
1680121110,211
1680121111,205
1680121112,205
1680121113,206
1680121114,203
1680121115,201
1680121116,204
1680121117,190
1680121118,191
1680121119,193
1680121120,195
1680121121,197
1680121122,200
1680121123,203
1680121124,205
1680121125,196
1680121126,202
1680121127,202
1680121128,203
1680121129,202
1680121130,203
1680121131,201
1680121132,74
