time,FPS
1679428229,22
1679428230,45
1679428231,23
1679428232,51
1679428233,48
1679428234,51
1679428235,52
1679428236,54
1679428237,51
1679428238,49
1679428239,49
1679428240,48
1679428241,55
1679428242,46
1679428243,44
1679428244,44
1679428245,46
1679428246,48
1679428247,48
1679428248,42
1679428249,42
1679428250,41
1679428251,44
1679428252,59
1679428253,54
1679428254,53
1679428255,52
1679428256,55
1679428257,51
1679428258,54
1679428259,54
1679428260,52
1679428261,53
1679428262,51
1679428263,52
1679428264,51
1679428265,53
1679428266,52
1679428267,54
1679428268,51
1679428269,50
1679428270,55
1679428271,54
1679428272,55
1679428273,51
1679428274,58
1679428275,59
1679428276,58
1679428277,55
1679428278,58
1679428279,57
1679428280,57
1679428281,56
1679428282,56
1679428283,40
1679428284,40
1679428285,37
1679428286,41
1679428287,42
1679428288,41
1679428289,42
1679428290,46
1679428291,43
1679428292,41
1679428293,41
1679428294,45
1679428295,43
1679428296,45
1679428297,46
1679428298,44
1679428299,46
1679428300,44
1679428301,44
1679428302,40
1679428303,46
1679428304,45
1679428305,44
1679428306,45
1679428307,49
1679428308,48
1679428309,48
1679428310,49
1679428311,47
1679428312,46
1679428313,49
1679428314,48
1679428315,43
1679428316,43
1679428317,46
1679428318,42
1679428319,45
1679428320,48
1679428321,43
1679428322,46
1679428323,46
1679428324,44
1679428325,41
1679428326,45
1679428327,44
1679428328,47
1679428329,46
1679428330,43
1679428331,179
1679428332,254
1679428333,247
1679428334,255
1679428335,172
1679428336,114
1679428337,112
1679428338,118
1679428339,118
1679428340,115
1679428341,115
1679428342,115
1679428343,119
1679428344,119
1679428345,118
1679428346,117
1679428347,116
1679428348,117
1679428349,117
1679428350,120
1679428351,117
1679428352,116
1679428353,121
1679428354,122
1679428355,118
1679428356,121
1679428357,119
1679428358,121
1679428359,122
1679428360,178
1679428361,254
1679428362,255
1679428363,255
1679428364,137
1679428365,151
1679428366,154
1679428367,153
1679428368,154
1679428369,153
1679428370,153
1679428371,153
1679428372,152
1679428373,152
1679428374,153
1679428375,149
1679428376,150
1679428377,155
1679428378,153
1679428379,152
1679428380,152
1679428381,154
1679428382,154
1679428383,155
1679428384,155
1679428385,155
1679428386,151
1679428387,150
1679428388,149
1679428389,234
1679428390,255
1679428391,253
1679428392,251
1679428393,112
1679428394,134
1679428395,135
1679428396,135
1679428397,135
1679428398,133
1679428399,132
1679428400,132
1679428401,135
1679428402,136
1679428403,139
1679428404,143
1679428405,147
1679428406,151
1679428407,152
1679428408,153
1679428409,148
1679428410,153
1679428411,155
1679428412,155
1679428413,157
1679428414,156
1679428415,158
1679428416,157
1679428417,163
1679428418,255
1679428419,255
1679428420,255
1679428421,254
1679428422,255
1679428423,256
1679428424,208
1679428425,103
1679428426,131
1679428427,132
1679428428,131
1679428429,129
1679428430,127
1679428431,124
1679428432,121
1679428433,122
1679428434,120
1679428435,122
1679428436,124
1679428437,124
1679428438,126
1679428439,125
1679428440,125
1679428441,122
1679428442,123
1679428443,125
1679428444,123
1679428445,126
1679428446,126
1679428447,127
1679428448,127
1679428449,145
1679428450,255
1679428451,255
1679428452,255
1679428453,255
1679428454,254
1679428455,255
1679428456,255
1679428457,254
1679428458,249
1679428459,118
1679428460,160
1679428461,161
1679428462,160
1679428463,160
1679428464,162
1679428465,164
1679428466,162
1679428467,163
1679428468,161
1679428469,165
1679428470,166
1679428471,163
1679428472,160
1679428473,161
1679428474,167
1679428475,170
1679428476,174
1679428477,172
1679428478,157
1679428479,153
1679428480,161
1679428481,153
1679428482,146
1679428483,146
1679428484,152
1679428485,155
1679428486,153
1679428487,146
1679428488,147
1679428489,148
1679428490,142
1679428491,148
1679428492,150
1679428493,151
1679428494,152
1679428495,156
1679428496,155
1679428497,151
1679428498,149
1679428499,152
1679428500,160
1679428501,164
1679428502,161
1679428503,163
1679428504,164
1679428505,157
1679428506,154
1679428507,149
1679428508,148
1679428509,154
1679428510,153
1679428511,151
1679428512,154
1679428513,158
1679428514,154
1679428515,152
1679428516,153
1679428517,154
1679428518,163
1679428519,158
1679428520,157
1679428521,152
1679428522,152
1679428523,151
1679428524,150
1679428525,154
1679428526,156
1679428527,156
1679428528,154
1679428529,155
1679428530,161
1679428531,159
1679428532,154
1679428533,158
1679428534,158
1679428535,157
1679428536,157
1679428537,159
1679428538,163
1679428539,170
1679428540,166
1679428541,165
1679428542,161
1679428543,156
1679428544,150
1679428545,147
1679428546,149
1679428547,150
1679428548,151
1679428549,152
1679428550,145
1679428551,147
1679428552,148
1679428553,147
1679428554,145
1679428555,146
1679428556,163
1679428557,161
1679428558,155
1679428559,159
1679428560,158
1679428561,159
1679428562,160
1679428563,149
1679428564,145
1679428565,143
1679428566,147
1679428567,149
1679428568,147
1679428569,144
1679428570,144
1679428571,142
1679428572,140
1679428573,139
1679428574,137
1679428575,143
1679428576,145
1679428577,149
1679428578,143
1679428579,145
1679428580,140
1679428581,137
1679428582,136
1679428583,137
1679428584,133
1679428585,134
1679428586,135
1679428587,136
1679428588,140
1679428589,143
1679428590,143
1679428591,143
1679428592,132
1679428593,141
1679428594,136
1679428595,42
