time,FPS
1680726404,2
1680726405,49
1680726406,41
1680726407,28
1680726408,53
1680726409,49
1680726410,51
1680726411,53
1680726412,52
1680726413,50
1680726414,52
1680726415,51
1680726416,50
1680726417,45
1680726418,44
1680726419,46
1680726420,48
1680726421,45
1680726422,43
1680726423,43
1680726424,42
1680726425,44
1680726426,43
1680726427,50
1680726428,53
1680726429,51
1680726430,54
1680726431,51
1680726432,50
1680726433,52
1680726434,51
1680726435,51
1680726436,51
1680726437,53
1680726438,52
1680726439,51
1680726440,52
1680726441,49
1680726442,50
1680726443,52
1680726444,54
1680726445,52
1680726446,55
1680726447,53
1680726448,52
1680726449,51
1680726450,58
1680726451,58
1680726452,57
1680726453,57
1680726454,58
1680726455,57
1680726456,57
1680726457,57
1680726458,52
1680726459,40
1680726460,41
1680726461,42
1680726462,43
1680726463,42
1680726464,46
1680726465,40
1680726466,44
1680726467,41
1680726468,42
1680726469,45
1680726470,42
1680726471,46
1680726472,50
1680726473,44
1680726474,49
1680726475,43
1680726476,50
1680726477,46
1680726478,49
1680726479,52
1680726480,50
1680726481,48
1680726482,53
1680726483,51
1680726484,48
1680726485,48
1680726486,50
1680726487,45
1680726488,43
1680726489,47
1680726490,45
1680726491,45
1680726492,48
1680726493,48
1680726494,47
1680726495,44
1680726496,50
1680726497,44
1680726498,44
1680726499,47
1680726500,44
1680726501,49
1680726502,48
1680726503,48
1680726504,47
1680726505,49
1680726506,46
1680726507,186
1680726508,251
1680726509,255
1680726510,255
1680726511,144
1680726512,86
1680726513,86
1680726514,87
1680726515,89
1680726516,88
1680726517,89
1680726518,90
1680726519,90
1680726520,90
1680726521,91
1680726522,90
1680726523,91
1680726524,92
1680726525,93
1680726526,95
1680726527,95
1680726528,94
1680726529,96
1680726530,95
1680726531,95
1680726532,95
1680726533,93
1680726534,93
1680726535,93
1680726536,189
1680726537,255
1680726538,254
1680726539,255
1680726540,179
1680726541,107
1680726542,111
1680726543,110
1680726544,111
1680726545,110
1680726546,109
1680726547,109
1680726548,110
1680726549,108
1680726550,109
1680726551,104
1680726552,101
1680726553,107
1680726554,102
1680726555,101
1680726556,99
1680726557,103
1680726558,103
1680726559,105
1680726560,105
1680726561,104
1680726562,104
1680726563,104
1680726564,105
1680726565,160
1680726566,255
1680726567,249
1680726568,256
1680726569,120
1680726570,112
1680726571,113
1680726572,112
1680726573,111
1680726574,112
1680726575,111
1680726576,111
1680726577,111
1680726578,112
1680726579,114
1680726580,114
1680726581,116
1680726582,119
1680726583,119
1680726584,118
1680726585,119
1680726586,119
1680726587,120
1680726588,119
1680726589,120
1680726590,120
1680726591,120
1680726592,121
1680726593,119
1680726594,237
1680726595,254
1680726596,253
1680726597,255
1680726598,256
1680726599,254
1680726600,95
1680726601,95
1680726602,98
1680726603,97
1680726604,96
1680726605,96
1680726606,92
1680726607,93
1680726608,91
1680726609,93
1680726610,95
1680726611,94
1680726612,96
1680726613,95
1680726614,97
1680726615,97
1680726616,97
1680726617,98
1680726618,98
1680726619,98
1680726620,98
1680726621,98
1680726622,99
1680726623,98
1680726624,98
1680726625,237
1680726626,254
1680726627,255
1680726628,255
1680726629,255
1680726630,254
1680726631,255
1680726632,162
1680726633,109
1680726634,108
1680726635,109
1680726636,109
1680726637,109
1680726638,109
1680726639,111
1680726640,109
1680726641,110
1680726642,109
1680726643,110
1680726644,109
1680726645,109
1680726646,110
1680726647,109
1680726648,114
1680726649,117
1680726650,120
1680726651,115
1680726652,101
1680726653,104
1680726654,108
1680726655,98
1680726656,100
1680726657,99
1680726658,103
1680726659,103
1680726660,100
1680726661,95
1680726662,95
1680726663,95
1680726664,96
1680726665,98
1680726666,100
1680726667,99
1680726668,96
1680726669,102
1680726670,102
1680726671,101
1680726672,103
1680726673,104
1680726674,104
1680726675,107
1680726676,109
1680726677,111
1680726678,111
1680726679,108
1680726680,105
1680726681,99
1680726682,98
1680726683,99
1680726684,99
1680726685,101
1680726686,95
1680726687,97
1680726688,95
1680726689,98
1680726690,97
1680726691,99
1680726692,102
1680726693,101
1680726694,102
1680726695,94
1680726696,95
1680726697,96
1680726698,97
1680726699,99
1680726700,99
1680726701,98
1680726702,99
1680726703,100
1680726704,101
1680726705,100
1680726706,99
1680726707,100
1680726708,98
1680726709,100
1680726710,97
1680726711,98
1680726712,103
1680726713,101
1680726714,101
1680726715,99
1680726716,98
1680726717,97
1680726718,95
1680726719,94
1680726720,94
1680726721,94
1680726722,96
1680726723,97
1680726724,96
1680726725,96
1680726726,91
1680726727,92
1680726728,93
1680726729,94
1680726730,97
1680726731,103
1680726732,102
1680726733,101
1680726734,99
1680726735,99
1680726736,97
1680726737,96
1680726738,93
1680726739,93
1680726740,90
1680726741,92
1680726742,92
1680726743,91
1680726744,89
1680726745,90
1680726746,91
1680726747,88
1680726748,87
1680726749,88
1680726750,89
1680726751,94
1680726752,95
1680726753,93
1680726754,93
1680726755,91
1680726756,91
1680726757,89
1680726758,90
1680726759,90
1680726760,91
1680726761,93
1680726762,98
1680726763,102
1680726764,106
1680726765,106
1680726766,103
1680726767,90
1680726768,90
1680726769,91
1680726770,90
1680726771,71
