time,FPS
1679956927,9
1679956928,52
1679956929,50
1679956930,44
1679956931,44
1679956932,19
1679956933,52
1679956934,52
1679956935,51
1679956936,52
1679956937,49
1679956938,53
1679956939,51
1679956940,50
1679956941,49
1679956942,51
1679956943,40
1679956944,42
1679956945,42
1679956946,44
1679956947,40
1679956948,42
1679956949,39
1679956950,40
1679956951,40
1679956952,48
1679956953,53
1679956954,48
1679956955,47
1679956956,50
1679956957,53
1679956958,49
1679956959,51
1679956960,49
1679956961,51
1679956962,49
1679956963,49
1679956964,49
1679956965,51
1679956966,52
1679956967,52
1679956968,44
1679956969,54
1679956970,54
1679956971,54
1679956972,51
1679956973,53
1679956974,52
1679956975,53
1679956976,52
1679956977,52
1679956978,41
1679956979,45
1679956980,42
1679956981,44
1679956982,39
1679956983,42
1679956984,39
1679956985,41
1679956986,42
1679956987,43
1679956988,40
1679956989,43
1679956990,42
1679956991,40
1679956992,42
1679956993,49
1679956994,44
1679956995,39
1679956996,43
1679956997,41
1679956998,44
1679956999,43
1679957000,43
1679957001,44
1679957002,42
1679957003,41
1679957004,42
1679957005,42
1679957006,38
1679957007,42
1679957008,41
1679957009,43
1679957010,41
1679957011,43
1679957012,44
1679957013,41
1679957014,42
1679957015,42
1679957016,39
1679957017,44
1679957018,41
1679957019,41
1679957020,42
1679957021,42
1679957022,41
1679957023,41
1679957024,41
1679957025,40
1679957026,146
1679957027,256
1679957028,254
1679957029,255
1679957030,256
1679957031,147
1679957032,166
1679957033,166
1679957034,166
1679957035,171
1679957036,167
1679957037,163
1679957038,167
1679957039,157
1679957040,166
1679957041,161
1679957042,162
1679957043,159
1679957044,162
1679957045,169
1679957046,168
1679957047,168
1679957048,165
1679957049,167
1679957050,167
1679957051,169
1679957052,169
1679957053,168
1679957054,169
1679957055,171
1679957056,248
1679957057,255
1679957058,255
1679957059,256
1679957060,181
1679957061,193
1679957062,194
1679957063,198
1679957064,196
1679957065,191
1679957066,192
1679957067,192
1679957068,192
1679957069,195
1679957070,195
1679957071,188
1679957072,190
1679957073,194
1679957074,181
1679957075,188
1679957076,184
1679957077,189
1679957078,189
1679957079,189
1679957080,189
1679957081,195
1679957082,187
1679957083,193
1679957084,189
1679957085,234
1679957086,255
1679957087,252
1679957088,256
1679957089,192
1679957090,169
1679957091,153
1679957092,151
1679957093,152
1679957094,153
1679957095,154
1679957096,156
1679957097,161
1679957098,168
1679957099,179
1679957100,184
1679957101,190
1679957102,191
1679957103,196
1679957104,193
1679957105,197
1679957106,197
1679957107,198
1679957108,199
1679957109,200
1679957110,201
1679957111,201
1679957112,201
1679957113,201
1679957114,230
1679957115,256
1679957116,255
1679957117,254
1679957118,249
1679957119,255
1679957120,256
1679957121,162
1679957122,147
1679957123,149
1679957124,148
1679957125,149
1679957126,145
1679957127,141
1679957128,136
1679957129,132
1679957130,130
1679957131,130
1679957132,135
1679957133,137
1679957134,139
1679957135,139
1679957136,141
1679957137,139
1679957138,143
1679957139,140
1679957140,141
1679957141,143
1679957142,146
1679957143,151
1679957144,152
1679957145,149
1679957146,212
1679957147,255
1679957148,256
1679957149,255
1679957150,252
1679957151,255
1679957152,255
1679957153,254
1679957154,155
1679957155,202
1679957156,200
1679957157,202
1679957158,203
1679957159,205
1679957160,205
1679957161,206
1679957162,204
1679957163,204
1679957164,206
1679957165,205
1679957166,204
1679957167,203
1679957168,206
1679957169,211
1679957170,209
1679957171,217
1679957172,209
1679957173,190
1679957174,186
1679957175,188
1679957176,175
1679957177,181
1679957178,186
1679957179,191
1679957180,193
1679957181,192
1679957182,181
1679957183,181
1679957184,184
1679957185,184
1679957186,177
1679957187,188
1679957188,189
1679957189,191
1679957190,197
1679957191,197
1679957192,194
1679957193,194
1679957194,199
1679957195,204
1679957196,207
1679957197,191
1679957198,208
1679957199,208
1679957200,200
1679957201,198
1679957202,188
1679957203,185
1679957204,192
1679957205,190
1679957206,192
1679957207,191
1679957208,180
1679957209,195
1679957210,193
1679957211,190
1679957212,195
1679957213,200
1679957214,198
1679957215,196
1679957216,187
1679957217,189
1679957218,187
1679957219,190
1679957220,190
1679957221,195
1679957222,195
1679957223,187
1679957224,195
1679957225,200
1679957226,196
1679957227,197
1679957228,195
1679957229,198
1679957230,198
1679957231,197
1679957232,200
1679957233,195
1679957234,209
1679957235,199
1679957236,191
1679957237,187
1679957238,179
1679957239,179
1679957240,181
1679957241,186
1679957242,182
1679957243,188
1679957244,185
1679957245,184
1679957246,177
1679957247,180
1679957248,179
1679957249,183
1679957250,183
1679957251,191
1679957252,214
1679957253,213
1679957254,207
1679957255,203
1679957256,191
1679957257,182
1679957258,182
1679957259,177
1679957260,182
1679957261,180
1679957262,181
1679957263,176
1679957264,177
1679957265,177
1679957266,172
1679957267,170
1679957268,173
1679957269,175
1679957270,180
1679957271,181
1679957272,174
1679957273,179
1679957274,172
1679957275,172
1679957276,171
1679957277,166
1679957278,165
1679957279,165
1679957280,166
1679957281,173
1679957282,173
1679957283,179
1679957284,181
1679957285,180
1679957286,170
1679957287,174
1679957288,170
1679957289,177
1679957290,98
