time,FPS
1677122213,22
1677122214,41
1677122215,23
1677122216,55
1677122217,47
1677122218,48
1677122219,49
1677122220,49
1677122221,49
1677122222,50
1677122223,49
1677122224,47
1677122225,51
1677122226,44
1677122227,41
1677122228,40
1677122229,43
1677122230,41
1677122231,43
1677122232,44
1677122233,42
1677122234,43
1677122235,46
1677122236,45
1677122237,40
1677122238,42
1677122239,42
1677122240,43
1677122241,40
1677122242,42
1677122243,45
1677122244,43
1677122245,45
1677122246,43
1677122247,43
1677122248,40
1677122249,47
1677122250,47
1677122251,43
1677122252,42
1677122253,43
1677122254,41
1677122255,41
1677122256,40
1677122257,44
1677122258,42
1677122259,46
1677122260,42
1677122261,56
1677122262,54
1677122263,55
1677122264,53
1677122265,53
1677122266,52
1677122267,53
1677122268,53
1677122269,54
1677122270,48
1677122271,44
1677122272,45
1677122273,41
1677122274,45
1677122275,47
1677122276,44
1677122277,46
1677122278,47
1677122279,43
1677122280,44
1677122281,43
1677122282,43
1677122283,44
1677122284,47
1677122285,40
1677122286,46
1677122287,45
1677122288,44
1677122289,41
1677122290,43
1677122291,44
1677122292,45
1677122293,45
1677122294,41
1677122295,43
1677122296,43
1677122297,44
1677122298,41
1677122299,38
1677122300,44
1677122301,42
1677122302,42
1677122303,43
1677122304,40
1677122305,41
1677122306,41
1677122307,45
1677122308,46
1677122309,46
1677122310,42
1677122311,44
1677122312,46
1677122313,48
1677122314,45
1677122315,41
1677122316,45
1677122317,42
1677122318,113
1677122319,255
1677122320,255
1677122321,252
1677122322,253
1677122323,102
1677122324,119
1677122325,122
1677122326,124
1677122327,123
1677122328,124
1677122329,124
1677122330,122
1677122331,127
1677122332,126
1677122333,126
1677122334,127
1677122335,127
1677122336,122
1677122337,125
1677122338,127
1677122339,128
1677122340,128
1677122341,129
1677122342,129
1677122343,128
1677122344,129
1677122345,126
1677122346,128
1677122347,127
1677122348,238
1677122349,255
1677122350,256
1677122351,255
1677122352,255
1677122353,115
1677122354,146
1677122355,141
1677122356,143
1677122357,142
1677122358,139
1677122359,141
1677122360,144
1677122361,144
1677122362,145
1677122363,143
1677122364,134
1677122365,142
1677122366,140
1677122367,136
1677122368,134
1677122369,136
1677122370,138
1677122371,140
1677122372,141
1677122373,141
1677122374,140
1677122375,140
1677122376,140
1677122377,145
1677122378,255
1677122379,256
1677122380,254
1677122381,255
1677122382,150
1677122383,142
1677122384,142
1677122385,141
1677122386,141
1677122387,140
1677122388,141
1677122389,139
1677122390,140
1677122391,142
1677122392,143
1677122393,145
1677122394,148
1677122395,150
1677122396,151
1677122397,150
1677122398,151
1677122399,152
1677122400,150
1677122401,150
1677122402,152
1677122403,152
1677122404,152
1677122405,153
1677122406,152
1677122407,233
1677122408,256
1677122409,254
1677122410,256
1677122411,256
1677122412,255
1677122413,103
1677122414,124
1677122415,124
1677122416,121
1677122417,119
1677122418,119
1677122419,116
1677122420,115
1677122421,115
1677122422,117
1677122423,117
1677122424,119
1677122425,118
1677122426,120
1677122427,120
1677122428,123
1677122429,124
1677122430,124
1677122431,125
1677122432,124
1677122433,124
1677122434,124
1677122435,126
1677122436,125
1677122437,127
1677122438,251
1677122439,256
1677122440,255
1677122441,256
1677122442,255
1677122443,256
1677122444,204
1677122445,139
1677122446,142
1677122447,142
1677122448,141
1677122449,140
1677122450,143
1677122451,144
1677122452,144
1677122453,143
1677122454,144
1677122455,143
1677122456,144
1677122457,143
1677122458,143
1677122459,144
1677122460,149
1677122461,154
1677122462,156
1677122463,153
1677122464,134
1677122465,138
1677122466,141
1677122467,130
1677122468,132
1677122469,133
1677122470,134
1677122471,133
1677122472,130
1677122473,124
1677122474,125
1677122475,125
1677122476,124
1677122477,127
1677122478,130
1677122479,127
1677122480,130
1677122481,133
1677122482,132
1677122483,132
1677122484,132
1677122485,138
1677122486,136
1677122487,142
1677122488,142
1677122489,144
1677122490,146
1677122491,139
1677122492,136
1677122493,130
1677122494,130
1677122495,131
1677122496,134
1677122497,129
1677122498,132
1677122499,130
1677122500,126
1677122501,133
1677122502,127
1677122503,133
1677122504,138
1677122505,136
1677122506,132
1677122507,124
1677122508,125
1677122509,127
1677122510,127
1677122511,129
1677122512,132
1677122513,130
1677122514,133
1677122515,135
1677122516,133
1677122517,133
1677122518,134
1677122519,135
1677122520,135
1677122521,133
1677122522,132
1677122523,129
1677122524,130
1677122525,132
1677122526,132
1677122527,128
1677122528,126
1677122529,125
1677122530,124
1677122531,123
1677122532,123
1677122533,123
1677122534,126
1677122535,126
1677122536,128
1677122537,129
1677122538,126
1677122539,121
1677122540,120
1677122541,122
1677122542,123
1677122543,124
1677122544,137
1677122545,134
1677122546,134
1677122547,133
1677122548,130
1677122549,129
1677122550,126
1677122551,123
1677122552,120
1677122553,121
1677122554,123
1677122555,120
1677122556,117
1677122557,118
1677122558,119
1677122559,119
1677122560,118
1677122561,117
1677122562,118
1677122563,121
1677122564,125
1677122565,125
1677122566,125
1677122567,123
1677122568,121
1677122569,121
1677122570,119
1677122571,119
1677122572,120
1677122573,121
1677122574,126
1677122575,131
1677122576,137
1677122577,139
1677122578,139
1677122579,130
1677122580,120
1677122581,121
1677122582,122
1677122583,7
