time,FPS
1675726373,25
1675726374,44
1675726375,28
1675726376,49
1675726377,44
1675726378,43
1675726379,51
1675726380,44
1675726381,42
1675726382,47
1675726383,48
1675726384,45
1675726385,43
1675726386,49
1675726387,42
1675726388,45
1675726389,46
1675726390,40
1675726391,45
1675726392,44
1675726393,46
1675726394,45
1675726395,48
1675726396,49
1675726397,46
1675726398,47
1675726399,51
1675726400,47
1675726401,47
1675726402,46
1675726403,47
1675726404,46
1675726405,51
1675726406,42
1675726407,47
1675726408,49
1675726409,49
1675726410,46
1675726411,47
1675726412,48
1675726413,44
1675726414,49
1675726415,47
1675726416,45
1675726417,50
1675726418,52
1675726419,49
1675726420,54
1675726421,55
1675726422,52
1675726423,53
1675726424,53
1675726425,53
1675726426,53
1675726427,53
1675726428,49
1675726429,43
1675726430,47
1675726431,45
1675726432,45
1675726433,46
1675726434,47
1675726435,44
1675726436,49
1675726437,48
1675726438,42
1675726439,51
1675726440,45
1675726441,46
1675726442,47
1675726443,49
1675726444,49
1675726445,46
1675726446,44
1675726447,44
1675726448,45
1675726449,44
1675726450,46
1675726451,48
1675726452,45
1675726453,50
1675726454,46
1675726455,46
1675726456,44
1675726457,44
1675726458,52
1675726459,45
1675726460,47
1675726461,49
1675726462,47
1675726463,45
1675726464,52
1675726465,46
1675726466,51
1675726467,45
1675726468,48
1675726469,51
1675726470,46
1675726471,45
1675726472,44
1675726473,41
1675726474,46
1675726475,43
1675726476,46
1675726477,256
1675726478,255
1675726479,249
1675726480,256
1675726481,102
1675726482,123
1675726483,129
1675726484,131
1675726485,130
1675726486,131
1675726487,128
1675726488,129
1675726489,132
1675726490,131
1675726491,131
1675726492,130
1675726493,130
1675726494,130
1675726495,130
1675726496,127
1675726497,125
1675726498,131
1675726499,131
1675726500,132
1675726501,132
1675726502,133
1675726503,133
1675726504,133
1675726505,137
1675726506,255
1675726507,255
1675726508,255
1675726509,255
1675726510,103
1675726511,157
1675726512,152
1675726513,154
1675726514,154
1675726515,154
1675726516,153
1675726517,154
1675726518,154
1675726519,154
1675726520,153
1675726521,151
1675726522,154
1675726523,153
1675726524,151
1675726525,151
1675726526,151
1675726527,152
1675726528,155
1675726529,153
1675726530,156
1675726531,151
1675726532,158
1675726533,159
1675726534,161
1675726535,255
1675726536,249
1675726537,256
1675726538,175
1675726539,143
1675726540,137
1675726541,137
1675726542,136
1675726543,136
1675726544,134
1675726545,134
1675726546,133
1675726547,137
1675726548,138
1675726549,139
1675726550,145
1675726551,148
1675726552,151
1675726553,152
1675726554,152
1675726555,153
1675726556,153
1675726557,155
1675726558,155
1675726559,155
1675726560,157
1675726561,157
1675726562,157
1675726563,212
1675726564,256
1675726565,253
1675726566,255
1675726567,255
1675726568,255
1675726569,110
1675726570,130
1675726571,132
1675726572,129
1675726573,130
1675726574,128
1675726575,126
1675726576,124
1675726577,123
1675726578,124
1675726579,123
1675726580,125
1675726581,126
1675726582,126
1675726583,126
1675726584,126
1675726585,125
1675726586,128
1675726587,126
1675726588,126
1675726589,129
1675726590,127
1675726591,130
1675726592,129
1675726593,130
1675726594,242
1675726595,256
1675726596,253
1675726597,252
1675726598,255
1675726599,255
1675726600,256
1675726601,193
1675726602,156
1675726603,160
1675726604,160
1675726605,159
1675726606,158
1675726607,163
1675726608,162
1675726609,162
1675726610,159
1675726611,162
1675726612,162
1675726613,162
1675726614,159
1675726615,161
1675726616,162
1675726617,168
1675726618,170
1675726619,171
1675726620,173
1675726621,156
1675726622,152
1675726623,162
1675726624,155
1675726625,148
1675726626,146
1675726627,153
1675726628,154
1675726629,153
1675726630,145
1675726631,146
1675726632,146
1675726633,147
1675726634,148
1675726635,147
1675726636,150
1675726637,149
1675726638,159
1675726639,159
1675726640,154
1675726641,151
1675726642,152
1675726643,159
1675726644,164
1675726645,163
1675726646,162
1675726647,163
1675726648,160
1675726649,152
1675726650,151
1675726651,146
1675726652,151
1675726653,150
1675726654,154
1675726655,151
1675726656,155
1675726657,153
1675726658,153
1675726659,155
1675726660,153
1675726661,155
1675726662,159
1675726663,156
1675726664,154
1675726665,146
1675726666,150
1675726667,149
1675726668,149
1675726669,153
1675726670,154
1675726671,153
1675726672,151
1675726673,163
1675726674,159
1675726675,155
1675726676,155
1675726677,156
1675726678,157
1675726679,156
1675726680,155
1675726681,161
1675726682,156
1675726683,152
1675726684,153
1675726685,151
1675726686,149
1675726687,144
1675726688,143
1675726689,144
1675726690,147
1675726691,147
1675726692,150
1675726693,150
1675726694,148
1675726695,146
1675726696,147
1675726697,149
1675726698,148
1675726699,152
1675726700,170
1675726701,162
1675726702,162
1675726703,160
1675726704,159
1675726705,158
1675726706,154
1675726707,145
1675726708,143
1675726709,144
1675726710,148
1675726711,145
1675726712,144
1675726713,142
1675726714,142
1675726715,141
1675726716,143
1675726717,144
1675726718,142
1675726719,140
1675726720,140
1675726721,137
1675726722,141
1675726723,142
1675726724,146
1675726725,145
1675726726,142
1675726727,142
1675726728,137
1675726729,134
1675726730,135
1675726731,135
1675726732,134
1675726733,136
1675726734,137
1675726735,137
1675726736,142
1675726737,145
1675726738,146
1675726739,146
1675726740,138
1675726741,90
