time,FPS
1676339481,2
1676339482,49
1676339483,45
1676339484,24
1676339485,51
1676339486,49
1676339487,48
1676339488,49
1676339489,45
1676339490,46
1676339491,51
1676339492,42
1676339493,44
1676339494,47
1676339495,45
1676339496,45
1676339497,46
1676339498,45
1676339499,45
1676339500,46
1676339501,45
1676339502,43
1676339503,44
1676339504,47
1676339505,49
1676339506,54
1676339507,55
1676339508,52
1676339509,52
1676339510,53
1676339511,53
1676339512,54
1676339513,53
1676339514,52
1676339515,53
1676339516,50
1676339517,51
1676339518,50
1676339519,51
1676339520,52
1676339521,50
1676339522,52
1676339523,55
1676339524,53
1676339525,58
1676339526,57
1676339527,57
1676339528,54
1676339529,57
1676339530,57
1676339531,57
1676339532,56
1676339533,55
1676339534,47
1676339535,42
1676339536,43
1676339537,43
1676339538,40
1676339539,41
1676339540,43
1676339541,42
1676339542,46
1676339543,44
1676339544,45
1676339545,46
1676339546,45
1676339547,46
1676339548,48
1676339549,46
1676339550,48
1676339551,47
1676339552,48
1676339553,49
1676339554,49
1676339555,45
1676339556,49
1676339557,52
1676339558,45
1676339559,46
1676339560,50
1676339561,46
1676339562,47
1676339563,46
1676339564,49
1676339565,45
1676339566,45
1676339567,47
1676339568,48
1676339569,48
1676339570,48
1676339571,51
1676339572,46
1676339573,48
1676339574,51
1676339575,45
1676339576,51
1676339577,46
1676339578,48
1676339579,42
1676339580,47
1676339581,46
1676339582,172
1676339583,252
1676339584,249
1676339585,252
1676339586,179
1676339587,122
1676339588,125
1676339589,122
1676339590,125
1676339591,124
1676339592,126
1676339593,129
1676339594,129
1676339595,124
1676339596,125
1676339597,121
1676339598,123
1676339599,122
1676339600,121
1676339601,126
1676339602,126
1676339603,127
1676339604,129
1676339605,126
1676339606,124
1676339607,127
1676339608,125
1676339609,129
1676339610,124
1676339611,177
1676339612,255
1676339613,255
1676339614,255
1676339615,146
1676339616,150
1676339617,150
1676339618,152
1676339619,152
1676339620,151
1676339621,151
1676339622,152
1676339623,150
1676339624,148
1676339625,151
1676339626,146
1676339627,152
1676339628,150
1676339629,150
1676339630,149
1676339631,146
1676339632,151
1676339633,152
1676339634,153
1676339635,154
1676339636,155
1676339637,155
1676339638,156
1676339639,154
1676339640,232
1676339641,255
1676339642,256
1676339643,210
1676339644,141
1676339645,136
1676339646,138
1676339647,135
1676339648,137
1676339649,136
1676339650,135
1676339651,137
1676339652,137
1676339653,142
1676339654,145
1676339655,145
1676339656,153
1676339657,156
1676339658,157
1676339659,157
1676339660,158
1676339661,159
1676339662,160
1676339663,161
1676339664,161
1676339665,162
1676339666,162
1676339667,163
1676339668,187
1676339669,255
1676339670,256
1676339671,254
1676339672,256
1676339673,256
1676339674,254
1676339675,254
1676339676,116
1676339677,128
1676339678,132
1676339679,129
1676339680,129
1676339681,127
1676339682,125
1676339683,123
1676339684,122
1676339685,121
1676339686,123
1676339687,124
1676339688,123
1676339689,125
1676339690,125
1676339691,126
1676339692,126
1676339693,124
1676339694,125
1676339695,124
1676339696,126
1676339697,127
1676339698,129
1676339699,127
1676339700,128
1676339701,222
1676339702,255
1676339703,255
1676339704,255
1676339705,255
1676339706,256
1676339707,253
1676339708,255
1676339709,227
1676339710,151
1676339711,160
1676339712,162
1676339713,161
1676339714,158
1676339715,161
1676339716,163
1676339717,163
1676339718,163
1676339719,163
1676339720,163
1676339721,158
1676339722,161
1676339723,163
1676339724,165
1676339725,169
1676339726,173
1676339727,173
1676339728,168
1676339729,155
1676339730,154
1676339731,159
1676339732,150
1676339733,144
1676339734,148
1676339735,156
1676339736,156
1676339737,152
1676339738,147
1676339739,148
1676339740,146
1676339741,147
1676339742,147
1676339743,150
1676339744,151
1676339745,150
1676339746,160
1676339747,155
1676339748,153
1676339749,150
1676339750,153
1676339751,161
1676339752,166
1676339753,165
1676339754,166
1676339755,166
1676339756,157
1676339757,155
1676339758,151
1676339759,149
1676339760,154
1676339761,154
1676339762,155
1676339763,154
1676339764,158
1676339765,159
1676339766,153
1676339767,155
1676339768,155
1676339769,157
1676339770,159
1676339771,160
1676339772,152
1676339773,151
1676339774,151
1676339775,150
1676339776,153
1676339777,155
1676339778,157
1676339779,154
1676339780,154
1676339781,162
1676339782,159
1676339783,156
1676339784,157
1676339785,157
1676339786,156
1676339787,156
1676339788,157
1676339789,158
1676339790,168
1676339791,165
1676339792,163
1676339793,158
1676339794,156
1676339795,151
1676339796,149
1676339797,150
1676339798,151
1676339799,153
1676339800,153
1676339801,148
1676339802,144
1676339803,146
1676339804,148
1676339805,145
1676339806,149
1676339807,154
1676339808,169
1676339809,164
1676339810,168
1676339811,165
1676339812,162
1676339813,144
1676339814,142
1676339815,143
1676339816,146
1676339817,147
1676339818,146
1676339819,143
1676339820,143
1676339821,142
1676339822,142
1676339823,140
1676339824,141
1676339825,142
1676339826,143
1676339827,147
1676339828,141
1676339829,143
1676339830,138
1676339831,135
1676339832,133
1676339833,136
1676339834,127
1676339835,128
1676339836,127
1676339837,129
1676339838,130
1676339839,134
1676339840,138
1676339841,140
1676339842,133
1676339843,141
1676339844,136
1676339845,139
1676339846,27
