time,FPS
1679607688,23
1679607689,41
1679607690,25
1679607691,50
1679607692,42
1679607693,46
1679607694,46
1679607695,46
1679607696,45
1679607697,49
1679607698,49
1679607699,48
1679607700,47
1679607701,45
1679607702,45
1679607703,48
1679607704,45
1679607705,44
1679607706,50
1679607707,42
1679607708,41
1679607709,43
1679607710,52
1679607711,53
1679607712,53
1679607713,51
1679607714,53
1679607715,51
1679607716,55
1679607717,51
1679607718,50
1679607719,54
1679607720,51
1679607721,56
1679607722,52
1679607723,54
1679607724,53
1679607725,53
1679607726,59
1679607727,59
1679607728,55
1679607729,57
1679607730,58
1679607731,58
1679607732,57
1679607733,56
1679607734,48
1679607735,43
1679607736,41
1679607737,42
1679607738,44
1679607739,50
1679607740,42
1679607741,41
1679607742,44
1679607743,45
1679607744,42
1679607745,43
1679607746,44
1679607747,45
1679607748,52
1679607749,49
1679607750,50
1679607751,45
1679607752,47
1679607753,48
1679607754,47
1679607755,51
1679607756,54
1679607757,50
1679607758,50
1679607759,48
1679607760,47
1679607761,50
1679607762,46
1679607763,46
1679607764,48
1679607765,44
1679607766,44
1679607767,46
1679607768,43
1679607769,48
1679607770,51
1679607771,49
1679607772,48
1679607773,52
1679607774,47
1679607775,48
1679607776,46
1679607777,51
1679607778,49
1679607779,47
1679607780,45
1679607781,48
1679607782,50
1679607783,247
1679607784,254
1679607785,250
1679607786,255
1679607787,137
1679607788,127
1679607789,122
1679607790,127
1679607791,128
1679607792,129
1679607793,129
1679607794,127
1679607795,126
1679607796,122
1679607797,126
1679607798,126
1679607799,127
1679607800,127
1679607801,127
1679607802,129
1679607803,128
1679607804,125
1679607805,129
1679607806,123
1679607807,129
1679607808,130
1679607809,131
1679607810,131
1679607811,130
1679607812,212
1679607813,256
1679607814,256
1679607815,255
1679607816,111
1679607817,154
1679607818,153
1679607819,150
1679607820,154
1679607821,150
1679607822,151
1679607823,151
1679607824,150
1679607825,150
1679607826,150
1679607827,146
1679607828,149
1679607829,150
1679607830,146
1679607831,144
1679607832,146
1679607833,147
1679607834,148
1679607835,150
1679607836,145
1679607837,151
1679607838,152
1679607839,154
1679607840,155
1679607841,248
1679607842,255
1679607843,255
1679607844,197
1679607845,139
1679607846,134
1679607847,136
1679607848,136
1679607849,134
1679607850,134
1679607851,133
1679607852,135
1679607853,136
1679607854,140
1679607855,140
1679607856,145
1679607857,149
1679607858,153
1679607859,154
1679607860,153
1679607861,154
1679607862,156
1679607863,156
1679607864,158
1679607865,158
1679607866,159
1679607867,158
1679607868,159
1679607869,191
1679607870,256
1679607871,251
1679607872,254
1679607873,256
1679607874,255
1679607875,254
1679607876,250
1679607877,118
1679607878,129
1679607879,132
1679607880,132
1679607881,129
1679607882,128
1679607883,126
1679607884,123
1679607885,122
1679607886,121
1679607887,122
1679607888,124
1679607889,123
1679607890,126
1679607891,126
1679607892,126
1679607893,126
1679607894,127
1679607895,126
1679607896,125
1679607897,127
1679607898,128
1679607899,128
1679607900,129
1679607901,128
1679607902,223
1679607903,256
1679607904,254
1679607905,255
1679607906,256
1679607907,254
1679607908,256
1679607909,251
1679607910,246
1679607911,125
1679607912,161
1679607913,161
1679607914,158
1679607915,158
1679607916,162
1679607917,163
1679607918,161
1679607919,163
1679607920,158
1679607921,162
1679607922,166
1679607923,163
1679607924,161
1679607925,161
1679607926,165
1679607927,170
1679607928,173
1679607929,171
1679607930,157
1679607931,152
1679607932,160
1679607933,154
1679607934,148
1679607935,146
1679607936,153
1679607937,156
1679607938,152
1679607939,146
1679607940,146
1679607941,147
1679607942,148
1679607943,149
1679607944,150
1679607945,152
1679607946,153
1679607947,159
1679607948,159
1679607949,155
1679607950,149
1679607951,156
1679607952,164
1679607953,164
1679607954,163
1679607955,165
1679607956,160
1679607957,156
1679607958,155
1679607959,147
1679607960,147
1679607961,156
1679607962,152
1679607963,153
1679607964,153
1679607965,157
1679607966,155
1679607967,154
1679607968,156
1679607969,156
1679607970,163
1679607971,159
1679607972,159
1679607973,152
1679607974,150
1679607975,150
1679607976,149
1679607977,153
1679607978,156
1679607979,155
1679607980,150
1679607981,154
1679607982,160
1679607983,158
1679607984,157
1679607985,158
1679607986,157
1679607987,157
1679607988,155
1679607989,161
1679607990,163
1679607991,161
1679607992,155
1679607993,159
1679607994,156
1679607995,155
1679607996,151
1679607997,149
1679607998,148
1679607999,151
1679608000,150
1679608001,151
1679608002,151
1679608003,148
1679608004,145
1679608005,146
1679608006,147
1679608007,147
1679608008,68
1679608009,167
1679608010,158
1679608011,159
1679608012,152
1679608013,159
1679608014,155
1679608015,154
1679608016,146
1679608017,144
1679608018,144
1679608019,149
1679608020,149
1679608021,147
1679608022,144
1679608023,144
1679608024,143
1679608025,142
1679608026,141
1679608027,142
1679608028,143
1679608029,147
1679608030,143
1679608031,141
1679608032,141
1679608033,135
1679608034,131
1679608035,135
1679608036,128
1679608037,125
1679608038,127
1679608039,128
1679608040,132
1679608041,133
1679608042,137
1679608043,138
1679608044,136
1679608045,137
1679608046,135
