time,FPS
1675886166,35
1675886167,42
1675886168,28
1675886169,47
1675886170,47
1675886171,46
1675886172,44
1675886173,44
1675886174,47
1675886175,44
1675886176,46
1675886177,46
1675886178,45
1675886179,45
1675886180,45
1675886181,42
1675886182,44
1675886183,43
1675886184,42
1675886185,44
1675886186,44
1675886187,44
1675886188,50
1675886189,54
1675886190,49
1675886191,56
1675886192,52
1675886193,53
1675886194,51
1675886195,51
1675886196,52
1675886197,50
1675886198,53
1675886199,49
1675886200,55
1675886201,53
1675886202,51
1675886203,50
1675886204,52
1675886205,54
1675886206,52
1675886207,51
1675886208,51
1675886209,54
1675886210,49
1675886211,51
1675886212,58
1675886213,59
1675886214,56
1675886215,58
1675886216,58
1675886217,57
1675886218,58
1675886219,56
1675886220,51
1675886221,42
1675886222,39
1675886223,40
1675886224,38
1675886225,41
1675886226,41
1675886227,45
1675886228,43
1675886229,42
1675886230,43
1675886231,52
1675886232,41
1675886233,42
1675886234,46
1675886235,45
1675886236,47
1675886237,48
1675886238,49
1675886239,47
1675886240,46
1675886241,50
1675886242,47
1675886243,51
1675886244,46
1675886245,47
1675886246,49
1675886247,47
1675886248,47
1675886249,50
1675886250,49
1675886251,46
1675886252,48
1675886253,47
1675886254,49
1675886255,50
1675886256,47
1675886257,49
1675886258,53
1675886259,50
1675886260,47
1675886261,51
1675886262,45
1675886263,50
1675886264,50
1675886265,54
1675886266,47
1675886267,50
1675886268,48
1675886269,214
1675886270,252
1675886271,250
1675886272,256
1675886273,123
1675886274,123
1675886275,127
1675886276,130
1675886277,130
1675886278,130
1675886279,127
1675886280,132
1675886281,127
1675886282,129
1675886283,129
1675886284,129
1675886285,129
1675886286,128
1675886287,129
1675886288,129
1675886289,128
1675886290,127
1675886291,124
1675886292,129
1675886293,131
1675886294,133
1675886295,131
1675886296,133
1675886297,133
1675886298,244
1675886299,255
1675886300,255
1675886301,253
1675886302,102
1675886303,153
1675886304,154
1675886305,153
1675886306,151
1675886307,150
1675886308,154
1675886309,156
1675886310,155
1675886311,155
1675886312,155
1675886313,153
1675886314,157
1675886315,157
1675886316,154
1675886317,152
1675886318,154
1675886319,153
1675886320,155
1675886321,155
1675886322,156
1675886323,151
1675886324,152
1675886325,151
1675886326,159
1675886327,254
1675886328,255
1675886329,255
1675886330,160
1675886331,141
1675886332,136
1675886333,135
1675886334,136
1675886335,135
1675886336,134
1675886337,135
1675886338,134
1675886339,138
1675886340,138
1675886341,143
1675886342,146
1675886343,151
1675886344,153
1675886345,153
1675886346,153
1675886347,154
1675886348,156
1675886349,156
1675886350,157
1675886351,158
1675886352,159
1675886353,159
1675886354,158
1675886355,221
1675886356,254
1675886357,250
1675886358,255
1675886359,254
1675886360,254
1675886361,191
1675886362,123
1675886363,132
1675886364,133
1675886365,131
1675886366,131
1675886367,127
1675886368,127
1675886369,125
1675886370,125
1675886371,126
1675886372,127
1675886373,127
1675886374,128
1675886375,130
1675886376,128
1675886377,129
1675886378,129
1675886379,130
1675886380,128
1675886381,129
1675886382,130
1675886383,129
1675886384,131
1675886385,132
1675886386,170
1675886387,255
1675886388,255
1675886389,255
1675886390,255
1675886391,253
1675886392,255
1675886393,186
1675886394,160
1675886395,160
1675886396,161
1675886397,160
1675886398,157
1675886399,160
1675886400,164
1675886401,163
1675886402,163
1675886403,160
1675886404,161
1675886405,162
1675886406,160
1675886407,162
1675886408,163
1675886409,170
1675886410,172
1675886411,173
1675886412,168
1675886413,154
1675886414,157
1675886415,158
1675886416,148
1675886417,145
1675886418,147
1675886419,155
1675886420,156
1675886421,152
1675886422,147
1675886423,146
1675886424,145
1675886425,149
1675886426,150
1675886427,153
1675886428,150
1675886429,157
1675886430,159
1675886431,154
1675886432,155
1675886433,154
1675886434,162
1675886435,165
1675886436,164
1675886437,164
1675886438,165
1675886439,161
1675886440,155
1675886441,148
1675886442,146
1675886443,152
1675886444,153
1675886445,155
1675886446,153
1675886447,157
1675886448,156
1675886449,152
1675886450,155
1675886451,152
1675886452,152
1675886453,160
1675886454,158
1675886455,155
1675886456,147
1675886457,151
1675886458,150
1675886459,152
1675886460,155
1675886461,156
1675886462,154
1675886463,154
1675886464,162
1675886465,160
1675886466,158
1675886467,157
1675886468,157
1675886469,160
1675886470,159
1675886471,159
1675886472,156
1675886473,155
1675886474,158
1675886475,166
1675886476,162
1675886477,156
1675886478,153
1675886479,148
1675886480,147
1675886481,147
1675886482,149
1675886483,150
1675886484,153
1675886485,154
1675886486,150
1675886487,148
1675886488,148
1675886489,149
1675886490,147
1675886491,153
1675886492,167
1675886493,159
1675886494,159
1675886495,145
1675886496,156
1675886497,155
1675886498,152
1675886499,146
1675886500,144
1675886501,147
1675886502,149
1675886503,147
1675886504,144
1675886505,143
1675886506,144
1675886507,140
1675886508,142
1675886509,140
1675886510,142
1675886511,146
1675886512,148
1675886513,143
1675886514,144
1675886515,140
1675886516,136
1675886517,135
1675886518,138
1675886519,127
1675886520,129
1675886521,132
1675886522,136
1675886523,138
1675886524,142
1675886525,142
1675886526,145
1675886527,132
1675886528,141
1675886529,138
1675886530,136
1675886531,139
1675886532,138
1675886533,93
