time,FPS
1675874938,26
1675874939,55
1675874940,57
1675874941,56
1675874942,51
1675874943,54
1675874944,54
1675874945,52
1675874946,52
1675874947,54
1675874948,51
1675874949,47
1675874950,43
1675874951,44
1675874952,46
1675874953,44
1675874954,45
1675874955,46
1675874956,46
1675874957,49
1675874958,44
1675874959,52
1675874960,49
1675874961,49
1675874962,52
1675874963,54
1675874964,51
1675874965,59
1675874966,60
1675874967,57
1675874968,51
1675874969,51
1675874970,53
1675874971,52
1675874972,54
1675874973,51
1675874974,53
1675874975,55
1675874976,57
1675874977,57
1675874978,52
1675874979,48
1675874980,47
1675874981,46
1675874982,56
1675874983,51
1675874984,51
1675874985,47
1675874986,60
1675874987,50
1675874988,50
1675874989,52
1675874990,55
1675874991,50
1675874992,48
1675874993,47
1675874994,50
1675874995,55
1675874996,100
1675874997,143
1675874998,144
1675874999,142
1675875000,144
1675875001,51
1675875002,40
1675875003,40
1675875004,38
1675875005,40
1675875006,41
1675875007,41
1675875008,41
1675875009,41
1675875010,41
1675875011,41
1675875012,41
1675875013,42
1675875014,41
1675875015,42
1675875016,41
1675875017,41
1675875018,42
1675875019,42
1675875020,41
1675875021,41
1675875022,42
1675875023,43
1675875024,42
1675875025,42
1675875026,127
1675875027,145
1675875028,136
1675875029,141
1675875030,71
1675875031,47
1675875032,49
1675875033,49
1675875034,49
1675875035,49
1675875036,48
1675875037,48
1675875038,49
1675875039,48
1675875040,48
1675875041,46
1675875042,47
1675875043,47
1675875044,47
1675875045,46
1675875046,45
1675875047,47
1675875048,47
1675875049,47
1675875050,48
1675875051,48
1675875052,48
1675875053,48
1675875054,48
1675875055,110
1675875056,143
1675875057,143
1675875058,144
1675875059,113
1675875060,46
1675875061,43
1675875062,43
1675875063,44
1675875064,44
1675875065,43
1675875066,44
1675875067,43
1675875068,43
1675875069,44
1675875070,45
1675875071,46
1675875072,47
1675875073,49
1675875074,48
1675875075,49
1675875076,49
1675875077,49
1675875078,49
1675875079,49
1675875080,50
1675875081,50
1675875082,50
1675875083,50
1675875084,73
1675875085,139
1675875086,142
1675875087,143
1675875088,144
1675875089,143
1675875090,144
1675875091,144
1675875092,133
1675875093,34
1675875094,43
1675875095,42
1675875096,44
1675875097,43
1675875098,44
1675875099,43
1675875100,42
1675875101,42
1675875102,42
1675875103,43
1675875104,43
1675875105,42
1675875106,43
1675875107,42
1675875108,43
1675875109,43
1675875110,42
1675875111,43
1675875112,42
1675875113,43
1675875114,43
1675875115,43
1675875116,43
1675875117,43
1675875118,137
1675875119,144
1675875120,144
1675875121,143
1675875122,145
1675875123,143
1675875124,145
1675875125,143
1675875126,143
1675875127,61
1675875128,47
1675875129,50
1675875130,51
1675875131,50
1675875132,52
1675875133,52
1675875134,52
1675875135,51
1675875136,52
1675875137,51
1675875138,52
1675875139,51
1675875140,51
1675875141,51
1675875142,50
1675875143,53
1675875144,54
1675875145,55
1675875146,52
1675875147,49
1675875148,51
1675875149,50
1675875150,47
1675875151,46
1675875152,48
1675875153,48
1675875154,48
1675875155,47
1675875156,45
1675875157,46
1675875158,47
1675875159,47
1675875160,48
1675875161,48
1675875162,48
1675875163,50
1675875164,50
1675875165,50
1675875166,48
1675875167,48
1675875168,49
1675875169,50
1675875170,51
1675875171,52
1675875172,51
1675875173,51
1675875174,49
1675875175,48
1675875176,45
1675875177,47
1675875178,47
1675875179,48
1675875180,48
1675875181,48
1675875182,49
1675875183,47
1675875184,49
1675875185,47
1675875186,49
1675875187,50
1675875188,49
1675875189,48
1675875190,46
1675875191,47
1675875192,45
1675875193,47
1675875194,47
1675875195,48
1675875196,48
1675875197,46
1675875198,48
1675875199,49
1675875200,49
1675875201,48
1675875202,49
1675875203,48
1675875204,49
1675875205,48
1675875206,47
1675875207,47
1675875208,48
1675875209,48
1675875210,48
1675875211,46
1675875212,45
1675875213,44
1675875214,45
1675875215,44
1675875216,45
1675875217,45
1675875218,46
1675875219,46
1675875220,46
1675875221,46
1675875222,45
1675875223,45
1675875224,45
1675875225,45
1675875226,47
1675875227,51
1675875228,49
1675875229,49
1675875230,49
1675875231,48
1675875232,48
1675875233,47
1675875234,44
1675875235,44
1675875236,43
1675875237,45
1675875238,44
1675875239,44
1675875240,42
1675875241,43
1675875242,43
1675875243,41
1675875244,43
1675875245,43
1675875246,43
1675875247,46
1675875248,45
1675875249,44
1675875250,44
1675875251,41
1675875252,41
1675875253,42
1675875254,41
1675875255,41
1675875256,42
1675875257,42
1675875258,44
1675875259,44
1675875260,46
1675875261,25
