time,FPS
1680038263,34
1680038264,42
1680038265,24
1680038266,50
1680038267,49
1680038268,49
1680038269,51
1680038270,46
1680038271,50
1680038272,52
1680038273,53
1680038274,48
1680038275,51
1680038276,44
1680038277,46
1680038278,43
1680038279,45
1680038280,41
1680038281,42
1680038282,45
1680038283,43
1680038284,40
1680038285,43
1680038286,43
1680038287,40
1680038288,43
1680038289,39
1680038290,44
1680038291,46
1680038292,43
1680038293,44
1680038294,46
1680038295,40
1680038296,41
1680038297,45
1680038298,40
1680038299,41
1680038300,45
1680038301,43
1680038302,42
1680038303,43
1680038304,46
1680038305,46
1680038306,50
1680038307,54
1680038308,55
1680038309,50
1680038310,53
1680038311,53
1680038312,52
1680038313,54
1680038314,54
1680038315,47
1680038316,41
1680038317,42
1680038318,41
1680038319,47
1680038320,40
1680038321,42
1680038322,44
1680038323,44
1680038324,45
1680038325,42
1680038326,46
1680038327,44
1680038328,41
1680038329,43
1680038330,41
1680038331,47
1680038332,43
1680038333,43
1680038334,43
1680038335,45
1680038336,42
1680038337,44
1680038338,48
1680038339,44
1680038340,43
1680038341,44
1680038342,43
1680038343,45
1680038344,42
1680038345,45
1680038346,47
1680038347,44
1680038348,39
1680038349,46
1680038350,45
1680038351,48
1680038352,43
1680038353,45
1680038354,43
1680038355,46
1680038356,44
1680038357,47
1680038358,46
1680038359,42
1680038360,41
1680038361,44
1680038362,45
1680038363,65
1680038364,255
1680038365,255
1680038366,249
1680038367,253
1680038368,156
1680038369,169
1680038370,170
1680038371,174
1680038372,171
1680038373,167
1680038374,172
1680038375,168
1680038376,169
1680038377,169
1680038378,166
1680038379,167
1680038380,168
1680038381,171
1680038382,172
1680038383,167
1680038384,162
1680038385,174
1680038386,164
1680038387,167
1680038388,170
1680038389,172
1680038390,177
1680038391,171
1680038392,173
1680038393,220
1680038394,255
1680038395,255
1680038396,254
1680038397,253
1680038398,185
1680038399,193
1680038400,196
1680038401,198
1680038402,195
1680038403,198
1680038404,195
1680038405,195
1680038406,201
1680038407,195
1680038408,197
1680038409,189
1680038410,194
1680038411,198
1680038412,195
1680038413,190
1680038414,192
1680038415,197
1680038416,196
1680038417,197
1680038418,196
1680038419,195
1680038420,196
1680038421,195
1680038422,200
1680038423,236
1680038424,256
1680038425,255
1680038426,254
1680038427,180
1680038428,177
1680038429,177
1680038430,175
1680038431,175
1680038432,173
1680038433,173
1680038434,177
1680038435,179
1680038436,182
1680038437,185
1680038438,190
1680038439,193
1680038440,197
1680038441,198
1680038442,200
1680038443,202
1680038444,203
1680038445,203
1680038446,203
1680038447,204
1680038448,202
1680038449,204
1680038450,206
1680038451,205
1680038452,244
1680038453,256
1680038454,255
1680038455,252
1680038456,254
1680038457,254
1680038458,210
1680038459,136
1680038460,166
1680038461,166
1680038462,163
1680038463,162
1680038464,161
1680038465,157
1680038466,155
1680038467,152
1680038468,154
1680038469,156
1680038470,158
1680038471,161
1680038472,161
1680038473,160
1680038474,159
1680038475,161
1680038476,164
1680038477,161
1680038478,163
1680038479,165
1680038480,165
1680038481,167
1680038482,165
1680038483,189
1680038484,256
1680038485,255
1680038486,255
1680038487,256
1680038488,255
1680038489,254
1680038490,255
1680038491,170
1680038492,203
1680038493,202
1680038494,194
1680038495,197
1680038496,204
1680038497,207
1680038498,204
1680038499,206
1680038500,204
1680038501,203
1680038502,206
1680038503,205
1680038504,201
1680038505,205
1680038506,209
1680038507,211
1680038508,211
1680038509,212
1680038510,197
1680038511,190
1680038512,195
1680038513,195
1680038514,190
1680038515,186
1680038516,193
1680038517,196
1680038518,195
1680038519,185
1680038520,182
1680038521,181
1680038522,184
1680038523,176
1680038524,186
1680038525,189
1680038526,186
1680038527,196
1680038528,199
1680038529,198
1680038530,193
1680038531,191
1680038532,202
1680038533,207
1680038534,197
1680038535,207
1680038536,207
1680038537,206
1680038538,200
1680038539,197
1680038540,187
1680038541,189
1680038542,192
1680038543,187
1680038544,190
1680038545,192
1680038546,196
1680038547,194
1680038548,198
1680038549,191
1680038550,190
1680038551,200
1680038552,199
1680038553,195
1680038554,188
1680038555,185
1680038556,190
1680038557,191
1680038558,195
1680038559,195
1680038560,196
1680038561,190
1680038562,202
1680038563,197
1680038564,198
1680038565,199
1680038566,196
1680038567,197
1680038568,195
1680038569,200
1680038570,197
1680038571,201
1680038572,201
1680038573,196
1680038574,191
1680038575,186
1680038576,184
1680038577,183
1680038578,187
1680038579,189
1680038580,189
1680038581,187
1680038582,188
1680038583,181
1680038584,182
1680038585,184
1680038586,182
1680038587,187
1680038588,208
1680038589,200
1680038590,206
1680038591,202
1680038592,199
1680038593,197
1680038594,186
1680038595,180
1680038596,179
1680038597,183
1680038598,183
1680038599,180
1680038600,174
1680038601,177
1680038602,177
1680038603,175
1680038604,174
1680038605,173
1680038606,177
1680038607,181
1680038608,184
1680038609,174
1680038610,180
1680038611,174
1680038612,174
1680038613,173
1680038614,173
1680038615,172
1680038616,172
1680038617,175
1680038618,178
1680038619,182
1680038620,187
1680038621,189
1680038622,186
1680038623,174
1680038624,178
1680038625,179
1680038626,175
1680038627,180
1680038628,117
