time,FPS
1677026662,30
1677026663,44
1677026664,25
1677026665,51
1677026666,49
1677026667,51
1677026668,47
1677026669,50
1677026670,48
1677026671,49
1677026672,51
1677026673,51
1677026674,46
1677026675,45
1677026676,38
1677026677,46
1677026678,43
1677026679,42
1677026680,43
1677026681,47
1677026682,46
1677026683,43
1677026684,44
1677026685,46
1677026686,45
1677026687,46
1677026688,40
1677026689,42
1677026690,41
1677026691,42
1677026692,43
1677026693,43
1677026694,40
1677026695,46
1677026696,43
1677026697,41
1677026698,39
1677026699,43
1677026700,46
1677026701,42
1677026702,42
1677026703,44
1677026704,43
1677026705,45
1677026706,41
1677026707,43
1677026708,42
1677026709,55
1677026710,54
1677026711,54
1677026712,52
1677026713,52
1677026714,53
1677026715,53
1677026716,53
1677026717,53
1677026718,42
1677026719,40
1677026720,39
1677026721,42
1677026722,46
1677026723,43
1677026724,42
1677026725,40
1677026726,43
1677026727,42
1677026728,46
1677026729,44
1677026730,42
1677026731,43
1677026732,45
1677026733,41
1677026734,46
1677026735,47
1677026736,43
1677026737,43
1677026738,47
1677026739,43
1677026740,44
1677026741,41
1677026742,42
1677026743,43
1677026744,41
1677026745,48
1677026746,44
1677026747,45
1677026748,46
1677026749,49
1677026750,43
1677026751,40
1677026752,41
1677026753,43
1677026754,43
1677026755,42
1677026756,43
1677026757,44
1677026758,43
1677026759,46
1677026760,42
1677026761,46
1677026762,41
1677026763,46
1677026764,45
1677026765,42
1677026766,130
1677026767,253
1677026768,253
1677026769,254
1677026770,217
1677026771,146
1677026772,147
1677026773,152
1677026774,154
1677026775,151
1677026776,152
1677026777,157
1677026778,158
1677026779,158
1677026780,155
1677026781,153
1677026782,154
1677026783,149
1677026784,152
1677026785,157
1677026786,162
1677026787,163
1677026788,164
1677026789,164
1677026790,164
1677026791,165
1677026792,160
1677026793,162
1677026794,161
1677026795,182
1677026796,247
1677026797,256
1677026798,253
1677026799,254
1677026800,168
1677026801,195
1677026802,197
1677026803,193
1677026804,194
1677026805,190
1677026806,194
1677026807,192
1677026808,198
1677026809,196
1677026810,194
1677026811,183
1677026812,194
1677026813,195
1677026814,189
1677026815,190
1677026816,191
1677026817,188
1677026818,196
1677026819,196
1677026820,194
1677026821,174
1677026822,188
1677026823,192
1677026824,190
1677026825,245
1677026826,255
1677026827,255
1677026828,255
1677026829,185
1677026830,182
1677026831,171
1677026832,177
1677026833,176
1677026834,176
1677026835,172
1677026836,177
1677026837,174
1677026838,177
1677026839,179
1677026840,182
1677026841,186
1677026842,190
1677026843,191
1677026844,191
1677026845,193
1677026846,192
1677026847,194
1677026848,195
1677026849,195
1677026850,195
1677026851,196
1677026852,195
1677026853,195
1677026854,231
1677026855,256
1677026856,255
1677026857,254
1677026858,255
1677026859,256
1677026860,220
1677026861,132
1677026862,164
1677026863,165
1677026864,163
1677026865,156
1677026866,155
1677026867,152
1677026868,149
1677026869,145
1677026870,146
1677026871,147
1677026872,152
1677026873,154
1677026874,153
1677026875,155
1677026876,156
1677026877,153
1677026878,163
1677026879,164
1677026880,163
1677026881,164
1677026882,166
1677026883,165
1677026884,165
1677026885,181
1677026886,256
1677026887,245
1677026888,256
1677026889,255
1677026890,253
1677026891,255
1677026892,176
1677026893,200
1677026894,201
1677026895,203
1677026896,202
1677026897,202
1677026898,206
1677026899,204
1677026900,205
1677026901,203
1677026902,204
1677026903,204
1677026904,203
1677026905,205
1677026906,205
1677026907,208
1677026908,212
1677026909,218
1677026910,220
1677026911,203
1677026912,193
1677026913,196
1677026914,190
1677026915,180
1677026916,184
1677026917,187
1677026918,191
1677026919,194
1677026920,185
1677026921,184
1677026922,182
1677026923,184
1677026924,184
1677026925,186
1677026926,191
1677026927,186
1677026928,198
1677026929,197
1677026930,197
1677026931,188
1677026932,193
1677026933,204
1677026934,199
1677026935,210
1677026936,204
1677026937,208
1677026938,204
1677026939,198
1677026940,187
1677026941,185
1677026942,190
1677026943,189
1677026944,192
1677026945,189
1677026946,188
1677026947,194
1677026948,191
1677026949,196
1677026950,193
1677026951,198
1677026952,200
1677026953,200
1677026954,191
1677026955,186
1677026956,188
1677026957,188
1677026958,190
1677026959,193
1677026960,193
1677026961,193
1677026962,189
1677026963,202
1677026964,198
1677026965,197
1677026966,194
1677026967,200
1677026968,199
1677026969,198
1677026970,203
1677026971,202
1677026972,208
1677026973,196
1677026974,193
1677026975,183
1677026976,181
1677026977,182
1677026978,182
1677026979,185
1677026980,181
1677026981,188
1677026982,186
1677026983,182
1677026984,180
1677026985,181
1677026986,183
1677026987,183
1677026988,186
1677026989,201
1677026990,203
1677026991,204
1677026992,198
1677026993,204
1677026994,200
1677026995,187
1677026996,179
1677026997,179
1677026998,180
1677026999,181
1677027000,176
1677027001,173
1677027002,173
1677027003,174
1677027004,172
1677027005,173
1677027006,168
1677027007,173
1677027008,176
1677027009,179
1677027010,174
1677027011,177
1677027012,175
1677027013,171
1677027014,171
1677027015,172
1677027016,165
1677027017,166
1677027018,168
1677027019,169
1677027020,176
1677027021,179
1677027022,183
1677027023,186
1677027024,170
1677027025,175
1677027026,174
1677027027,174
1677027028,175
1677027029,175
1677027030,171
