time,FPS
1677123940,24
1677123941,42
1677123942,25
1677123943,51
1677123944,51
1677123945,54
1677123946,51
1677123947,53
1677123948,52
1677123949,53
1677123950,50
1677123951,52
1677123952,49
1677123953,41
1677123954,40
1677123955,47
1677123956,41
1677123957,47
1677123958,46
1677123959,48
1677123960,47
1677123961,43
1677123962,47
1677123963,46
1677123964,46
1677123965,46
1677123966,43
1677123967,45
1677123968,45
1677123969,41
1677123970,50
1677123971,51
1677123972,43
1677123973,47
1677123974,47
1677123975,45
1677123976,45
1677123977,46
1677123978,46
1677123979,46
1677123980,45
1677123981,47
1677123982,50
1677123983,46
1677123984,44
1677123985,45
1677123986,56
1677123987,57
1677123988,57
1677123989,53
1677123990,56
1677123991,55
1677123992,56
1677123993,56
1677123994,57
1677123995,45
1677123996,40
1677123997,43
1677123998,41
1677123999,43
1677124000,43
1677124001,42
1677124002,43
1677124003,44
1677124004,46
1677124005,43
1677124006,44
1677124007,46
1677124008,48
1677124009,45
1677124010,50
1677124011,44
1677124012,47
1677124013,44
1677124014,42
1677124015,43
1677124016,42
1677124017,46
1677124018,43
1677124019,44
1677124020,44
1677124021,44
1677124022,45
1677124023,43
1677124024,45
1677124025,42
1677124026,43
1677124027,46
1677124028,46
1677124029,43
1677124030,44
1677124031,42
1677124032,42
1677124033,42
1677124034,43
1677124035,41
1677124036,44
1677124037,43
1677124038,43
1677124039,45
1677124040,44
1677124041,42
1677124042,44
1677124043,123
1677124044,255
1677124045,256
1677124046,256
1677124047,247
1677124048,163
1677124049,164
1677124050,167
1677124051,171
1677124052,171
1677124053,170
1677124054,170
1677124055,166
1677124056,171
1677124057,165
1677124058,171
1677124059,171
1677124060,172
1677124061,170
1677124062,174
1677124063,172
1677124064,174
1677124065,170
1677124066,166
1677124067,167
1677124068,173
1677124069,170
1677124070,170
1677124071,171
1677124072,186
1677124073,255
1677124074,255
1677124075,256
1677124076,234
1677124077,178
1677124078,191
1677124079,196
1677124080,193
1677124081,198
1677124082,197
1677124083,197
1677124084,195
1677124085,195
1677124086,190
1677124087,192
1677124088,189
1677124089,194
1677124090,190
1677124091,185
1677124092,185
1677124093,188
1677124094,189
1677124095,191
1677124096,190
1677124097,191
1677124098,195
1677124099,189
1677124100,197
1677124101,215
1677124102,256
1677124103,255
1677124104,255
1677124105,211
1677124106,179
1677124107,178
1677124108,180
1677124109,180
1677124110,180
1677124111,174
1677124112,179
1677124113,178
1677124114,181
1677124115,182
1677124116,188
1677124117,191
1677124118,193
1677124119,195
1677124120,197
1677124121,196
1677124122,198
1677124123,200
1677124124,200
1677124125,200
1677124126,201
1677124127,201
1677124128,202
1677124129,201
1677124130,241
1677124131,256
1677124132,255
1677124133,254
1677124134,256
1677124135,255
1677124136,179
1677124137,166
1677124138,168
1677124139,168
1677124140,165
1677124141,164
1677124142,161
1677124143,157
1677124144,155
1677124145,157
1677124146,158
1677124147,159
1677124148,159
1677124149,162
1677124150,162
1677124151,161
1677124152,160
1677124153,163
1677124154,164
1677124155,163
1677124156,165
1677124157,165
1677124158,165
1677124159,166
1677124160,165
1677124161,238
1677124162,255
1677124163,255
1677124164,255
1677124165,256
1677124166,255
1677124167,233
1677124168,200
1677124169,202
1677124170,203
1677124171,201
1677124172,203
1677124173,204
1677124174,205
1677124175,204
1677124176,205
1677124177,204
1677124178,204
1677124179,204
1677124180,203
1677124181,202
1677124182,205
1677124183,208
1677124184,204
1677124185,204
1677124186,194
1677124187,186
1677124188,187
1677124189,181
1677124190,179
1677124191,184
1677124192,190
1677124193,181
1677124194,188
1677124195,182
1677124196,181
1677124197,181
1677124198,184
1677124199,177
1677124200,184
1677124201,189
1677124202,186
1677124203,194
1677124204,196
1677124205,194
1677124206,194
1677124207,194
1677124208,203
1677124209,195
1677124210,204
1677124211,206
1677124212,202
1677124213,202
1677124214,194
1677124215,192
1677124216,184
1677124217,190
1677124218,190
1677124219,191
1677124220,187
1677124221,192
1677124222,194
1677124223,193
1677124224,185
1677124225,191
1677124226,197
1677124227,192
1677124228,196
1677124229,189
1677124230,185
1677124231,180
1677124232,189
1677124233,190
1677124234,189
1677124235,191
1677124236,192
1677124237,192
1677124238,202
1677124239,197
1677124240,197
1677124241,196
1677124242,196
1677124243,200
1677124244,199
1677124245,203
1677124246,202
1677124247,207
1677124248,197
1677124249,194
1677124250,189
1677124251,179
1677124252,183
1677124253,183
1677124254,185
1677124255,185
1677124256,187
1677124257,186
1677124258,184
1677124259,181
1677124260,178
1677124261,181
1677124262,182
1677124263,182
1677124264,204
1677124265,201
1677124266,203
1677124267,198
1677124268,198
1677124269,198
1677124270,188
1677124271,181
1677124272,174
1677124273,182
1677124274,181
1677124275,178
1677124276,175
1677124277,174
1677124278,175
1677124279,174
1677124280,175
1677124281,171
1677124282,174
1677124283,178
1677124284,183
1677124285,173
1677124286,180
1677124287,175
1677124288,172
1677124289,171
1677124290,172
1677124291,162
1677124292,164
1677124293,166
1677124294,169
1677124295,176
1677124296,179
1677124297,178
1677124298,181
1677124299,169
1677124300,176
1677124301,171
1677124302,179
1677124303,176
1677124304,175
1677124305,172
1677124306,178
1677124307,123
