time,FPS
1680631368,51
1680631369,32
1680631370,55
1680631371,59
1680631372,58
1680631373,49
1680631374,49
1680631375,51
1680631376,51
1680631377,49
1680631378,51
1680631379,50
1680631380,43
1680631381,45
1680631382,40
1680631383,38
1680631384,36
1680631385,43
1680631386,38
1680631387,39
1680631388,39
1680631389,42
1680631390,56
1680631391,61
1680631392,61
1680631393,61
1680631394,49
1680631395,44
1680631396,40
1680631397,41
1680631398,45
1680631399,44
1680631400,42
1680631401,39
1680631402,42
1680631403,42
1680631404,40
1680631405,42
1680631406,44
1680631407,39
1680631408,39
1680631409,40
1680631410,41
1680631411,40
1680631412,43
1680631413,50
1680631414,58
1680631415,58
1680631416,55
1680631417,55
1680631418,56
1680631419,56
1680631420,54
1680631421,56
1680631422,46
1680631423,40
1680631424,39
1680631425,41
1680631426,40
1680631427,43
1680631428,44
1680631429,41
1680631430,41
1680631431,37
1680631432,41
1680631433,39
1680631434,41
1680631435,40
1680631436,41
1680631437,42
1680631438,39
1680631439,42
1680631440,39
1680631441,41
1680631442,39
1680631443,38
1680631444,41
1680631445,40
1680631446,38
1680631447,41
1680631448,45
1680631449,45
1680631450,42
1680631451,44
1680631452,40
1680631453,45
1680631454,41
1680631455,42
1680631456,43
1680631457,43
1680631458,43
1680631459,41
1680631460,45
1680631461,46
1680631462,40
1680631463,44
1680631464,47
1680631465,44
1680631466,47
1680631467,44
1680631468,43
1680631469,44
1680631470,43
1680631471,242
1680631472,255
1680631473,256
1680631474,255
1680631475,67
1680631476,38
1680631477,37
1680631478,38
1680631479,37
1680631480,38
1680631481,38
1680631482,38
1680631483,38
1680631484,38
1680631485,38
1680631486,38
1680631487,39
1680631488,38
1680631489,39
1680631490,39
1680631491,39
1680631492,39
1680631493,40
1680631494,39
1680631495,40
1680631496,39
1680631497,39
1680631498,40
1680631499,41
1680631500,229
1680631501,254
1680631502,255
1680631503,254
1680631504,59
1680631505,45
1680631506,45
1680631507,45
1680631508,44
1680631509,44
1680631510,44
1680631511,45
1680631512,44
1680631513,44
1680631514,44
1680631515,40
1680631516,42
1680631517,42
1680631518,39
1680631519,39
1680631520,40
1680631521,41
1680631522,41
1680631523,42
1680631524,41
1680631525,41
1680631526,42
1680631527,41
1680631528,42
1680631529,242
1680631530,255
1680631531,255
1680631532,192
1680631533,49
1680631534,48
1680631535,48
1680631536,49
1680631537,49
1680631538,49
1680631539,48
1680631540,49
1680631541,49
1680631542,49
1680631543,49
1680631544,49
1680631545,50
1680631546,50
1680631547,50
1680631548,50
1680631549,50
1680631550,50
1680631551,49
1680631552,51
1680631553,50
1680631554,50
1680631555,51
1680631556,50
1680631557,112
1680631558,253
1680631559,255
1680631560,255
1680631561,255
1680631562,256
1680631563,173
1680631564,43
1680631565,44
1680631566,44
1680631567,44
1680631568,45
1680631569,44
1680631570,44
1680631571,43
1680631572,43
1680631573,44
1680631574,44
1680631575,44
1680631576,45
1680631577,45
1680631578,45
1680631579,45
1680631580,45
1680631581,46
1680631582,45
1680631583,46
1680631584,46
1680631585,46
1680631586,45
1680631587,46
1680631588,129
1680631589,254
1680631590,256
1680631591,254
1680631592,255
1680631593,256
1680631594,255
1680631595,255
1680631596,216
1680631597,44
1680631598,44
1680631599,44
1680631600,45
1680631601,44
1680631602,45
1680631603,45
1680631604,45
1680631605,45
1680631606,44
1680631607,45
1680631608,44
1680631609,45
1680631610,45
1680631611,45
1680631612,44
1680631613,47
1680631614,48
1680631615,49
1680631616,46
1680631617,43
1680631618,46
1680631619,45
1680631620,45
1680631621,45
1680631622,46
1680631623,45
1680631624,45
1680631625,43
1680631626,42
1680631627,41
1680631628,42
1680631629,42
1680631630,44
1680631631,44
1680631632,43
1680631633,44
1680631634,45
1680631635,44
1680631636,45
1680631637,44
1680631638,46
1680631639,46
1680631640,47
1680631641,47
1680631642,48
1680631643,48
1680631644,46
1680631645,47
1680631646,44
1680631647,44
1680631648,43
1680631649,45
1680631650,42
1680631651,44
1680631652,43
1680631653,43
1680631654,43
1680631655,44
1680631656,44
1680631657,46
1680631658,45
1680631659,44
1680631660,42
1680631661,42
1680631662,43
1680631663,44
1680631664,44
1680631665,44
1680631666,44
1680631667,43
1680631668,44
1680631669,43
1680631670,44
1680631671,43
1680631672,43
1680631673,44
1680631674,43
1680631675,42
1680631676,41
1680631677,41
1680631678,41
1680631679,41
1680631680,44
1680631681,44
1680631682,43
1680631683,41
1680631684,42
1680631685,40
1680631686,41
1680631687,42
1680631688,41
1680631689,42
1680631690,42
1680631691,42
1680631692,41
1680631693,41
1680631694,40
1680631695,41
1680631696,42
1680631697,43
1680631698,44
1680631699,42
1680631700,44
1680631701,43
1680631702,43
1680631703,43
1680631704,41
1680631705,42
1680631706,41
1680631707,40
1680631708,40
1680631709,40
1680631710,39
1680631711,38
1680631712,39
1680631713,38
1680631714,38
1680631715,37
1680631716,37
1680631717,38
1680631718,39
1680631719,41
1680631720,39
1680631721,40
1680631722,38
1680631723,39
1680631724,38
1680631725,39
1680631726,38
1680631727,39
1680631728,40
1680631729,41
1680631730,44
1680631731,45
1680631732,45
1680631733,47
1680631734,19
