time,FPS
1680564139,31
1680564140,41
1680564141,25
1680564142,50
1680564143,53
1680564144,50
1680564145,51
1680564146,54
1680564147,51
1680564148,51
1680564149,54
1680564150,49
1680564151,51
1680564152,42
1680564153,45
1680564154,46
1680564155,45
1680564156,50
1680564157,43
1680564158,43
1680564159,47
1680564160,41
1680564161,45
1680564162,44
1680564163,45
1680564164,43
1680564165,47
1680564166,51
1680564167,51
1680564168,44
1680564169,47
1680564170,49
1680564171,47
1680564172,49
1680564173,55
1680564174,46
1680564175,47
1680564176,47
1680564177,50
1680564178,50
1680564179,47
1680564180,48
1680564181,45
1680564182,50
1680564183,48
1680564184,56
1680564185,57
1680564186,58
1680564187,55
1680564188,56
1680564189,57
1680564190,57
1680564191,57
1680564192,57
1680564193,46
1680564194,41
1680564195,40
1680564196,42
1680564197,41
1680564198,45
1680564199,42
1680564200,45
1680564201,42
1680564202,41
1680564203,48
1680564204,47
1680564205,44
1680564206,46
1680564207,39
1680564208,47
1680564209,44
1680564210,49
1680564211,43
1680564212,44
1680564213,45
1680564214,48
1680564215,45
1680564216,47
1680564217,45
1680564218,46
1680564219,48
1680564220,43
1680564221,48
1680564222,46
1680564223,50
1680564224,46
1680564225,46
1680564226,46
1680564227,43
1680564228,44
1680564229,45
1680564230,43
1680564231,45
1680564232,47
1680564233,50
1680564234,44
1680564235,44
1680564236,49
1680564237,48
1680564238,49
1680564239,44
1680564240,41
1680564241,88
1680564242,255
1680564243,254
1680564244,256
1680564245,193
1680564246,86
1680564247,85
1680564248,86
1680564249,85
1680564250,85
1680564251,86
1680564252,87
1680564253,85
1680564254,85
1680564255,85
1680564256,85
1680564257,85
1680564258,86
1680564259,86
1680564260,86
1680564261,87
1680564262,88
1680564263,88
1680564264,86
1680564265,86
1680564266,86
1680564267,87
1680564268,86
1680564269,87
1680564270,153
1680564271,256
1680564272,254
1680564273,249
1680564274,104
1680564275,102
1680564276,103
1680564277,102
1680564278,102
1680564279,100
1680564280,100
1680564281,101
1680564282,99
1680564283,100
1680564284,96
1680564285,90
1680564286,95
1680564287,92
1680564288,89
1680564289,88
1680564290,90
1680564291,93
1680564292,94
1680564293,94
1680564294,94
1680564295,94
1680564296,94
1680564297,92
1680564298,105
1680564299,255
1680564300,253
1680564301,256
1680564302,121
1680564303,107
1680564304,109
1680564305,108
1680564306,108
1680564307,107
1680564308,108
1680564309,108
1680564310,107
1680564311,108
1680564312,107
1680564313,108
1680564314,108
1680564315,108
1680564316,108
1680564317,108
1680564318,108
1680564319,108
1680564320,109
1680564321,109
1680564322,108
1680564323,109
1680564324,109
1680564325,109
1680564326,108
1680564327,246
1680564328,252
1680564329,255
1680564330,256
1680564331,255
1680564332,150
1680564333,88
1680564334,89
1680564335,90
1680564336,89
1680564337,92
1680564338,89
1680564339,87
1680564340,85
1680564341,86
1680564342,85
1680564343,87
1680564344,87
1680564345,87
1680564346,88
1680564347,88
1680564348,89
1680564349,89
1680564350,87
1680564351,87
1680564352,87
1680564353,88
1680564354,89
1680564355,88
1680564356,87
1680564357,200
1680564358,255
1680564359,254
1680564360,256
1680564361,255
1680564362,179
1680564363,92
1680564364,92
1680564365,93
1680564366,92
1680564367,93
1680564368,94
1680564369,93
1680564370,92
1680564371,92
1680564372,93
1680564373,92
1680564374,93
1680564375,91
1680564376,93
1680564377,93
1680564378,96
1680564379,99
1680564380,99
1680564381,100
1680564382,89
1680564383,86
1680564384,89
1680564385,87
1680564386,86
1680564387,84
1680564388,87
1680564389,89
1680564390,88
1680564391,87
1680564392,87
1680564393,86
1680564394,87
1680564395,87
1680564396,90
1680564397,92
1680564398,88
1680564399,91
1680564400,91
1680564401,91
1680564402,91
1680564403,92
1680564404,94
1680564405,97
1680564406,99
1680564407,100
1680564408,97
1680564409,97
1680564410,97
1680564411,94
1680564412,91
1680564413,91
1680564414,87
1680564415,90
1680564416,86
1680564417,88
1680564418,87
1680564419,85
1680564420,85
1680564421,85
1680564422,87
1680564423,93
1680564424,94
1680564425,90
1680564426,88
1680564427,92
1680564428,91
1680564429,92
1680564430,92
1680564431,94
1680564432,95
1680564433,95
1680564434,91
1680564435,86
1680564436,87
1680564437,87
1680564438,85
1680564439,85
1680564440,86
1680564441,85
1680564442,87
1680564443,89
1680564444,91
1680564445,88
1680564446,87
1680564447,89
1680564448,88
1680564449,88
1680564450,90
1680564451,90
1680564452,92
1680564453,92
1680564454,91
1680564455,87
1680564456,87
1680564457,88
1680564458,89
1680564459,90
1680564460,92
1680564461,89
1680564462,87
1680564463,86
1680564464,86
1680564465,86
1680564466,84
1680564467,84
1680564468,84
1680564469,84
1680564470,84
1680564471,84
1680564472,83
1680564473,83
1680564474,83
1680564475,81
1680564476,82
1680564477,83
1680564478,80
1680564479,80
1680564480,80
1680564481,80
1680564482,82
1680564483,82
1680564484,83
1680564485,81
1680564486,81
1680564487,82
1680564488,82
1680564489,82
1680564490,83
1680564491,84
1680564492,86
1680564493,89
1680564494,95
1680564495,98
1680564496,98
1680564497,89
1680564498,84
1680564499,84
1680564500,85
1680564501,85
1680564502,84
1680564503,85
1680564504,85
1680564505,84
1680564506,8
