time,FPS
1676068820,40
1676068821,39
1676068822,25
1676068823,50
1676068824,43
1676068825,45
1676068826,47
1676068827,49
1676068828,44
1676068829,47
1676068830,40
1676068831,45
1676068832,43
1676068833,47
1676068834,42
1676068835,42
1676068836,43
1676068837,39
1676068838,42
1676068839,42
1676068840,41
1676068841,41
1676068842,48
1676068843,53
1676068844,52
1676068845,52
1676068846,52
1676068847,48
1676068848,51
1676068849,51
1676068850,54
1676068851,53
1676068852,52
1676068853,51
1676068854,50
1676068855,51
1676068856,47
1676068857,54
1676068858,51
1676068859,54
1676068860,49
1676068861,51
1676068862,51
1676068863,50
1676068864,47
1676068865,58
1676068866,57
1676068867,58
1676068868,54
1676068869,57
1676068870,57
1676068871,57
1676068872,56
1676068873,57
1676068874,47
1676068875,39
1676068876,42
1676068877,42
1676068878,48
1676068879,45
1676068880,44
1676068881,49
1676068882,43
1676068883,44
1676068884,41
1676068885,46
1676068886,44
1676068887,47
1676068888,49
1676068889,47
1676068890,47
1676068891,47
1676068892,46
1676068893,45
1676068894,46
1676068895,47
1676068896,49
1676068897,48
1676068898,51
1676068899,48
1676068900,49
1676068901,48
1676068902,46
1676068903,46
1676068904,51
1676068905,49
1676068906,50
1676068907,54
1676068908,48
1676068909,47
1676068910,52
1676068911,47
1676068912,45
1676068913,49
1676068914,52
1676068915,47
1676068916,50
1676068917,50
1676068918,51
1676068919,49
1676068920,48
1676068921,45
1676068922,147
1676068923,252
1676068924,251
1676068925,253
1676068926,195
1676068927,115
1676068928,115
1676068929,118
1676068930,120
1676068931,120
1676068932,122
1676068933,115
1676068934,122
1676068935,123
1676068936,120
1676068937,118
1676068938,117
1676068939,117
1676068940,116
1676068941,116
1676068942,117
1676068943,114
1676068944,113
1676068945,114
1676068946,115
1676068947,116
1676068948,118
1676068949,119
1676068950,119
1676068951,157
1676068952,256
1676068953,253
1676068954,256
1676068955,169
1676068956,141
1676068957,149
1676068958,151
1676068959,152
1676068960,151
1676068961,149
1676068962,151
1676068963,150
1676068964,150
1676068965,150
1676068966,150
1676068967,150
1676068968,153
1676068969,151
1676068970,149
1676068971,150
1676068972,150
1676068973,151
1676068974,152
1676068975,150
1676068976,153
1676068977,152
1676068978,156
1676068979,151
1676068980,204
1676068981,255
1676068982,255
1676068983,255
1676068984,131
1676068985,136
1676068986,135
1676068987,133
1676068988,134
1676068989,134
1676068990,133
1676068991,134
1676068992,132
1676068993,136
1676068994,137
1676068995,142
1676068996,147
1676068997,150
1676068998,152
1676068999,152
1676069000,153
1676069001,153
1676069002,154
1676069003,155
1676069004,156
1676069005,156
1676069006,157
1676069007,156
1676069008,157
1676069009,245
1676069010,255
1676069011,252
1676069012,253
1676069013,256
1676069014,255
1676069015,255
1676069016,168
1676069017,120
1676069018,131
1676069019,130
1676069020,130
1676069021,129
1676069022,129
1676069023,125
1676069024,123
1676069025,123
1676069026,122
1676069027,125
1676069028,126
1676069029,126
1676069030,128
1676069031,126
1676069032,127
1676069033,126
1676069034,126
1676069035,126
1676069036,126
1676069037,128
1676069038,129
1676069039,129
1676069040,129
1676069041,174
1676069042,255
1676069043,254
1676069044,255
1676069045,255
1676069046,252
1676069047,255
1676069048,255
1676069049,254
1676069050,140
1676069051,156
1676069052,160
1676069053,160
1676069054,155
1676069055,160
1676069056,163
1676069057,163
1676069058,162
1676069059,163
1676069060,162
1676069061,164
1676069062,163
1676069063,161
1676069064,158
1676069065,167
1676069066,169
1676069067,173
1676069068,172
1676069069,164
1676069070,152
1676069071,158
1676069072,156
1676069073,150
1676069074,145
1676069075,152
1676069076,157
1676069077,157
1676069078,149
1676069079,146
1676069080,145
1676069081,145
1676069082,148
1676069083,146
1676069084,151
1676069085,148
1676069086,157
1676069087,159
1676069088,152
1676069089,152
1676069090,152
1676069091,158
1676069092,164
1676069093,163
1676069094,164
1676069095,161
1676069096,159
1676069097,154
1676069098,152
1676069099,147
1676069100,151
1676069101,153
1676069102,152
1676069103,152
1676069104,154
1676069105,155
1676069106,150
1676069107,153
1676069108,153
1676069109,155
1676069110,160
1676069111,158
1676069112,154
1676069113,150
1676069114,152
1676069115,148
1676069116,150
1676069117,155
1676069118,154
1676069119,155
1676069120,152
1676069121,163
1676069122,159
1676069123,158
1676069124,158
1676069125,158
1676069126,159
1676069127,160
1676069128,158
1676069129,156
1676069130,156
1676069131,156
1676069132,161
1676069133,156
1676069134,150
1676069135,146
1676069136,147
1676069137,147
1676069138,147
1676069139,149
1676069140,151
1676069141,151
1676069142,151
1676069143,154
1676069144,147
1676069145,146
1676069146,137
1676069147,110
1676069148,149
1676069149,159
1676069150,165
1676069151,158
1676069152,155
1676069153,157
1676069154,156
1676069155,155
1676069156,152
1676069157,144
1676069158,142
1676069159,145
1676069160,147
1676069161,146
1676069162,142
1676069163,142
1676069164,140
1676069165,140
1676069166,141
1676069167,138
1676069168,140
1676069169,143
1676069170,145
1676069171,141
1676069172,142
1676069173,141
1676069174,134
1676069175,134
1676069176,135
1676069177,125
1676069178,126
1676069179,126
1676069180,128
1676069181,137
1676069182,136
1676069183,141
1676069184,143
1676069185,132
1676069186,139
1676069187,50
