time,FPS
1675724805,39
1675724806,42
1675724807,24
1675724808,46
1675724809,52
1675724810,52
1675724811,49
1675724812,51
1675724813,49
1675724814,51
1675724815,51
1675724816,48
1675724817,52
1675724818,43
1675724819,41
1675724820,41
1675724821,40
1675724822,40
1675724823,42
1675724824,39
1675724825,41
1675724826,41
1675724827,43
1675724828,51
1675724829,53
1675724830,51
1675724831,52
1675724832,51
1675724833,53
1675724834,50
1675724835,52
1675724836,53
1675724837,51
1675724838,48
1675724839,53
1675724840,51
1675724841,50
1675724842,51
1675724843,49
1675724844,56
1675724845,57
1675724846,56
1675724847,52
1675724848,55
1675724849,55
1675724850,54
1675724851,53
1675724852,54
1675724853,44
1675724854,36
1675724855,44
1675724856,43
1675724857,41
1675724858,44
1675724859,43
1675724860,44
1675724861,41
1675724862,42
1675724863,46
1675724864,49
1675724865,44
1675724866,48
1675724867,50
1675724868,60
1675724869,57
1675724870,54
1675724871,60
1675724872,54
1675724873,54
1675724874,61
1675724875,59
1675724876,58
1675724877,60
1675724878,60
1675724879,60
1675724880,57
1675724881,57
1675724882,54
1675724883,57
1675724884,55
1675724885,61
1675724886,59
1675724887,58
1675724888,57
1675724889,61
1675724890,58
1675724891,57
1675724892,60
1675724893,53
1675724894,57
1675724895,55
1675724896,57
1675724897,56
1675724898,58
1675724899,59
1675724900,58
1675724901,153
1675724902,251
1675724903,255
1675724904,248
1675724905,254
1675724906,124
1675724907,112
1675724908,108
1675724909,113
1675724910,114
1675724911,116
1675724912,116
1675724913,118
1675724914,118
1675724915,113
1675724916,115
1675724917,114
1675724918,115
1675724919,115
1675724920,116
1675724921,119
1675724922,119
1675724923,118
1675724924,121
1675724925,119
1675724926,117
1675724927,118
1675724928,121
1675724929,123
1675724930,122
1675724931,213
1675724932,255
1675724933,255
1675724934,255
1675724935,153
1675724936,149
1675724937,156
1675724938,153
1675724939,155
1675724940,151
1675724941,149
1675724942,150
1675724943,149
1675724944,154
1675724945,149
1675724946,150
1675724947,149
1675724948,156
1675724949,153
1675724950,150
1675724951,150
1675724952,151
1675724953,152
1675724954,154
1675724955,152
1675724956,152
1675724957,152
1675724958,154
1675724959,153
1675724960,215
1675724961,255
1675724962,255
1675724963,254
1675724964,196
1675724965,137
1675724966,118
1675724967,123
1675724968,121
1675724969,121
1675724970,122
1675724971,121
1675724972,123
1675724973,131
1675724974,139
1675724975,139
1675724976,146
1675724977,150
1675724978,151
1675724979,153
1675724980,153
1675724981,154
1675724982,155
1675724983,156
1675724984,157
1675724985,157
1675724986,158
1675724987,158
1675724988,158
1675724989,193
1675724990,254
1675724991,254
1675724992,255
1675724993,253
1675724994,255
1675724995,255
1675724996,254
1675724997,207
1675724998,91
1675724999,112
1675725000,112
1675725001,113
1675725002,109
1675725003,110
1675725004,108
1675725005,105
1675725006,103
1675725007,104
1675725008,104
1675725009,105
1675725010,105
1675725011,107
1675725012,106
1675725013,108
1675725014,107
1675725015,106
1675725016,105
1675725017,105
1675725018,107
1675725019,109
1675725020,110
1675725021,110
1675725022,133
1675725023,254
1675725024,256
1675725025,254
1675725026,255
1675725027,255
1675725028,255
1675725029,255
1675725030,253
1675725031,254
1675725032,130
1675725033,158
1675725034,159
1675725035,158
1675725036,159
1675725037,160
1675725038,162
1675725039,162
1675725040,162
1675725041,161
1675725042,160
1675725043,162
1675725044,159
1675725045,160
1675725046,163
1675725047,166
1675725048,166
1675725049,167
1675725050,162
1675725051,143
1675725052,138
1675725053,139
1675725054,140
1675725055,134
1675725056,134
1675725057,139
1675725058,143
1675725059,145
1675725060,142
1675725061,145
1675725062,147
1675725063,143
1675725064,145
1675725065,147
1675725066,149
1675725067,152
1675725068,157
1675725069,158
1675725070,155
1675725071,153
1675725072,156
1675725073,161
1675725074,164
1675725075,162
1675725076,162
1675725077,161
1675725078,157
1675725079,150
1675725080,147
1675725081,149
1675725082,155
1675725083,147
1675725084,151
1675725085,149
1675725086,154
1675725087,154
1675725088,151
1675725089,152
1675725090,151
1675725091,152
1675725092,156
1675725093,159
1675725094,148
1675725095,150
1675725096,147
1675725097,150
1675725098,152
1675725099,154
1675725100,152
1675725101,150
1675725102,154
1675725103,157
1675725104,157
1675725105,156
1675725106,155
1675725107,159
1675725108,157
1675725109,158
1675725110,156
1675725111,154
1675725112,158
1675725113,159
1675725114,157
1675725115,150
1675725116,149
1675725117,146
1675725118,148
1675725119,147
1675725120,147
1675725121,148
1675725122,148
1675725123,149
1675725124,149
1675725125,152
1675725126,145
1675725127,144
1675725128,147
1675725129,148
1675725130,148
1675725131,159
1675725132,161
1675725133,160
1675725134,150
1675725135,159
1675725136,156
1675725137,159
1675725138,145
1675725139,142
1675725140,138
1675725141,146
1675725142,147
1675725143,147
1675725144,142
1675725145,142
1675725146,142
1675725147,140
1675725148,140
1675725149,139
1675725150,139
1675725151,145
1675725152,146
1675725153,141
1675725154,144
1675725155,138
1675725156,134
1675725157,134
1675725158,133
1675725159,125
1675725160,127
1675725161,127
1675725162,129
1675725163,134
1675725164,136
1675725165,107
