time,FPS
1679608083,31
1679608084,42
1679608085,24
1679608086,50
1679608087,47
1679608088,48
1679608089,45
1679608090,47
1679608091,51
1679608092,47
1679608093,46
1679608094,46
1679608095,49
1679608096,43
1679608097,45
1679608098,44
1679608099,44
1679608100,45
1679608101,43
1679608102,41
1679608103,46
1679608104,47
1679608105,52
1679608106,56
1679608107,54
1679608108,56
1679608109,55
1679608110,56
1679608111,54
1679608112,54
1679608113,52
1679608114,56
1679608115,54
1679608116,54
1679608117,54
1679608118,52
1679608119,54
1679608120,54
1679608121,56
1679608122,56
1679608123,53
1679608124,54
1679608125,51
1679608126,58
1679608127,59
1679608128,55
1679608129,58
1679608130,57
1679608131,57
1679608132,58
1679608133,56
1679608134,54
1679608135,43
1679608136,43
1679608137,40
1679608138,42
1679608139,43
1679608140,45
1679608141,43
1679608142,41
1679608143,43
1679608144,47
1679608145,49
1679608146,45
1679608147,48
1679608148,46
1679608149,49
1679608150,50
1679608151,48
1679608152,48
1679608153,45
1679608154,47
1679608155,49
1679608156,50
1679608157,48
1679608158,49
1679608159,48
1679608160,43
1679608161,47
1679608162,45
1679608163,44
1679608164,47
1679608165,45
1679608166,46
1679608167,45
1679608168,48
1679608169,45
1679608170,45
1679608171,43
1679608172,48
1679608173,44
1679608174,47
1679608175,45
1679608176,47
1679608177,44
1679608178,48
1679608179,42
1679608180,46
1679608181,46
1679608182,52
1679608183,186
1679608184,254
1679608185,247
1679608186,254
1679608187,163
1679608188,126
1679608189,125
1679608190,131
1679608191,130
1679608192,130
1679608193,130
1679608194,130
1679608195,131
1679608196,123
1679608197,127
1679608198,128
1679608199,125
1679608200,124
1679608201,124
1679608202,128
1679608203,129
1679608204,129
1679608205,129
1679608206,128
1679608207,129
1679608208,133
1679608209,133
1679608210,132
1679608211,133
1679608212,188
1679608213,255
1679608214,255
1679608215,255
1679608216,143
1679608217,150
1679608218,157
1679608219,155
1679608220,159
1679608221,157
1679608222,155
1679608223,151
1679608224,156
1679608225,149
1679608226,156
1679608227,154
1679608228,154
1679608229,158
1679608230,153
1679608231,153
1679608232,154
1679608233,154
1679608234,155
1679608235,156
1679608236,156
1679608237,157
1679608238,158
1679608239,153
1679608240,154
1679608241,223
1679608242,256
1679608243,253
1679608244,247
1679608245,116
1679608246,135
1679608247,136
1679608248,134
1679608249,133
1679608250,132
1679608251,134
1679608252,135
1679608253,135
1679608254,137
1679608255,140
1679608256,144
1679608257,148
1679608258,152
1679608259,153
1679608260,153
1679608261,154
1679608262,155
1679608263,156
1679608264,156
1679608265,158
1679608266,158
1679608267,159
1679608268,159
1679608269,167
1679608270,255
1679608271,255
1679608272,255
1679608273,255
1679608274,251
1679608275,254
1679608276,256
1679608277,164
1679608278,122
1679608279,130
1679608280,129
1679608281,129
1679608282,126
1679608283,125
1679608284,121
1679608285,119
1679608286,119
1679608287,118
1679608288,121
1679608289,121
1679608290,123
1679608291,122
1679608292,121
1679608293,123
1679608294,123
1679608295,123
1679608296,122
1679608297,123
1679608298,125
1679608299,124
1679608300,127
1679608301,125
1679608302,188
1679608303,255
1679608304,255
1679608305,256
1679608306,255
1679608307,255
1679608308,251
1679608309,254
1679608310,254
1679608311,152
1679608312,161
1679608313,161
1679608314,158
1679608315,157
1679608316,161
1679608317,163
1679608318,163
1679608319,163
1679608320,162
1679608321,158
1679608322,163
1679608323,164
1679608324,163
1679608325,157
1679608326,168
1679608327,169
1679608328,174
1679608329,172
1679608330,166
1679608331,154
1679608332,158
1679608333,162
1679608334,151
1679608335,145
1679608336,154
1679608337,156
1679608338,157
1679608339,148
1679608340,145
1679608341,147
1679608342,141
1679608343,148
1679608344,149
1679608345,151
1679608346,149
1679608347,158
1679608348,155
1679608349,155
1679608350,154
1679608351,155
1679608352,163
1679608353,166
1679608354,165
1679608355,165
1679608356,166
1679608357,160
1679608358,155
1679608359,152
1679608360,148
1679608361,153
1679608362,152
1679608363,153
1679608364,152
1679608365,156
1679608366,158
1679608367,154
1679608368,157
1679608369,154
1679608370,157
1679608371,159
1679608372,160
1679608373,154
1679608374,149
1679608375,151
1679608376,150
1679608377,153
1679608378,154
1679608379,156
1679608380,155
1679608381,151
1679608382,162
1679608383,159
1679608384,154
1679608385,157
1679608386,159
1679608387,158
1679608388,157
1679608389,157
1679608390,154
1679608391,156
1679608392,156
1679608393,164
1679608394,154
1679608395,148
1679608396,147
1679608397,144
1679608398,145
1679608399,147
1679608400,149
1679608401,150
1679608402,152
1679608403,154
1679608404,149
1679608405,147
1679608406,150
1679608407,150
1679608408,150
1679608409,155
1679608410,171
1679608411,160
1679608412,161
1679608413,151
1679608414,157
1679608415,154
1679608416,155
1679608417,147
1679608418,144
1679608419,144
1679608420,147
1679608421,149
1679608422,150
1679608423,148
1679608424,148
1679608425,145
1679608426,144
1679608427,143
1679608428,143
1679608429,142
1679608430,141
1679608431,142
1679608432,147
1679608433,148
1679608434,142
1679608435,145
1679608436,140
1679608437,136
1679608438,135
1679608439,137
1679608440,133
1679608441,134
1679608442,135
1679608443,137
1679608444,141
1679608445,143
1679608446,144
1679608447,70
