time,FPS
1677008694,36
1677008695,43
1677008696,31
1677008697,52
1677008698,45
1677008699,46
1677008700,45
1677008701,46
1677008702,46
1677008703,43
1677008704,44
1677008705,41
1677008706,46
1677008707,43
1677008708,44
1677008709,46
1677008710,43
1677008711,44
1677008712,45
1677008713,41
1677008714,48
1677008715,46
1677008716,46
1677008717,46
1677008718,47
1677008719,46
1677008720,48
1677008721,45
1677008722,46
1677008723,43
1677008724,48
1677008725,44
1677008726,44
1677008727,44
1677008728,42
1677008729,47
1677008730,44
1677008731,43
1677008732,45
1677008733,51
1677008734,48
1677008735,45
1677008736,45
1677008737,44
1677008738,43
1677008739,58
1677008740,57
1677008741,57
1677008742,55
1677008743,56
1677008744,57
1677008745,56
1677008746,54
1677008747,57
1677008748,43
1677008749,40
1677008750,45
1677008751,44
1677008752,41
1677008753,46
1677008754,42
1677008755,41
1677008756,47
1677008757,44
1677008758,43
1677008759,43
1677008760,43
1677008761,42
1677008762,41
1677008763,44
1677008764,42
1677008765,45
1677008766,44
1677008767,43
1677008768,43
1677008769,43
1677008770,44
1677008771,48
1677008772,45
1677008773,44
1677008774,43
1677008775,47
1677008776,39
1677008777,43
1677008778,46
1677008779,46
1677008780,42
1677008781,42
1677008782,43
1677008783,43
1677008784,43
1677008785,43
1677008786,41
1677008787,43
1677008788,47
1677008789,40
1677008790,42
1677008791,43
1677008792,41
1677008793,42
1677008794,43
1677008795,44
1677008796,128
1677008797,255
1677008798,253
1677008799,252
1677008800,219
1677008801,106
1677008802,112
1677008803,118
1677008804,118
1677008805,118
1677008806,118
1677008807,115
1677008808,120
1677008809,120
1677008810,119
1677008811,117
1677008812,117
1677008813,117
1677008814,118
1677008815,117
1677008816,118
1677008817,118
1677008818,120
1677008819,122
1677008820,123
1677008821,123
1677008822,124
1677008823,125
1677008824,124
1677008825,150
1677008826,255
1677008827,256
1677008828,255
1677008829,186
1677008830,137
1677008831,159
1677008832,155
1677008833,157
1677008834,154
1677008835,152
1677008836,157
1677008837,158
1677008838,157
1677008839,158
1677008840,157
1677008841,156
1677008842,158
1677008843,157
1677008844,154
1677008845,155
1677008846,155
1677008847,156
1677008848,158
1677008849,157
1677008850,153
1677008851,153
1677008852,158
1677008853,160
1677008854,194
1677008855,255
1677008856,256
1677008857,255
1677008858,130
1677008859,138
1677008860,138
1677008861,138
1677008862,136
1677008863,135
1677008864,135
1677008865,135
1677008866,135
1677008867,138
1677008868,139
1677008869,143
1677008870,147
1677008871,150
1677008872,152
1677008873,152
1677008874,153
1677008875,154
1677008876,155
1677008877,155
1677008878,157
1677008879,156
1677008880,157
1677008881,158
1677008882,158
1677008883,255
1677008884,256
1677008885,255
1677008886,255
1677008887,252
1677008888,188
1677008889,123
1677008890,132
1677008891,129
1677008892,131
1677008893,130
1677008894,128
1677008895,122
1677008896,123
1677008897,119
1677008898,123
1677008899,125
1677008900,124
1677008901,126
1677008902,124
1677008903,126
1677008904,127
1677008905,126
1677008906,126
1677008907,125
1677008908,126
1677008909,126
1677008910,128
1677008911,127
1677008912,126
1677008913,176
1677008914,255
1677008915,255
1677008916,256
1677008917,255
1677008918,253
1677008919,256
1677008920,159
1677008921,160
1677008922,161
1677008923,160
1677008924,156
1677008925,160
1677008926,161
1677008927,163
1677008928,160
1677008929,161
1677008930,162
1677008931,161
1677008932,161
1677008933,159
1677008934,161
1677008935,165
1677008936,169
1677008937,172
1677008938,175
1677008939,156
1677008940,151
1677008941,162
1677008942,152
1677008943,147
1677008944,148
1677008945,152
1677008946,153
1677008947,153
1677008948,144
1677008949,146
1677008950,148
1677008951,147
1677008952,149
1677008953,149
1677008954,149
1677008955,151
1677008956,160
1677008957,157
1677008958,152
1677008959,154
1677008960,157
1677008961,165
1677008962,165
1677008963,160
1677008964,165
1677008965,162
1677008966,157
1677008967,150
1677008968,147
1677008969,149
1677008970,152
1677008971,151
1677008972,151
1677008973,152
1677008974,156
1677008975,155
1677008976,157
1677008977,155
1677008978,155
1677008979,161
1677008980,158
1677008981,155
1677008982,151
1677008983,149
1677008984,149
1677008985,148
1677008986,153
1677008987,153
1677008988,153
1677008989,151
1677008990,156
1677008991,159
1677008992,156
1677008993,156
1677008994,157
1677008995,158
1677008996,157
1677008997,158
1677008998,159
1677008999,161
1677009000,162
1677009001,160
1677009002,157
1677009003,154
1677009004,152
1677009005,147
1677009006,145
1677009007,149
1677009008,148
1677009009,150
1677009010,149
1677009011,144
1677009012,143
1677009013,145
1677009014,144
1677009015,145
1677009016,160
1677009017,163
1677009018,160
1677009019,160
1677009020,159
1677009021,158
1677009022,157
1677009023,143
1677009024,142
1677009025,139
1677009026,144
1677009027,146
1677009028,146
1677009029,142
1677009030,142
1677009031,141
1677009032,141
1677009033,139
1677009034,138
1677009035,142
1677009036,145
1677009037,145
1677009038,142
1677009039,143
1677009040,137
1677009041,134
1677009042,135
1677009043,133
1677009044,133
1677009045,133
1677009046,136
1677009047,137
1677009048,140
1677009049,145
1677009050,146
1677009051,145
1677009052,138
1677009053,141
1677009054,143
1677009055,143
1677009056,143
1677009057,142
1677009058,143
1677009059,143
1677009060,38
