time,FPS
1680200398,43
1680200399,38
1680200400,33
1680200401,52
1680200402,49
1680200403,55
1680200404,52
1680200405,53
1680200406,53
1680200407,53
1680200408,52
1680200409,51
1680200410,46
1680200411,43
1680200412,45
1680200413,41
1680200414,42
1680200415,45
1680200416,42
1680200417,43
1680200418,44
1680200419,45
1680200420,46
1680200421,42
1680200422,43
1680200423,44
1680200424,46
1680200425,46
1680200426,47
1680200427,41
1680200428,48
1680200429,40
1680200430,46
1680200431,50
1680200432,43
1680200433,46
1680200434,43
1680200435,45
1680200436,40
1680200437,45
1680200438,42
1680200439,45
1680200440,42
1680200441,47
1680200442,52
1680200443,56
1680200444,56
1680200445,53
1680200446,53
1680200447,53
1680200448,52
1680200449,53
1680200450,53
1680200451,49
1680200452,43
1680200453,40
1680200454,46
1680200455,44
1680200456,45
1680200457,45
1680200458,42
1680200459,47
1680200460,45
1680200461,46
1680200462,47
1680200463,45
1680200464,44
1680200465,48
1680200466,46
1680200467,47
1680200468,48
1680200469,46
1680200470,50
1680200471,41
1680200472,42
1680200473,46
1680200474,47
1680200475,49
1680200476,46
1680200477,50
1680200478,46
1680200479,47
1680200480,47
1680200481,43
1680200482,47
1680200483,47
1680200484,45
1680200485,43
1680200486,44
1680200487,48
1680200488,41
1680200489,46
1680200490,45
1680200491,50
1680200492,50
1680200493,48
1680200494,50
1680200495,47
1680200496,47
1680200497,43
1680200498,45
1680200499,67
1680200500,255
1680200501,256
1680200502,248
1680200503,255
1680200504,146
1680200505,164
1680200506,168
1680200507,170
1680200508,169
1680200509,167
1680200510,173
1680200511,169
1680200512,175
1680200513,164
1680200514,167
1680200515,166
1680200516,171
1680200517,162
1680200518,170
1680200519,169
1680200520,166
1680200521,170
1680200522,174
1680200523,175
1680200524,170
1680200525,170
1680200526,172
1680200527,175
1680200528,176
1680200529,252
1680200530,254
1680200531,255
1680200532,256
1680200533,152
1680200534,202
1680200535,196
1680200536,177
1680200537,198
1680200538,193
1680200539,196
1680200540,197
1680200541,198
1680200542,195
1680200543,196
1680200544,189
1680200545,199
1680200546,197
1680200547,189
1680200548,192
1680200549,192
1680200550,199
1680200551,197
1680200552,199
1680200553,191
1680200554,197
1680200555,196
1680200556,192
1680200557,196
1680200558,256
1680200559,255
1680200560,256
1680200561,231
1680200562,159
1680200563,172
1680200564,172
1680200565,166
1680200566,173
1680200567,175
1680200568,174
1680200569,172
1680200570,178
1680200571,181
1680200572,186
1680200573,188
1680200574,190
1680200575,194
1680200576,196
1680200577,196
1680200578,198
1680200579,198
1680200580,199
1680200581,201
1680200582,201
1680200583,202
1680200584,202
1680200585,202
1680200586,211
1680200587,255
1680200588,256
1680200589,255
1680200590,255
1680200591,256
1680200592,253
1680200593,136
1680200594,163
1680200595,167
1680200596,167
1680200597,163
1680200598,161
1680200599,159
1680200600,154
1680200601,153
1680200602,150
1680200603,153
1680200604,157
1680200605,157
1680200606,158
1680200607,159
1680200608,158
1680200609,159
1680200610,158
1680200611,159
1680200612,158
1680200613,161
1680200614,162
1680200615,165
1680200616,164
1680200617,163
1680200618,235
1680200619,247
1680200620,256
1680200621,255
1680200622,254
1680200623,256
1680200624,255
1680200625,181
1680200626,201
1680200627,202
1680200628,201
1680200629,201
1680200630,204
1680200631,202
1680200632,202
1680200633,203
1680200634,204
1680200635,205
1680200636,202
1680200637,205
1680200638,202
1680200639,204
1680200640,208
1680200641,211
1680200642,214
1680200643,209
1680200644,194
1680200645,187
1680200646,188
1680200647,183
1680200648,181
1680200649,183
1680200650,181
1680200651,177
1680200652,184
1680200653,182
1680200654,182
1680200655,181
1680200656,180
1680200657,185
1680200658,184
1680200659,188
1680200660,186
1680200661,196
1680200662,197
1680200663,196
1680200664,194
1680200665,196
1680200666,202
1680200667,204
1680200668,196
1680200669,208
1680200670,205
1680200671,201
1680200672,199
1680200673,194
1680200674,186
1680200675,190
1680200676,191
1680200677,193
1680200678,188
1680200679,190
1680200680,186
1680200681,194
1680200682,196
1680200683,191
1680200684,195
1680200685,194
1680200686,195
1680200687,192
1680200688,184
1680200689,188
1680200690,189
1680200691,189
1680200692,195
1680200693,194
1680200694,194
1680200695,186
1680200696,203
1680200697,197
1680200698,198
1680200699,198
1680200700,198
1680200701,198
1680200702,198
1680200703,198
1680200704,204
1680200705,199
1680200706,203
1680200707,196
1680200708,194
1680200709,187
1680200710,180
1680200711,185
1680200712,186
1680200713,187
1680200714,188
1680200715,190
1680200716,187
1680200717,179
1680200718,182
1680200719,182
1680200720,185
1680200721,187
1680200722,200
1680200723,193
1680200724,201
1680200725,205
1680200726,203
1680200727,201
1680200728,194
1680200729,185
1680200730,182
1680200731,179
1680200732,181
1680200733,184
1680200734,178
1680200735,172
1680200736,178
1680200737,177
1680200738,172
1680200739,176
1680200740,174
1680200741,176
1680200742,180
1680200743,182
1680200744,177
1680200745,178
1680200746,174
1680200747,174
1680200748,172
1680200749,175
1680200750,170
1680200751,172
1680200752,169
1680200753,174
1680200754,176
1680200755,184
1680200756,185
1680200757,183
1680200758,172
1680200759,175
1680200760,180
1680200761,175
1680200762,181
1680200763,182
1680200764,3
