time,FPS
1675202573,9
1675202574,55
1675202575,47
1675202576,34
1675202577,38
1675202578,53
1675202579,54
1675202580,53
1675202581,53
1675202582,49
1675202583,56
1675202584,54
1675202585,53
1675202586,51
1675202587,52
1675202588,46
1675202589,44
1675202590,40
1675202591,41
1675202592,48
1675202593,43
1675202594,42
1675202595,41
1675202596,48
1675202597,54
1675202598,51
1675202599,51
1675202600,53
1675202601,49
1675202602,56
1675202603,51
1675202604,50
1675202605,51
1675202606,53
1675202607,54
1675202608,52
1675202609,51
1675202610,50
1675202611,52
1675202612,58
1675202613,56
1675202614,53
1675202615,56
1675202616,55
1675202617,55
1675202618,55
1675202619,54
1675202620,50
1675202621,48
1675202622,44
1675202623,42
1675202624,50
1675202625,46
1675202626,41
1675202627,42
1675202628,43
1675202629,47
1675202630,44
1675202631,48
1675202632,46
1675202633,50
1675202634,48
1675202635,52
1675202636,54
1675202637,57
1675202638,56
1675202639,58
1675202640,59
1675202641,59
1675202642,59
1675202643,58
1675202644,55
1675202645,59
1675202646,59
1675202647,56
1675202648,57
1675202649,55
1675202650,58
1675202651,53
1675202652,55
1675202653,55
1675202654,57
1675202655,55
1675202656,53
1675202657,55
1675202658,53
1675202659,56
1675202660,55
1675202661,53
1675202662,56
1675202663,56
1675202664,55
1675202665,53
1675202666,54
1675202667,58
1675202668,108
1675202669,250
1675202670,255
1675202671,245
1675202672,254
1675202673,137
1675202674,126
1675202675,124
1675202676,126
1675202677,122
1675202678,126
1675202679,125
1675202680,129
1675202681,130
1675202682,123
1675202683,126
1675202684,124
1675202685,123
1675202686,121
1675202687,121
1675202688,123
1675202689,125
1675202690,128
1675202691,122
1675202692,125
1675202693,129
1675202694,127
1675202695,127
1675202696,127
1675202697,127
1675202698,217
1675202699,255
1675202700,255
1675202701,255
1675202702,180
1675202703,143
1675202704,151
1675202705,154
1675202706,153
1675202707,150
1675202708,150
1675202709,149
1675202710,152
1675202711,152
1675202712,151
1675202713,149
1675202714,149
1675202715,149
1675202716,147
1675202717,149
1675202718,144
1675202719,147
1675202720,148
1675202721,149
1675202722,152
1675202723,151
1675202724,151
1675202725,149
1675202726,152
1675202727,201
1675202728,255
1675202729,255
1675202730,255
1675202731,216
1675202732,126
1675202733,122
1675202734,120
1675202735,122
1675202736,119
1675202737,120
1675202738,122
1675202739,123
1675202740,127
1675202741,135
1675202742,139
1675202743,143
1675202744,149
1675202745,151
1675202746,151
1675202747,153
1675202748,154
1675202749,155
1675202750,156
1675202751,156
1675202752,158
1675202753,158
1675202754,157
1675202755,157
1675202756,173
1675202757,255
1675202758,254
1675202759,254
1675202760,254
1675202761,253
1675202762,256
1675202763,255
1675202764,240
1675202765,72
1675202766,114
1675202767,113
1675202768,113
1675202769,112
1675202770,111
1675202771,109
1675202772,108
1675202773,106
1675202774,107
1675202775,107
1675202776,109
1675202777,109
1675202778,112
1675202779,110
1675202780,112
1675202781,110
1675202782,111
1675202783,108
1675202784,109
1675202785,111
1675202786,114
1675202787,115
1675202788,116
1675202789,124
1675202790,255
1675202791,255
1675202792,249
1675202793,254
1675202794,255
1675202795,255
1675202796,254
1675202797,255
1675202798,255
1675202799,157
1675202800,159
1675202801,157
1675202802,160
1675202803,158
1675202804,160
1675202805,160
1675202806,162
1675202807,162
1675202808,163
1675202809,161
1675202810,160
1675202811,162
1675202812,159
1675202813,162
1675202814,166
1675202815,166
1675202816,166
1675202817,162
1675202818,152
1675202819,136
1675202820,134
1675202821,138
1675202822,138
1675202823,132
1675202824,133
1675202825,135
1675202826,140
1675202827,142
1675202828,138
1675202829,140
1675202830,144
1675202831,141
1675202832,142
1675202833,141
1675202834,146
1675202835,146
1675202836,151
1675202837,155
1675202838,153
1675202839,151
1675202840,154
1675202841,163
1675202842,162
1675202843,162
1675202844,163
1675202845,161
1675202846,157
1675202847,154
1675202848,146
1675202849,147
1675202850,153
1675202851,148
1675202852,149
1675202853,146
1675202854,150
1675202855,151
1675202856,149
1675202857,150
1675202858,150
1675202859,149
1675202860,156
1675202861,157
1675202862,148
1675202863,150
1675202864,148
1675202865,149
1675202866,150
1675202867,152
1675202868,154
1675202869,152
1675202870,155
1675202871,160
1675202872,158
1675202873,158
1675202874,153
1675202875,158
1675202876,155
1675202877,154
1675202878,159
1675202879,161
1675202880,163
1675202881,162
1675202882,156
1675202883,157
1675202884,154
1675202885,150
1675202886,145
1675202887,147
1675202888,148
1675202889,150
1675202890,149
1675202891,142
1675202892,142
1675202893,144
1675202894,145
1675202895,147
1675202896,145
1675202897,158
1675202898,160
1675202899,154
1675202900,161
1675202901,158
1675202902,156
1675202903,145
1675202904,142
1675202905,140
1675202906,146
1675202907,148
1675202908,147
1675202909,143
1675202910,142
1675202911,143
1675202912,141
1675202913,140
1675202914,140
1675202915,142
1675202916,142
1675202917,146
1675202918,138
1675202919,142
1675202920,137
1675202921,134
1675202922,134
1675202923,132
1675202924,129
1675202925,129
1675202926,125
1675202927,132
1675202928,133
1675202929,137
1675202930,138
1675202931,139
1675202932,123
