time,FPS
1675815620,12
1675815621,43
1675815622,45
1675815623,22
1675815624,54
1675815625,51
1675815626,49
1675815627,52
1675815628,51
1675815629,53
1675815630,53
1675815631,49
1675815632,50
1675815633,50
1675815634,45
1675815635,42
1675815636,49
1675815637,45
1675815638,44
1675815639,41
1675815640,44
1675815641,44
1675815642,42
1675815643,53
1675815644,55
1675815645,53
1675815646,53
1675815647,53
1675815648,54
1675815649,56
1675815650,52
1675815651,51
1675815652,52
1675815653,52
1675815654,51
1675815655,54
1675815656,52
1675815657,55
1675815658,52
1675815659,53
1675815660,53
1675815661,51
1675815662,56
1675815663,57
1675815664,53
1675815665,55
1675815666,55
1675815667,55
1675815668,53
1675815669,53
1675815670,54
1675815671,42
1675815672,41
1675815673,44
1675815674,43
1675815675,43
1675815676,44
1675815677,48
1675815678,43
1675815679,46
1675815680,42
1675815681,49
1675815682,45
1675815683,50
1675815684,49
1675815685,53
1675815686,50
1675815687,48
1675815688,47
1675815689,48
1675815690,46
1675815691,49
1675815692,48
1675815693,48
1675815694,50
1675815695,52
1675815696,51
1675815697,49
1675815698,49
1675815699,51
1675815700,50
1675815701,50
1675815702,52
1675815703,50
1675815704,49
1675815705,49
1675815706,53
1675815707,51
1675815708,52
1675815709,52
1675815710,48
1675815711,50
1675815712,49
1675815713,51
1675815714,54
1675815715,50
1675815716,53
1675815717,43
1675815718,50
1675815719,198
1675815720,255
1675815721,253
1675815722,252
1675815723,224
1675815724,60
1675815725,65
1675815726,63
1675815727,63
1675815728,66
1675815729,66
1675815730,67
1675815731,67
1675815732,67
1675815733,67
1675815734,68
1675815735,68
1675815736,68
1675815737,69
1675815738,69
1675815739,69
1675815740,70
1675815741,68
1675815742,68
1675815743,67
1675815744,66
1675815745,67
1675815746,67
1675815747,67
1675815748,89
1675815749,255
1675815750,255
1675815751,253
1675815752,256
1675815753,67
1675815754,76
1675815755,76
1675815756,77
1675815757,76
1675815758,76
1675815759,77
1675815760,77
1675815761,76
1675815762,77
1675815763,77
1675815764,72
1675815765,74
1675815766,74
1675815767,71
1675815768,70
1675815769,71
1675815770,72
1675815771,72
1675815772,73
1675815773,74
1675815774,74
1675815775,73
1675815776,75
1675815777,75
1675815778,241
1675815779,256
1675815780,250
1675815781,255
1675815782,118
1675815783,75
1675815784,76
1675815785,76
1675815786,76
1675815787,76
1675815788,76
1675815789,76
1675815790,77
1675815791,78
1675815792,79
1675815793,80
1675815794,80
1675815795,81
1675815796,82
1675815797,82
1675815798,82
1675815799,82
1675815800,82
1675815801,83
1675815802,83
1675815803,83
1675815804,84
1675815805,84
1675815806,84
1675815807,207
1675815808,254
1675815809,255
1675815810,256
1675815811,254
1675815812,255
1675815813,255
1675815814,162
1675815815,79
1675815816,76
1675815817,82
1675815818,82
1675815819,81
1675815820,82
1675815821,79
1675815822,79
1675815823,78
1675815824,78
1675815825,78
1675815826,76
1675815827,78
1675815828,81
1675815829,79
1675815830,80
1675815831,80
1675815832,81
1675815833,81
1675815834,80
1675815835,82
1675815836,82
1675815837,83
1675815838,82
1675815839,137
1675815840,255
1675815841,251
1675815842,255
1675815843,255
1675815844,255
1675815845,163
1675815846,71
1675815847,73
1675815848,72
1675815849,72
1675815850,73
1675815851,73
1675815852,74
1675815853,73
1675815854,74
1675815855,73
1675815856,74
1675815857,74
1675815858,72
1675815859,73
1675815860,67
1675815861,76
1675815862,79
1675815863,82
1675815864,79
1675815865,70
1675815866,71
1675815867,74
1675815868,70
1675815869,68
1675815870,66
1675815871,68
1675815872,69
1675815873,71
1675815874,68
1675815875,68
1675815876,68
1675815877,69
1675815878,68
1675815879,69
1675815880,70
1675815881,69
1675815882,72
1675815883,73
1675815884,70
1675815885,70
1675815886,71
1675815887,73
1675815888,74
1675815889,75
1675815890,76
1675815891,75
1675815892,74
1675815893,74
1675815894,69
1675815895,69
1675815896,70
1675815897,68
1675815898,69
1675815899,65
1675815900,68
1675815901,68
1675815902,67
1675815903,67
1675815904,68
1675815905,71
1675815906,72
1675815907,72
1675815908,69
1675815909,68
1675815910,69
1675815911,69
1675815912,70
1675815913,71
1675815914,71
1675815915,71
1675815916,69
1675815917,70
1675815918,71
1675815919,71
1675815920,70
1675815921,68
1675815922,70
1675815923,69
1675815924,69
1675815925,67
1675815926,67
1675815927,68
1675815928,70
1675815929,67
1675815930,66
1675815931,64
1675815932,65
1675815933,64
1675815934,64
1675815935,65
1675815936,67
1675815937,69
1675815938,70
1675815939,70
1675815940,64
1675815941,65
1675815942,67
1675815943,67
1675815944,68
1675815945,72
1675815946,70
1675815947,70
1675815948,70
1675815949,68
1675815950,67
1675815951,67
1675815952,64
1675815953,63
1675815954,63
1675815955,63
1675815956,63
1675815957,63
1675815958,62
1675815959,62
1675815960,63
1675815961,62
1675815962,62
1675815963,62
1675815964,62
1675815965,64
1675815966,65
1675815967,65
1675815968,64
1675815969,64
1675815970,63
1675815971,63
1675815972,64
1675815973,63
1675815974,64
1675815975,64
1675815976,68
1675815977,72
1675815978,75
1675815979,75
1675815980,75
1675815981,67
1675815982,67
1675815983,67
