time,FPS
1676314665,37
1676314666,45
1676314667,25
1676314668,50
1676314669,45
1676314670,43
1676314671,48
1676314672,46
1676314673,43
1676314674,49
1676314675,46
1676314676,47
1676314677,43
1676314678,50
1676314679,37
1676314680,45
1676314681,44
1676314682,45
1676314683,47
1676314684,45
1676314685,46
1676314686,43
1676314687,46
1676314688,45
1676314689,49
1676314690,44
1676314691,50
1676314692,49
1676314693,48
1676314694,48
1676314695,48
1676314696,47
1676314697,50
1676314698,47
1676314699,47
1676314700,51
1676314701,49
1676314702,48
1676314703,43
1676314704,48
1676314705,47
1676314706,49
1676314707,49
1676314708,48
1676314709,46
1676314710,55
1676314711,56
1676314712,54
1676314713,52
1676314714,54
1676314715,54
1676314716,52
1676314717,52
1676314718,54
1676314719,43
1676314720,41
1676314721,43
1676314722,41
1676314723,47
1676314724,47
1676314725,44
1676314726,44
1676314727,44
1676314728,48
1676314729,45
1676314730,45
1676314731,46
1676314732,47
1676314733,51
1676314734,46
1676314735,51
1676314736,48
1676314737,47
1676314738,51
1676314739,50
1676314740,51
1676314741,48
1676314742,47
1676314743,53
1676314744,47
1676314745,49
1676314746,47
1676314747,44
1676314748,51
1676314749,47
1676314750,46
1676314751,48
1676314752,51
1676314753,51
1676314754,48
1676314755,46
1676314756,47
1676314757,46
1676314758,51
1676314759,45
1676314760,48
1676314761,44
1676314762,45
1676314763,47
1676314764,50
1676314765,49
1676314766,49
1676314767,164
1676314768,253
1676314769,250
1676314770,254
1676314771,168
1676314772,125
1676314773,125
1676314774,126
1676314775,130
1676314776,131
1676314777,130
1676314778,123
1676314779,129
1676314780,128
1676314781,129
1676314782,128
1676314783,128
1676314784,129
1676314785,127
1676314786,126
1676314787,129
1676314788,125
1676314789,128
1676314790,128
1676314791,129
1676314792,131
1676314793,130
1676314794,130
1676314795,131
1676314796,185
1676314797,255
1676314798,256
1676314799,254
1676314800,129
1676314801,154
1676314802,154
1676314803,156
1676314804,155
1676314805,155
1676314806,156
1676314807,156
1676314808,155
1676314809,155
1676314810,156
1676314811,152
1676314812,156
1676314813,157
1676314814,154
1676314815,153
1676314816,151
1676314817,151
1676314818,157
1676314819,158
1676314820,158
1676314821,159
1676314822,159
1676314823,161
1676314824,161
1676314825,239
1676314826,255
1676314827,256
1676314828,185
1676314829,144
1676314830,137
1676314831,137
1676314832,135
1676314833,135
1676314834,134
1676314835,134
1676314836,133
1676314837,136
1676314838,137
1676314839,139
1676314840,143
1676314841,147
1676314842,149
1676314843,150
1676314844,151
1676314845,151
1676314846,153
1676314847,153
1676314848,154
1676314849,155
1676314850,155
1676314851,155
1676314852,156
1676314853,196
1676314854,256
1676314855,255
1676314856,256
1676314857,251
1676314858,255
1676314859,140
1676314860,121
1676314861,131
1676314862,131
1676314863,129
1676314864,128
1676314865,125
1676314866,123
1676314867,122
1676314868,123
1676314869,123
1676314870,122
1676314871,125
1676314872,127
1676314873,127
1676314874,126
1676314875,125
1676314876,127
1676314877,127
1676314878,128
1676314879,128
1676314880,129
1676314881,127
1676314882,129
1676314883,128
1676314884,209
1676314885,256
1676314886,255
1676314887,254
1676314888,256
1676314889,255
1676314890,255
1676314891,213
1676314892,142
1676314893,160
1676314894,160
1676314895,159
1676314896,159
1676314897,158
1676314898,164
1676314899,163
1676314900,162
1676314901,163
1676314902,162
1676314903,159
1676314904,160
1676314905,160
1676314906,164
1676314907,169
1676314908,170
1676314909,173
1676314910,168
1676314911,153
1676314912,154
1676314913,158
1676314914,149
1676314915,144
1676314916,150
1676314917,154
1676314918,155
1676314919,150
1676314920,146
1676314921,146
1676314922,146
1676314923,148
1676314924,147
1676314925,151
1676314926,148
1676314927,156
1676314928,160
1676314929,155
1676314930,151
1676314931,153
1676314932,158
1676314933,160
1676314934,161
1676314935,158
1676314936,164
1676314937,158
1676314938,154
1676314939,151
1676314940,146
1676314941,150
1676314942,150
1676314943,153
1676314944,151
1676314945,156
1676314946,156
1676314947,152
1676314948,156
1676314949,154
1676314950,158
1676314951,161
1676314952,160
1676314953,158
1676314954,149
1676314955,151
1676314956,149
1676314957,150
1676314958,155
1676314959,153
1676314960,154
1676314961,152
1676314962,159
1676314963,158
1676314964,157
1676314965,159
1676314966,159
1676314967,160
1676314968,161
1676314969,159
1676314970,155
1676314971,158
1676314972,158
1676314973,165
1676314974,159
1676314975,153
1676314976,149
1676314977,144
1676314978,143
1676314979,144
1676314980,144
1676314981,146
1676314982,149
1676314983,150
1676314984,149
1676314985,143
1676314986,146
1676314987,147
1676314988,148
1676314989,150
1676314990,167
1676314991,165
1676314992,162
1676314993,159
1676314994,162
1676314995,159
1676314996,158
1676314997,158
1676314998,143
1676314999,142
1676315000,142
1676315001,146
1676315002,146
1676315003,145
1676315004,142
1676315005,143
1676315006,141
1676315007,141
1676315008,139
1676315009,139
1676315010,143
1676315011,145
1676315012,141
1676315013,142
1676315014,140
1676315015,135
1676315016,133
1676315017,136
1676315018,134
1676315019,134
1676315020,136
1676315021,137
1676315022,139
1676315023,142
1676315024,146
1676315025,147
1676315026,145
1676315027,143
1676315028,145
1676315029,145
1676315030,145
1676315031,116
