time,FPS
1675733892,21
1675733893,44
1675733894,26
1675733895,52
1675733896,49
1675733897,47
1675733898,47
1675733899,49
1675733900,53
1675733901,51
1675733902,50
1675733903,49
1675733904,48
1675733905,49
1675733906,48
1675733907,44
1675733908,47
1675733909,45
1675733910,46
1675733911,42
1675733912,43
1675733913,45
1675733914,45
1675733915,56
1675733916,54
1675733917,52
1675733918,53
1675733919,55
1675733920,53
1675733921,54
1675733922,56
1675733923,57
1675733924,49
1675733925,52
1675733926,54
1675733927,53
1675733928,54
1675733929,56
1675733930,54
1675733931,51
1675733932,53
1675733933,53
1675733934,54
1675733935,53
1675733936,59
1675733937,59
1675733938,55
1675733939,57
1675733940,58
1675733941,56
1675733942,57
1675733943,56
1675733944,50
1675733945,45
1675733946,41
1675733947,41
1675733948,46
1675733949,45
1675733950,43
1675733951,45
1675733952,45
1675733953,45
1675733954,47
1675733955,47
1675733956,48
1675733957,47
1675733958,49
1675733959,48
1675733960,47
1675733961,50
1675733962,48
1675733963,49
1675733964,48
1675733965,50
1675733966,50
1675733967,46
1675733968,48
1675733969,48
1675733970,49
1675733971,44
1675733972,47
1675733973,49
1675733974,45
1675733975,47
1675733976,47
1675733977,47
1675733978,48
1675733979,50
1675733980,48
1675733981,48
1675733982,48
1675733983,47
1675733984,45
1675733985,50
1675733986,46
1675733987,51
1675733988,43
1675733989,46
1675733990,49
1675733991,48
1675733992,47
1675733993,222
1675733994,255
1675733995,250
1675733996,255
1675733997,135
1675733998,111
1675733999,115
1675734000,117
1675734001,118
1675734002,117
1675734003,114
1675734004,116
1675734005,118
1675734006,116
1675734007,116
1675734008,114
1675734009,116
1675734010,114
1675734011,116
1675734012,117
1675734013,119
1675734014,117
1675734015,118
1675734016,121
1675734017,121
1675734018,121
1675734019,122
1675734020,122
1675734021,123
1675734022,214
1675734023,256
1675734024,255
1675734025,255
1675734026,121
1675734027,152
1675734028,154
1675734029,150
1675734030,156
1675734031,155
1675734032,155
1675734033,156
1675734034,154
1675734035,155
1675734036,155
1675734037,149
1675734038,151
1675734039,153
1675734040,151
1675734041,151
1675734042,151
1675734043,152
1675734044,153
1675734045,154
1675734046,154
1675734047,155
1675734048,154
1675734049,156
1675734050,153
1675734051,242
1675734052,256
1675734053,254
1675734054,196
1675734055,143
1675734056,136
1675734057,135
1675734058,136
1675734059,134
1675734060,135
1675734061,135
1675734062,135
1675734063,137
1675734064,140
1675734065,142
1675734066,145
1675734067,151
1675734068,153
1675734069,154
1675734070,155
1675734071,155
1675734072,156
1675734073,156
1675734074,157
1675734075,159
1675734076,158
1675734077,159
1675734078,159
1675734079,192
1675734080,255
1675734081,255
1675734082,255
1675734083,255
1675734084,255
1675734085,253
1675734086,255
1675734087,121
1675734088,127
1675734089,131
1675734090,130
1675734091,128
1675734092,127
1675734093,125
1675734094,123
1675734095,122
1675734096,121
1675734097,122
1675734098,124
1675734099,124
1675734100,126
1675734101,126
1675734102,124
1675734103,127
1675734104,125
1675734105,125
1675734106,124
1675734107,126
1675734108,126
1675734109,128
1675734110,128
1675734111,128
1675734112,214
1675734113,255
1675734114,253
1675734115,255
1675734116,254
1675734117,256
1675734118,255
1675734119,255
1675734120,205
1675734121,154
1675734122,160
1675734123,160
1675734124,160
1675734125,160
1675734126,163
1675734127,163
1675734128,160
1675734129,162
1675734130,163
1675734131,161
1675734132,166
1675734133,162
1675734134,164
1675734135,161
1675734136,165
1675734137,168
1675734138,173
1675734139,171
1675734140,157
1675734141,155
1675734142,161
1675734143,150
1675734144,147
1675734145,148
1675734146,155
1675734147,157
1675734148,153
1675734149,147
1675734150,147
1675734151,148
1675734152,146
1675734153,147
1675734154,150
1675734155,151
1675734156,153
1675734157,159
1675734158,158
1675734159,154
1675734160,149
1675734161,156
1675734162,164
1675734163,166
1675734164,163
1675734165,164
1675734166,163
1675734167,152
1675734168,152
1675734169,149
1675734170,149
1675734171,154
1675734172,151
1675734173,153
1675734174,153
1675734175,158
1675734176,156
1675734177,154
1675734178,156
1675734179,157
1675734180,162
1675734181,158
1675734182,160
1675734183,151
1675734184,148
1675734185,149
1675734186,147
1675734187,153
1675734188,155
1675734189,154
1675734190,152
1675734191,156
1675734192,161
1675734193,156
1675734194,158
1675734195,158
1675734196,158
1675734197,157
1675734198,157
1675734199,159
1675734200,158
1675734201,160
1675734202,155
1675734203,154
1675734204,149
1675734205,145
1675734206,146
1675734207,147
1675734208,148
1675734209,149
1675734210,150
1675734211,150
1675734212,144
1675734213,144
1675734214,145
1675734215,147
1675734216,149
1675734217,160
1675734218,163
1675734219,161
1675734220,154
1675734221,159
1675734222,156
1675734223,158
1675734224,146
1675734225,142
1675734226,143
1675734227,146
1675734228,147
1675734229,147
1675734230,144
1675734231,144
1675734232,143
1675734233,141
1675734234,142
1675734235,142
1675734236,143
1675734237,147
1675734238,147
1675734239,143
1675734240,144
1675734241,138
1675734242,135
1675734243,134
1675734244,132
1675734245,125
1675734246,127
1675734247,127
1675734248,134
1675734249,134
1675734250,142
1675734251,142
1675734252,141
1675734253,135
1675734254,142
1675734255,135
1675734256,138
1675734257,34
