time,FPS
1680743415,22
1680743416,41
1680743417,21
1680743418,48
1680743419,51
1680743420,50
1680743421,50
1680743422,52
1680743423,51
1680743424,51
1680743425,52
1680743426,53
1680743427,52
1680743428,39
1680743429,42
1680743430,41
1680743431,44
1680743432,43
1680743433,43
1680743434,40
1680743435,46
1680743436,42
1680743437,51
1680743438,53
1680743439,52
1680743440,52
1680743441,50
1680743442,53
1680743443,57
1680743444,55
1680743445,53
1680743446,49
1680743447,55
1680743448,52
1680743449,54
1680743450,52
1680743451,51
1680743452,53
1680743453,53
1680743454,50
1680743455,51
1680743456,55
1680743457,52
1680743458,51
1680743459,53
1680743460,54
1680743461,59
1680743462,58
1680743463,56
1680743464,57
1680743465,58
1680743466,57
1680743467,57
1680743468,56
1680743469,44
1680743470,42
1680743471,40
1680743472,45
1680743473,40
1680743474,45
1680743475,43
1680743476,41
1680743477,46
1680743478,40
1680743479,45
1680743480,47
1680743481,42
1680743482,47
1680743483,43
1680743484,46
1680743485,46
1680743486,43
1680743487,47
1680743488,47
1680743489,46
1680743490,47
1680743491,46
1680743492,43
1680743493,43
1680743494,45
1680743495,45
1680743496,48
1680743497,47
1680743498,46
1680743499,48
1680743500,47
1680743501,43
1680743502,44
1680743503,45
1680743504,52
1680743505,48
1680743506,47
1680743507,48
1680743508,49
1680743509,43
1680743510,48
1680743511,49
1680743512,43
1680743513,47
1680743514,45
1680743515,51
1680743516,51
1680743517,106
1680743518,254
1680743519,251
1680743520,254
1680743521,196
1680743522,57
1680743523,57
1680743524,56
1680743525,59
1680743526,58
1680743527,59
1680743528,59
1680743529,61
1680743530,60
1680743531,60
1680743532,61
1680743533,61
1680743534,59
1680743535,60
1680743536,61
1680743537,61
1680743538,63
1680743539,62
1680743540,62
1680743541,62
1680743542,62
1680743543,63
1680743544,63
1680743545,63
1680743546,104
1680743547,255
1680743548,255
1680743549,254
1680743550,169
1680743551,74
1680743552,79
1680743553,79
1680743554,77
1680743555,77
1680743556,78
1680743557,77
1680743558,78
1680743559,77
1680743560,77
1680743561,75
1680743562,74
1680743563,76
1680743564,74
1680743565,72
1680743566,73
1680743567,73
1680743568,75
1680743569,75
1680743570,75
1680743571,75
1680743572,74
1680743573,75
1680743574,77
1680743575,148
1680743576,255
1680743577,255
1680743578,255
1680743579,121
1680743580,76
1680743581,74
1680743582,76
1680743583,75
1680743584,74
1680743585,75
1680743586,73
1680743587,74
1680743588,75
1680743589,75
1680743590,77
1680743591,77
1680743592,79
1680743593,81
1680743594,80
1680743595,81
1680743596,81
1680743597,81
1680743598,81
1680743599,82
1680743600,82
1680743601,82
1680743602,83
1680743603,82
1680743604,200
1680743605,255
1680743606,254
1680743607,255
1680743608,255
1680743609,255
1680743610,158
1680743611,66
1680743612,69
1680743613,70
1680743614,69
1680743615,70
1680743616,69
1680743617,67
1680743618,67
1680743619,67
1680743620,68
1680743621,66
1680743622,68
1680743623,69
1680743624,69
1680743625,70
1680743626,69
1680743627,70
1680743628,71
1680743629,70
1680743630,69
1680743631,70
1680743632,71
1680743633,70
1680743634,70
1680743635,155
1680743636,255
1680743637,255
1680743638,254
1680743639,254
1680743640,255
1680743641,255
1680743642,255
1680743643,245
1680743644,57
1680743645,77
1680743646,78
1680743647,78
1680743648,78
1680743649,76
1680743650,79
1680743651,79
1680743652,79
1680743653,79
1680743654,79
1680743655,79
1680743656,80
1680743657,78
1680743658,78
1680743659,77
1680743660,82
1680743661,85
1680743662,85
1680743663,83
1680743664,72
1680743665,77
1680743666,77
1680743667,72
1680743668,71
1680743669,72
1680743670,75
1680743671,73
1680743672,71
1680743673,67
1680743674,68
1680743675,69
1680743676,69
1680743677,71
1680743678,71
1680743679,69
1680743680,72
1680743681,73
1680743682,70
1680743683,71
1680743684,71
1680743685,73
1680743686,74
1680743687,75
1680743688,77
1680743689,77
1680743690,78
1680743691,73
1680743692,72
1680743693,68
1680743694,68
1680743695,69
1680743696,69
1680743697,70
1680743698,68
1680743699,69
1680743700,68
1680743701,70
1680743702,68
1680743703,70
1680743704,73
1680743705,72
1680743706,69
1680743707,66
1680743708,67
1680743709,66
1680743710,68
1680743711,71
1680743712,70
1680743713,71
1680743714,67
1680743715,70
1680743716,70
1680743717,70
1680743718,68
1680743719,70
1680743720,70
1680743721,70
1680743722,67
1680743723,69
1680743724,72
1680743725,71
1680743726,68
1680743727,67
1680743728,66
1680743729,65
1680743730,64
1680743731,64
1680743732,64
1680743733,65
1680743734,66
1680743735,67
1680743736,67
1680743737,66
1680743738,64
1680743739,64
1680743740,65
1680743741,64
1680743742,68
1680743743,74
1680743744,72
1680743745,73
1680743746,72
1680743747,69
1680743748,68
1680743749,68
1680743750,66
1680743751,64
1680743752,64
1680743753,65
1680743754,65
1680743755,64
1680743756,63
1680743757,63
1680743758,63
1680743759,63
1680743760,63
1680743761,63
1680743762,65
1680743763,66
1680743764,70
1680743765,68
1680743766,67
1680743767,66
1680743768,65
1680743769,64
1680743770,65
1680743771,64
1680743772,66
1680743773,66
1680743774,70
1680743775,72
1680743776,73
1680743777,74
1680743778,76
1680743779,67
1680743780,67
1680743781,35
