time,FPS
1680576077,41
1680576078,43
1680576079,27
1680576080,51
1680576081,50
1680576082,51
1680576083,55
1680576084,52
1680576085,53
1680576086,50
1680576087,52
1680576088,49
1680576089,48
1680576090,44
1680576091,37
1680576092,42
1680576093,41
1680576094,43
1680576095,46
1680576096,43
1680576097,43
1680576098,42
1680576099,51
1680576100,52
1680576101,52
1680576102,52
1680576103,52
1680576104,52
1680576105,51
1680576106,53
1680576107,56
1680576108,52
1680576109,50
1680576110,55
1680576111,51
1680576112,51
1680576113,51
1680576114,52
1680576115,51
1680576116,50
1680576117,52
1680576118,51
1680576119,47
1680576120,50
1680576121,48
1680576122,58
1680576123,59
1680576124,58
1680576125,56
1680576126,58
1680576127,58
1680576128,57
1680576129,57
1680576130,54
1680576131,42
1680576132,42
1680576133,39
1680576134,41
1680576135,40
1680576136,42
1680576137,44
1680576138,40
1680576139,43
1680576140,42
1680576141,43
1680576142,40
1680576143,42
1680576144,45
1680576145,47
1680576146,43
1680576147,41
1680576148,48
1680576149,46
1680576150,43
1680576151,49
1680576152,45
1680576153,46
1680576154,50
1680576155,39
1680576156,45
1680576157,48
1680576158,45
1680576159,47
1680576160,43
1680576161,51
1680576162,46
1680576163,48
1680576164,49
1680576165,51
1680576166,47
1680576167,47
1680576168,51
1680576169,50
1680576170,49
1680576171,49
1680576172,45
1680576173,45
1680576174,47
1680576175,48
1680576176,48
1680576177,47
1680576178,44
1680576179,190
1680576180,250
1680576181,255
1680576182,256
1680576183,177
1680576184,62
1680576185,62
1680576186,62
1680576187,61
1680576188,61
1680576189,62
1680576190,62
1680576191,63
1680576192,62
1680576193,62
1680576194,63
1680576195,63
1680576196,63
1680576197,63
1680576198,64
1680576199,63
1680576200,65
1680576201,66
1680576202,65
1680576203,65
1680576204,66
1680576205,64
1680576206,65
1680576207,65
1680576208,136
1680576209,255
1680576210,255
1680576211,255
1680576212,120
1680576213,71
1680576214,73
1680576215,72
1680576216,72
1680576217,71
1680576218,71
1680576219,71
1680576220,71
1680576221,72
1680576222,70
1680576223,66
1680576224,68
1680576225,69
1680576226,66
1680576227,66
1680576228,66
1680576229,67
1680576230,67
1680576231,68
1680576232,68
1680576233,68
1680576234,68
1680576235,69
1680576236,68
1680576237,191
1680576238,255
1680576239,255
1680576240,256
1680576241,101
1680576242,73
1680576243,73
1680576244,72
1680576245,73
1680576246,73
1680576247,72
1680576248,73
1680576249,72
1680576250,73
1680576251,73
1680576252,74
1680576253,76
1680576254,77
1680576255,77
1680576256,78
1680576257,78
1680576258,78
1680576259,78
1680576260,79
1680576261,77
1680576262,79
1680576263,79
1680576264,79
1680576265,79
1680576266,217
1680576267,255
1680576268,252
1680576269,256
1680576270,255
1680576271,254
1680576272,70
1680576273,64
1680576274,65
1680576275,65
1680576276,65
1680576277,65
1680576278,64
1680576279,63
1680576280,62
1680576281,63
1680576282,62
1680576283,63
1680576284,64
1680576285,64
1680576286,64
1680576287,65
1680576288,65
1680576289,66
1680576290,66
1680576291,67
1680576292,66
1680576293,66
1680576294,67
1680576295,67
1680576296,66
1680576297,207
1680576298,255
1680576299,255
1680576300,255
1680576301,255
1680576302,256
1680576303,255
1680576304,148
1680576305,70
1680576306,70
1680576307,71
1680576308,70
1680576309,70
1680576310,71
1680576311,72
1680576312,71
1680576313,71
1680576314,71
1680576315,71
1680576316,72
1680576317,70
1680576318,71
1680576319,70
1680576320,72
1680576321,77
1680576322,77
1680576323,78
1680576324,66
1680576325,68
1680576326,73
1680576327,68
1680576328,66
1680576329,66
1680576330,67
1680576331,68
1680576332,65
1680576333,62
1680576334,62
1680576335,62
1680576336,63
1680576337,64
1680576338,64
1680576339,65
1680576340,63
1680576341,67
1680576342,67
1680576343,66
1680576344,66
1680576345,67
1680576346,69
1680576347,68
1680576348,71
1680576349,71
1680576350,72
1680576351,70
1680576352,68
1680576353,65
1680576354,62
1680576355,65
1680576356,64
1680576357,65
1680576358,62
1680576359,64
1680576360,63
1680576361,64
1680576362,64
1680576363,64
1680576364,66
1680576365,66
1680576366,66
1680576367,62
1680576368,62
1680576369,62
1680576370,63
1680576371,64
1680576372,64
1680576373,66
1680576374,64
1680576375,64
1680576376,65
1680576377,64
1680576378,64
1680576379,64
1680576380,64
1680576381,65
1680576382,63
1680576383,64
1680576384,64
1680576385,63
1680576386,63
1680576387,62
1680576388,61
1680576389,59
1680576390,59
1680576391,58
1680576392,59
1680576393,59
1680576394,61
1680576395,61
1680576396,63
1680576397,60
1680576398,58
1680576399,59
1680576400,60
1680576401,60
1680576402,63
1680576403,67
1680576404,65
1680576405,67
1680576406,66
1680576407,65
1680576408,65
1680576409,63
1680576410,62
1680576411,61
1680576412,61
1680576413,59
1680576414,60
1680576415,60
1680576416,58
1680576417,58
1680576418,57
1680576419,59
1680576420,57
1680576421,57
1680576422,58
1680576423,58
1680576424,60
1680576425,63
1680576426,61
1680576427,61
1680576428,59
1680576429,59
1680576430,58
1680576431,59
1680576432,59
1680576433,59
1680576434,61
1680576435,65
1680576436,66
1680576437,69
1680576438,70
1680576439,70
1680576440,60
1680576441,60
1680576442,61
1680576443,21
