time,FPS
1678315235,3
1678315236,45
1678315237,28
1678315238,46
1678315239,53
1678315240,52
1678315241,54
1678315242,50
1678315243,55
1678315244,52
1678315245,50
1678315246,52
1678315247,54
1678315248,46
1678315249,39
1678315250,43
1678315251,44
1678315252,41
1678315253,42
1678315254,43
1678315255,51
1678315256,44
1678315257,47
1678315258,46
1678315259,50
1678315260,49
1678315261,47
1678315262,50
1678315263,47
1678315264,45
1678315265,51
1678315266,46
1678315267,52
1678315268,48
1678315269,52
1678315270,48
1678315271,44
1678315272,44
1678315273,44
1678315274,46
1678315275,44
1678315276,47
1678315277,43
1678315278,46
1678315279,48
1678315280,47
1678315281,53
1678315282,57
1678315283,57
1678315284,55
1678315285,56
1678315286,56
1678315287,56
1678315288,55
1678315289,56
1678315290,52
1678315291,47
1678315292,50
1678315293,46
1678315294,44
1678315295,43
1678315296,43
1678315297,48
1678315298,46
1678315299,41
1678315300,45
1678315301,44
1678315302,44
1678315303,50
1678315304,43
1678315305,49
1678315306,47
1678315307,47
1678315308,43
1678315309,48
1678315310,48
1678315311,50
1678315312,46
1678315313,45
1678315314,43
1678315315,45
1678315316,41
1678315317,45
1678315318,43
1678315319,44
1678315320,44
1678315321,49
1678315322,47
1678315323,50
1678315324,49
1678315325,45
1678315326,52
1678315327,49
1678315328,42
1678315329,45
1678315330,44
1678315331,44
1678315332,43
1678315333,45
1678315334,44
1678315335,43
1678315336,49
1678315337,50
1678315338,46
1678315339,183
1678315340,254
1678315341,253
1678315342,255
1678315343,160
1678315344,154
1678315345,156
1678315346,160
1678315347,158
1678315348,153
1678315349,157
1678315350,155
1678315351,162
1678315352,164
1678315353,161
1678315354,161
1678315355,160
1678315356,155
1678315357,157
1678315358,159
1678315359,164
1678315360,167
1678315361,166
1678315362,164
1678315363,160
1678315364,162
1678315365,162
1678315366,164
1678315367,161
1678315368,216
1678315369,255
1678315370,255
1678315371,253
1678315372,215
1678315373,183
1678315374,198
1678315375,194
1678315376,197
1678315377,194
1678315378,198
1678315379,198
1678315380,198
1678315381,196
1678315382,196
1678315383,193
1678315384,184
1678315385,195
1678315386,192
1678315387,190
1678315388,189
1678315389,191
1678315390,194
1678315391,194
1678315392,196
1678315393,193
1678315394,194
1678315395,194
1678315396,196
1678315397,212
1678315398,256
1678315399,255
1678315400,256
1678315401,161
1678315402,177
1678315403,180
1678315404,179
1678315405,180
1678315406,178
1678315407,180
1678315408,179
1678315409,180
1678315410,180
1678315411,185
1678315412,188
1678315413,192
1678315414,195
1678315415,196
1678315416,198
1678315417,197
1678315418,199
1678315419,199
1678315420,199
1678315421,200
1678315422,200
1678315423,198
1678315424,200
1678315425,201
1678315426,254
1678315427,255
1678315428,253
1678315429,256
1678315430,256
1678315431,255
1678315432,147
1678315433,168
1678315434,170
1678315435,168
1678315436,167
1678315437,166
1678315438,161
1678315439,158
1678315440,157
1678315441,158
1678315442,160
1678315443,161
1678315444,162
1678315445,164
1678315446,163
1678315447,163
1678315448,164
1678315449,165
1678315450,165
1678315451,165
1678315452,166
1678315453,166
1678315454,169
1678315455,167
1678315456,168
1678315457,245
1678315458,256
1678315459,255
1678315460,255
1678315461,256
1678315462,255
1678315463,256
1678315464,187
1678315465,201
1678315466,202
1678315467,200
1678315468,202
1678315469,203
1678315470,204
1678315471,204
1678315472,204
1678315473,204
1678315474,205
1678315475,202
1678315476,203
1678315477,202
1678315478,204
1678315479,206
1678315480,207
1678315481,209
1678315482,205
1678315483,188
1678315484,185
1678315485,186
1678315486,178
1678315487,181
1678315488,181
1678315489,186
1678315490,180
1678315491,187
1678315492,182
1678315493,182
1678315494,183
1678315495,181
1678315496,182
1678315497,186
1678315498,190
1678315499,185
1678315500,196
1678315501,198
1678315502,196
1678315503,187
1678315504,194
1678315505,203
1678315506,194
1678315507,205
1678315508,205
1678315509,209
1678315510,202
1678315511,197
1678315512,189
1678315513,184
1678315514,191
1678315515,191
1678315516,192
1678315517,191
1678315518,184
1678315519,194
1678315520,193
1678315521,192
1678315522,193
1678315523,199
1678315524,190
1678315525,195
1678315526,186
1678315527,188
1678315528,183
1678315529,189
1678315530,191
1678315531,194
1678315532,197
1678315533,193
1678315534,191
1678315535,199
1678315536,196
1678315537,200
1678315538,199
1678315539,194
1678315540,199
1678315541,199
1678315542,203
1678315543,200
1678315544,205
1678315545,200
1678315546,197
1678315547,190
1678315548,183
1678315549,181
1678315550,183
1678315551,187
1678315552,187
1678315553,189
1678315554,188
1678315555,179
1678315556,182
1678315557,182
1678315558,184
1678315559,187
1678315560,191
1678315561,207
1678315562,206
1678315563,205
1678315564,198
1678315565,200
1678315566,193
1678315567,186
1678315568,182
1678315569,177
1678315570,185
1678315571,182
1678315572,182
1678315573,176
1678315574,178
1678315575,179
1678315576,177
1678315577,175
1678315578,175
1678315579,177
1678315580,182
1678315581,181
1678315582,173
1678315583,179
1678315584,174
1678315585,172
1678315586,171
1678315587,170
1678315588,168
1678315589,168
1678315590,169
1678315591,175
1678315592,181
1678315593,185
1678315594,187
1678315595,187
1678315596,171
1678315597,177
1678315598,172
1678315599,177
1678315600,174
1678315601,181
1678315602,177
1678315603,100
