time,FPS
1680038662,26
1680038663,40
1680038664,23
1680038665,50
1680038666,52
1680038667,48
1680038668,50
1680038669,51
1680038670,52
1680038671,50
1680038672,49
1680038673,50
1680038674,50
1680038675,42
1680038676,47
1680038677,43
1680038678,43
1680038679,45
1680038680,42
1680038681,42
1680038682,46
1680038683,45
1680038684,49
1680038685,46
1680038686,42
1680038687,48
1680038688,41
1680038689,46
1680038690,45
1680038691,45
1680038692,45
1680038693,43
1680038694,45
1680038695,45
1680038696,46
1680038697,40
1680038698,40
1680038699,45
1680038700,42
1680038701,47
1680038702,43
1680038703,42
1680038704,43
1680038705,43
1680038706,46
1680038707,54
1680038708,54
1680038709,53
1680038710,50
1680038711,52
1680038712,53
1680038713,54
1680038714,54
1680038715,53
1680038716,42
1680038717,41
1680038718,44
1680038719,43
1680038720,48
1680038721,46
1680038722,45
1680038723,47
1680038724,44
1680038725,46
1680038726,47
1680038727,43
1680038728,43
1680038729,48
1680038730,43
1680038731,47
1680038732,42
1680038733,46
1680038734,44
1680038735,43
1680038736,43
1680038737,46
1680038738,47
1680038739,45
1680038740,42
1680038741,46
1680038742,46
1680038743,45
1680038744,43
1680038745,41
1680038746,46
1680038747,43
1680038748,47
1680038749,45
1680038750,43
1680038751,51
1680038752,44
1680038753,44
1680038754,45
1680038755,42
1680038756,41
1680038757,45
1680038758,46
1680038759,44
1680038760,46
1680038761,46
1680038762,42
1680038763,47
1680038764,141
1680038765,254
1680038766,255
1680038767,253
1680038768,252
1680038769,132
1680038770,168
1680038771,171
1680038772,174
1680038773,174
1680038774,168
1680038775,172
1680038776,168
1680038777,168
1680038778,161
1680038779,170
1680038780,171
1680038781,163
1680038782,167
1680038783,167
1680038784,172
1680038785,169
1680038786,169
1680038787,166
1680038788,172
1680038789,170
1680038790,171
1680038791,168
1680038792,173
1680038793,175
1680038794,256
1680038795,255
1680038796,252
1680038797,254
1680038798,197
1680038799,190
1680038800,193
1680038801,198
1680038802,196
1680038803,197
1680038804,192
1680038805,199
1680038806,198
1680038807,194
1680038808,195
1680038809,190
1680038810,190
1680038811,196
1680038812,193
1680038813,190
1680038814,172
1680038815,192
1680038816,195
1680038817,195
1680038818,195
1680038819,196
1680038820,194
1680038821,201
1680038822,202
1680038823,226
1680038824,255
1680038825,253
1680038826,256
1680038827,211
1680038828,186
1680038829,177
1680038830,175
1680038831,177
1680038832,174
1680038833,175
1680038834,176
1680038835,178
1680038836,183
1680038837,185
1680038838,188
1680038839,189
1680038840,194
1680038841,199
1680038842,198
1680038843,199
1680038844,201
1680038845,190
1680038846,203
1680038847,202
1680038848,204
1680038849,205
1680038850,205
1680038851,206
1680038852,226
1680038853,255
1680038854,255
1680038855,253
1680038856,254
1680038857,255
1680038858,255
1680038859,143
1680038860,157
1680038861,166
1680038862,164
1680038863,163
1680038864,160
1680038865,159
1680038866,156
1680038867,152
1680038868,152
1680038869,155
1680038870,156
1680038871,159
1680038872,161
1680038873,160
1680038874,161
1680038875,159
1680038876,161
1680038877,160
1680038878,158
1680038879,161
1680038880,164
1680038881,167
1680038882,165
1680038883,166
1680038884,232
1680038885,255
1680038886,256
1680038887,253
1680038888,256
1680038889,255
1680038890,256
1680038891,181
1680038892,204
1680038893,201
1680038894,200
1680038895,201
1680038896,205
1680038897,206
1680038898,204
1680038899,204
1680038900,204
1680038901,203
1680038902,204
1680038903,203
1680038904,203
1680038905,204
1680038906,209
1680038907,211
1680038908,215
1680038909,213
1680038910,202
1680038911,191
1680038912,197
1680038913,190
1680038914,183
1680038915,189
1680038916,191
1680038917,196
1680038918,195
1680038919,187
1680038920,183
1680038921,183
1680038922,185
1680038923,181
1680038924,188
1680038925,192
1680038926,188
1680038927,198
1680038928,198
1680038929,198
1680038930,195
1680038931,190
1680038932,204
1680038933,204
1680038934,210
1680038935,197
1680038936,211
1680038937,206
1680038938,200
1680038939,195
1680038940,187
1680038941,191
1680038942,186
1680038943,194
1680038944,191
1680038945,189
1680038946,196
1680038947,194
1680038948,197
1680038949,191
1680038950,196
1680038951,203
1680038952,197
1680038953,195
1680038954,187
1680038955,191
1680038956,185
1680038957,191
1680038958,196
1680038959,198
1680038960,196
1680038961,190
1680038962,203
1680038963,199
1680038964,197
1680038965,198
1680038966,197
1680038967,200
1680038968,196
1680038969,198
1680038970,193
1680038971,197
1680038972,201
1680038973,199
1680038974,190
1680038975,190
1680038976,187
1680038977,184
1680038978,186
1680038979,181
1680038980,184
1680038981,189
1680038982,187
1680038983,190
1680038984,192
1680038985,187
1680038986,183
1680038987,183
1680038988,186
1680038989,186
1680038990,193
1680038991,209
1680038992,201
1680038993,203
1680038994,200
1680038995,200
1680038996,196
1680038997,189
1680038998,184
1680038999,179
1680039000,181
1680039001,184
1680039002,182
1680039003,175
1680039004,177
1680039005,178
1680039006,175
1680039007,176
1680039008,173
1680039009,176
1680039010,180
1680039011,185
1680039012,177
1680039013,179
1680039014,178
1680039015,173
1680039016,172
1680039017,174
1680039018,169
1680039019,171
1680039020,172
1680039021,176
1680039022,180
1680039023,185
1680039024,186
1680039025,186
1680039026,171
1680039027,180
1680039028,125
