time,FPS
1680121339,17
1680121340,46
1680121341,42
1680121342,29
1680121343,51
1680121344,49
1680121345,52
1680121346,51
1680121347,53
1680121348,50
1680121349,54
1680121350,54
1680121351,55
1680121352,51
1680121353,47
1680121354,47
1680121355,42
1680121356,48
1680121357,43
1680121358,43
1680121359,43
1680121360,47
1680121361,42
1680121362,54
1680121363,55
1680121364,52
1680121365,52
1680121366,50
1680121367,52
1680121368,54
1680121369,53
1680121370,52
1680121371,56
1680121372,51
1680121373,52
1680121374,53
1680121375,49
1680121376,52
1680121377,53
1680121378,54
1680121379,52
1680121380,52
1680121381,52
1680121382,58
1680121383,59
1680121384,55
1680121385,57
1680121386,58
1680121387,57
1680121388,57
1680121389,57
1680121390,45
1680121391,42
1680121392,42
1680121393,39
1680121394,42
1680121395,43
1680121396,44
1680121397,45
1680121398,43
1680121399,42
1680121400,52
1680121401,46
1680121402,45
1680121403,47
1680121404,49
1680121405,50
1680121406,48
1680121407,49
1680121408,47
1680121409,50
1680121410,51
1680121411,52
1680121412,53
1680121413,47
1680121414,49
1680121415,49
1680121416,51
1680121417,54
1680121418,50
1680121419,48
1680121420,47
1680121421,51
1680121422,49
1680121423,47
1680121424,49
1680121425,45
1680121426,49
1680121427,47
1680121428,48
1680121429,52
1680121430,51
1680121431,47
1680121432,51
1680121433,48
1680121434,46
1680121435,48
1680121436,52
1680121437,51
1680121438,99
1680121439,254
1680121440,252
1680121441,254
1680121442,239
1680121443,140
1680121444,164
1680121445,164
1680121446,164
1680121447,167
1680121448,165
1680121449,167
1680121450,164
1680121451,163
1680121452,162
1680121453,161
1680121454,161
1680121455,163
1680121456,161
1680121457,164
1680121458,163
1680121459,164
1680121460,163
1680121461,164
1680121462,159
1680121463,168
1680121464,164
1680121465,166
1680121466,167
1680121467,177
1680121468,255
1680121469,255
1680121470,255
1680121471,197
1680121472,181
1680121473,190
1680121474,193
1680121475,193
1680121476,193
1680121477,190
1680121478,191
1680121479,190
1680121480,191
1680121481,191
1680121482,188
1680121483,187
1680121484,193
1680121485,190
1680121486,186
1680121487,185
1680121488,185
1680121489,190
1680121490,191
1680121491,191
1680121492,190
1680121493,191
1680121494,190
1680121495,190
1680121496,218
1680121497,255
1680121498,254
1680121499,256
1680121500,169
1680121501,142
1680121502,137
1680121503,136
1680121504,137
1680121505,136
1680121506,136
1680121507,138
1680121508,144
1680121509,153
1680121510,163
1680121511,174
1680121512,182
1680121513,194
1680121514,198
1680121515,198
1680121516,197
1680121517,199
1680121518,198
1680121519,200
1680121520,202
1680121521,201
1680121522,203
1680121523,202
1680121524,201
1680121525,249
1680121526,256
1680121527,255
1680121528,254
1680121529,255
1680121530,254
1680121531,150
1680121532,122
1680121533,128
1680121534,127
1680121535,127
1680121536,125
1680121537,123
1680121538,122
1680121539,118
1680121540,118
1680121541,118
1680121542,120
1680121543,120
1680121544,122
1680121545,121
1680121546,122
1680121547,123
1680121548,122
1680121549,121
1680121550,120
1680121551,121
1680121552,124
1680121553,127
1680121554,128
1680121555,128
1680121556,208
1680121557,255
1680121558,255
1680121559,255
1680121560,255
1680121561,255
1680121562,254
1680121563,255
1680121564,250
1680121565,139
1680121566,189
1680121567,188
1680121568,190
1680121569,191
1680121570,191
1680121571,193
1680121572,193
1680121573,193
1680121574,193
1680121575,192
1680121576,192
1680121577,187
1680121578,198
1680121579,202
1680121580,199
1680121581,191
1680121582,185
1680121583,170
1680121584,158
1680121585,155
1680121586,160
1680121587,159
1680121588,156
1680121589,160
1680121590,156
1680121591,165
1680121592,166
1680121593,168
1680121594,171
1680121595,175
1680121596,166
1680121597,175
1680121598,180
1680121599,184
1680121600,182
1680121601,186
1680121602,189
1680121603,188
1680121604,189
1680121605,195
1680121606,197
1680121607,183
1680121608,191
1680121609,190
1680121610,190
1680121611,191
1680121612,189
1680121613,187
1680121614,185
1680121615,182
1680121616,174
1680121617,175
1680121618,164
1680121619,172
1680121620,174
1680121621,175
1680121622,171
1680121623,172
1680121624,176
1680121625,187
1680121626,186
1680121627,181
1680121628,189
1680121629,187
1680121630,189
1680121631,191
1680121632,191
1680121633,191
1680121634,182
1680121635,193
1680121636,187
1680121637,188
1680121638,190
1680121639,193
1680121640,193
1680121641,186
1680121642,190
1680121643,196
1680121644,195
1680121645,190
1680121646,196
1680121647,190
1680121648,192
1680121649,188
1680121650,186
1680121651,180
1680121652,186
1680121653,184
1680121654,187
1680121655,188
1680121656,184
1680121657,182
1680121658,184
1680121659,182
1680121660,184
1680121661,183
1680121662,191
1680121663,180
1680121664,191
1680121665,189
1680121666,192
1680121667,191
1680121668,189
1680121669,185
1680121670,177
1680121671,173
1680121672,179
1680121673,183
1680121674,176
1680121675,173
1680121676,174
1680121677,173
1680121678,172
1680121679,173
1680121680,172
1680121681,173
1680121682,176
1680121683,178
1680121684,171
1680121685,173
1680121686,172
1680121687,169
1680121688,168
1680121689,169
1680121690,161
1680121691,167
1680121692,164
1680121693,173
1680121694,175
1680121695,176
1680121696,174
1680121697,177
1680121698,163
1680121699,168
1680121700,169
1680121701,168
1680121702,173
1680121703,84
