time,FPS
1680117935,40
1680117936,45
1680117937,27
1680117938,52
1680117939,44
1680117940,47
1680117941,47
1680117942,48
1680117943,46
1680117944,49
1680117945,46
1680117946,47
1680117947,45
1680117948,42
1680117949,46
1680117950,42
1680117951,47
1680117952,45
1680117953,44
1680117954,43
1680117955,45
1680117956,44
1680117957,53
1680117958,54
1680117959,54
1680117960,52
1680117961,49
1680117962,56
1680117963,57
1680117964,51
1680117965,52
1680117966,55
1680117967,52
1680117968,56
1680117969,52
1680117970,53
1680117971,52
1680117972,55
1680117973,52
1680117974,53
1680117975,54
1680117976,54
1680117977,50
1680117978,58
1680117979,59
1680117980,57
1680117981,57
1680117982,58
1680117983,58
1680117984,57
1680117985,57
1680117986,48
1680117987,42
1680117988,42
1680117989,43
1680117990,41
1680117991,39
1680117992,47
1680117993,44
1680117994,43
1680117995,46
1680117996,46
1680117997,46
1680117998,44
1680117999,45
1680118000,45
1680118001,45
1680118002,46
1680118003,50
1680118004,45
1680118005,48
1680118006,46
1680118007,48
1680118008,50
1680118009,49
1680118010,46
1680118011,51
1680118012,44
1680118013,47
1680118014,46
1680118015,49
1680118016,46
1680118017,48
1680118018,44
1680118019,46
1680118020,46
1680118021,51
1680118022,43
1680118023,48
1680118024,53
1680118025,49
1680118026,46
1680118027,50
1680118028,46
1680118029,45
1680118030,45
1680118031,47
1680118032,45
1680118033,48
1680118034,50
1680118035,250
1680118036,255
1680118037,250
1680118038,256
1680118039,157
1680118040,187
1680118041,186
1680118042,187
1680118043,186
1680118044,185
1680118045,185
1680118046,185
1680118047,180
1680118048,175
1680118049,179
1680118050,178
1680118051,177
1680118052,179
1680118053,179
1680118054,180
1680118055,182
1680118056,183
1680118057,184
1680118058,183
1680118059,185
1680118060,185
1680118061,186
1680118062,186
1680118063,183
1680118064,245
1680118065,255
1680118066,255
1680118067,221
1680118068,201
1680118069,216
1680118070,215
1680118071,216
1680118072,215
1680118073,214
1680118074,214
1680118075,217
1680118076,212
1680118077,215
1680118078,213
1680118079,214
1680118080,217
1680118081,215
1680118082,212
1680118083,213
1680118084,212
1680118085,215
1680118086,213
1680118087,215
1680118088,214
1680118089,217
1680118090,215
1680118091,216
1680118092,226
1680118093,252
1680118094,253
1680118095,256
1680118096,190
1680118097,151
1680118098,137
1680118099,136
1680118100,137
1680118101,136
1680118102,136
1680118103,138
1680118104,142
1680118105,152
1680118106,160
1680118107,171
1680118108,185
1680118109,200
1680118110,207
1680118111,210
1680118112,211
1680118113,210
1680118114,213
1680118115,212
1680118116,213
1680118117,213
1680118118,213
1680118119,214
1680118120,213
1680118121,247
1680118122,255
1680118123,256
1680118124,252
1680118125,255
1680118126,256
1680118127,255
1680118128,159
1680118129,131
1680118130,134
1680118131,131
1680118132,133
1680118133,129
1680118134,127
1680118135,125
1680118136,120
1680118137,120
1680118138,120
1680118139,123
1680118140,121
1680118141,124
1680118142,123
1680118143,123
1680118144,124
1680118145,124
1680118146,123
1680118147,121
1680118148,123
1680118149,125
1680118150,129
1680118151,129
1680118152,129
1680118153,201
1680118154,255
1680118155,255
1680118156,254
1680118157,254
1680118158,256
1680118159,255
1680118160,255
1680118161,249
1680118162,136
1680118163,187
1680118164,188
1680118165,188
1680118166,187
1680118167,193
1680118168,194
1680118169,194
1680118170,196
1680118171,195
1680118172,194
1680118173,194
1680118174,190
1680118175,197
1680118176,208
1680118177,202
1680118178,195
1680118179,192
1680118180,175
1680118181,167
1680118182,164
1680118183,163
1680118184,160
1680118185,158
1680118186,162
1680118187,166
1680118188,174
1680118189,171
1680118190,173
1680118191,172
1680118192,175
1680118193,172
1680118194,176
1680118195,179
1680118196,184
1680118197,179
1680118198,187
1680118199,190
1680118200,188
1680118201,188
1680118202,197
1680118203,193
1680118204,195
1680118205,189
1680118206,192
1680118207,193
1680118208,194
1680118209,191
1680118210,192
1680118211,191
1680118212,178
1680118213,175
1680118214,171
1680118215,175
1680118216,178
1680118217,178
1680118218,164
1680118219,170
1680118220,173
1680118221,178
1680118222,194
1680118223,190
1680118224,197
1680118225,197
1680118226,195
1680118227,197
1680118228,202
1680118229,199
1680118230,200
1680118231,198
1680118232,202
1680118233,196
1680118234,197
1680118235,198
1680118236,201
1680118237,197
1680118238,189
1680118239,190
1680118240,198
1680118241,203
1680118242,202
1680118243,202
1680118244,207
1680118245,206
1680118246,202
1680118247,204
1680118248,206
1680118249,210
1680118250,210
1680118251,212
1680118252,211
1680118253,204
1680118254,206
1680118255,210
1680118256,206
1680118257,207
1680118258,196
1680118259,186
1680118260,193
1680118261,186
1680118262,199
1680118263,197
1680118264,198
1680118265,197
1680118266,195
1680118267,192
1680118268,196
1680118269,199
1680118270,199
1680118271,189
1680118272,193
1680118273,196
1680118274,198
1680118275,200
1680118276,199
1680118277,203
1680118278,206
1680118279,205
1680118280,197
1680118281,202
1680118282,199
1680118283,196
1680118284,197
1680118285,193
1680118286,185
1680118287,184
1680118288,188
1680118289,190
1680118290,193
1680118291,195
1680118292,195
1680118293,192
1680118294,192
1680118295,194
1680118296,194
1680118297,194
1680118298,178
