time,FPS
1679344107,13
1679344108,48
1679344109,45
1679344110,21
1679344111,53
1679344112,44
1679344113,41
1679344114,47
1679344115,43
1679344116,43
1679344117,47
1679344118,42
1679344119,47
1679344120,45
1679344121,41
1679344122,41
1679344123,41
1679344124,41
1679344125,44
1679344126,37
1679344127,40
1679344128,38
1679344129,42
1679344130,45
1679344131,51
1679344132,52
1679344133,51
1679344134,51
1679344135,52
1679344136,49
1679344137,51
1679344138,52
1679344139,50
1679344140,50
1679344141,51
1679344142,51
1679344143,52
1679344144,50
1679344145,51
1679344146,51
1679344147,51
1679344148,50
1679344149,52
1679344150,53
1679344151,59
1679344152,58
1679344153,56
1679344154,57
1679344155,57
1679344156,58
1679344157,56
1679344158,58
1679344159,43
1679344160,41
1679344161,43
1679344162,43
1679344163,43
1679344164,42
1679344165,42
1679344166,44
1679344167,42
1679344168,41
1679344169,45
1679344170,44
1679344171,44
1679344172,43
1679344173,43
1679344174,47
1679344175,51
1679344176,49
1679344177,43
1679344178,45
1679344179,46
1679344180,47
1679344181,48
1679344182,46
1679344183,46
1679344184,47
1679344185,44
1679344186,45
1679344187,44
1679344188,45
1679344189,41
1679344190,45
1679344191,47
1679344192,47
1679344193,44
1679344194,44
1679344195,45
1679344196,44
1679344197,45
1679344198,45
1679344199,44
1679344200,43
1679344201,45
1679344202,45
1679344203,45
1679344204,44
1679344205,44
1679344206,43
1679344207,66
1679344208,252
1679344209,254
1679344210,249
1679344211,251
1679344212,126
1679344213,126
1679344214,122
1679344215,124
1679344216,124
1679344217,123
1679344218,124
1679344219,124
1679344220,121
1679344221,124
1679344222,123
1679344223,123
1679344224,123
1679344225,122
1679344226,121
1679344227,122
1679344228,122
1679344229,120
1679344230,123
1679344231,122
1679344232,125
1679344233,127
1679344234,125
1679344235,127
1679344236,126
1679344237,221
1679344238,255
1679344239,256
1679344240,246
1679344241,111
1679344242,151
1679344243,149
1679344244,152
1679344245,151
1679344246,146
1679344247,149
1679344248,149
1679344249,148
1679344250,150
1679344251,150
1679344252,149
1679344253,151
1679344254,152
1679344255,146
1679344256,147
1679344257,148
1679344258,146
1679344259,149
1679344260,150
1679344261,149
1679344262,150
1679344263,147
1679344264,151
1679344265,159
1679344266,255
1679344267,255
1679344268,255
1679344269,194
1679344270,145
1679344271,135
1679344272,136
1679344273,135
1679344274,134
1679344275,133
1679344276,135
1679344277,131
1679344278,137
1679344279,140
1679344280,142
1679344281,147
1679344282,150
1679344283,153
1679344284,153
1679344285,152
1679344286,152
1679344287,155
1679344288,154
1679344289,156
1679344290,157
1679344291,158
1679344292,157
1679344293,156
1679344294,200
1679344295,255
1679344296,255
1679344297,253
1679344298,254
1679344299,255
1679344300,255
1679344301,253
1679344302,82
1679344303,128
1679344304,130
1679344305,129
1679344306,127
1679344307,125
1679344308,121
1679344309,121
1679344310,118
1679344311,118
1679344312,119
1679344313,121
1679344314,122
1679344315,123
1679344316,121
1679344317,123
1679344318,123
1679344319,122
1679344320,123
1679344321,121
1679344322,124
1679344323,124
1679344324,125
1679344325,126
1679344326,125
1679344327,252
1679344328,255
1679344329,254
1679344330,255
1679344331,253
1679344332,256
1679344333,254
1679344334,256
1679344335,254
1679344336,129
1679344337,160
1679344338,160
1679344339,158
1679344340,158
1679344341,160
1679344342,160
1679344343,164
1679344344,159
1679344345,163
1679344346,166
1679344347,166
1679344348,160
1679344349,161
1679344350,163
1679344351,166
1679344352,170
1679344353,173
1679344354,171
1679344355,159
1679344356,153
1679344357,161
1679344358,152
1679344359,146
1679344360,146
1679344361,153
1679344362,155
1679344363,153
1679344364,146
1679344365,145
1679344366,142
1679344367,145
1679344368,149
1679344369,150
1679344370,150
1679344371,154
1679344372,160
1679344373,156
1679344374,152
1679344375,154
1679344376,155
1679344377,162
1679344378,161
1679344379,159
1679344380,160
1679344381,164
1679344382,154
1679344383,154
1679344384,150
1679344385,149
1679344386,154
1679344387,154
1679344388,153
1679344389,154
1679344390,158
1679344391,151
1679344392,153
1679344393,153
1679344394,155
1679344395,161
1679344396,159
1679344397,156
1679344398,151
1679344399,150
1679344400,149
1679344401,150
1679344402,154
1679344403,154
1679344404,152
1679344405,152
1679344406,157
1679344407,161
1679344408,158
1679344409,153
1679344410,154
1679344411,157
1679344412,157
1679344413,156
1679344414,161
1679344415,163
1679344416,160
1679344417,155
1679344418,159
1679344419,153
1679344420,150
1679344421,151
1679344422,144
1679344423,147
1679344424,149
1679344425,148
1679344426,152
1679344427,152
1679344428,146
1679344429,146
1679344430,147
1679344431,149
1679344432,148
1679344433,156
1679344434,166
1679344435,156
1679344436,160
1679344437,158
1679344438,157
1679344439,158
1679344440,155
1679344441,156
1679344442,148
1679344443,144
1679344444,144
1679344445,147
1679344446,148
1679344447,144
1679344448,143
1679344449,142
1679344450,143
1679344451,141
1679344452,140
1679344453,140
1679344454,141
1679344455,145
1679344456,145
1679344457,140
1679344458,142
1679344459,137
1679344460,133
1679344461,134
1679344462,132
1679344463,124
1679344464,126
1679344465,127
1679344466,125
1679344467,131
1679344468,134
1679344469,135
1679344470,138
1679344471,101
