time,FPS
1675824361,24
1675824362,56
1675824363,56
1675824364,56
1675824365,52
1675824366,52
1675824367,54
1675824368,52
1675824369,52
1675824370,54
1675824371,46
1675824372,44
1675824373,47
1675824374,46
1675824375,48
1675824376,46
1675824377,45
1675824378,44
1675824379,49
1675824380,48
1675824381,49
1675824382,43
1675824383,48
1675824384,52
1675824385,51
1675824386,52
1675824387,54
1675824388,57
1675824389,58
1675824390,51
1675824391,53
1675824392,48
1675824393,52
1675824394,57
1675824395,49
1675824396,55
1675824397,54
1675824398,51
1675824399,51
1675824400,59
1675824401,58
1675824402,56
1675824403,55
1675824404,51
1675824405,53
1675824406,55
1675824407,53
1675824408,51
1675824409,55
1675824410,51
1675824411,49
1675824412,52
1675824413,56
1675824414,56
1675824415,51
1675824416,47
1675824417,56
1675824418,57
1675824419,91
1675824420,144
1675824421,144
1675824422,144
1675824423,144
1675824424,64
1675824425,40
1675824426,40
1675824427,40
1675824428,38
1675824429,40
1675824430,40
1675824431,41
1675824432,41
1675824433,41
1675824434,42
1675824435,41
1675824436,41
1675824437,41
1675824438,41
1675824439,42
1675824440,41
1675824441,42
1675824442,42
1675824443,42
1675824444,43
1675824445,42
1675824446,42
1675824447,42
1675824448,43
1675824449,118
1675824450,144
1675824451,143
1675824452,145
1675824453,83
1675824454,46
1675824455,48
1675824456,46
1675824457,49
1675824458,48
1675824459,48
1675824460,47
1675824461,49
1675824462,48
1675824463,48
1675824464,47
1675824465,47
1675824466,47
1675824467,46
1675824468,47
1675824469,46
1675824470,46
1675824471,47
1675824472,47
1675824473,48
1675824474,48
1675824475,47
1675824476,49
1675824477,48
1675824478,92
1675824479,143
1675824480,144
1675824481,142
1675824482,144
1675824483,41
1675824484,44
1675824485,43
1675824486,44
1675824487,45
1675824488,43
1675824489,44
1675824490,43
1675824491,44
1675824492,44
1675824493,44
1675824494,46
1675824495,48
1675824496,48
1675824497,49
1675824498,48
1675824499,49
1675824500,49
1675824501,49
1675824502,49
1675824503,49
1675824504,50
1675824505,50
1675824506,50
1675824507,50
1675824508,137
1675824509,137
1675824510,139
1675824511,143
1675824512,144
1675824513,143
1675824514,144
1675824515,144
1675824516,66
1675824517,42
1675824518,44
1675824519,44
1675824520,44
1675824521,44
1675824522,42
1675824523,42
1675824524,42
1675824525,42
1675824526,42
1675824527,43
1675824528,42
1675824529,42
1675824530,43
1675824531,41
1675824532,43
1675824533,42
1675824534,42
1675824535,42
1675824536,42
1675824537,43
1675824538,43
1675824539,43
1675824540,43
1675824541,99
1675824542,144
1675824543,142
1675824544,144
1675824545,144
1675824546,144
1675824547,144
1675824548,145
1675824549,143
1675824550,144
1675824551,78
1675824552,51
1675824553,50
1675824554,51
1675824555,51
1675824556,51
1675824557,52
1675824558,52
1675824559,52
1675824560,51
1675824561,52
1675824562,53
1675824563,52
1675824564,51
1675824565,52
1675824566,51
1675824567,52
1675824568,54
1675824569,55
1675824570,56
1675824571,50
1675824572,50
1675824573,52
1675824574,47
1675824575,46
1675824576,46
1675824577,48
1675824578,49
1675824579,47
1675824580,46
1675824581,47
1675824582,46
1675824583,47
1675824584,48
1675824585,48
1675824586,49
1675824587,47
1675824588,50
1675824589,51
1675824590,49
1675824591,48
1675824592,48
1675824593,50
1675824594,52
1675824595,52
1675824596,52
1675824597,52
1675824598,50
1675824599,50
1675824600,47
1675824601,46
1675824602,48
1675824603,48
1675824604,48
1675824605,48
1675824606,48
1675824607,48
1675824608,48
1675824609,49
1675824610,48
1675824611,50
1675824612,50
1675824613,49
1675824614,46
1675824615,46
1675824616,45
1675824617,46
1675824618,46
1675824619,48
1675824620,47
1675824621,47
1675824622,47
1675824623,49
1675824624,50
1675824625,48
1675824626,48
1675824627,49
1675824628,48
1675824629,48
1675824630,49
1675824631,47
1675824632,47
1675824633,48
1675824634,49
1675824635,48
1675824636,46
1675824637,45
1675824638,44
1675824639,44
1675824640,45
1675824641,45
1675824642,45
1675824643,46
1675824644,46
1675824645,47
1675824646,45
1675824647,45
1675824648,45
1675824649,45
1675824650,45
1675824651,49
1675824652,51
1675824653,49
1675824654,49
1675824655,48
1675824656,49
1675824657,47
1675824658,47
1675824659,44
1675824660,44
1675824661,43
1675824662,44
1675824663,45
1675824664,43
1675824665,43
1675824666,43
1675824667,43
1675824668,43
1675824669,43
1675824670,43
1675824671,43
1675824672,46
1675824673,46
1675824674,44
1675824675,44
1675824676,42
1675824677,41
1675824678,41
1675824679,42
1675824680,40
1675824681,42
1675824682,43
1675824683,43
1675824684,40
