time,FPS
1680108766,17
1680108767,45
1680108768,20
1680108769,48
1680108770,41
1680108771,45
1680108772,40
1680108773,47
1680108774,42
1680108775,43
1680108776,42
1680108777,41
1680108778,39
1680108779,38
1680108780,40
1680108781,43
1680108782,44
1680108783,44
1680108784,43
1680108785,41
1680108786,41
1680108787,42
1680108788,43
1680108789,47
1680108790,43
1680108791,42
1680108792,41
1680108793,39
1680108794,40
1680108795,41
1680108796,42
1680108797,42
1680108798,42
1680108799,44
1680108800,43
1680108801,41
1680108802,43
1680108803,46
1680108804,41
1680108805,43
1680108806,44
1680108807,43
1680108808,45
1680108809,44
1680108810,52
1680108811,53
1680108812,54
1680108813,51
1680108814,53
1680108815,53
1680108816,54
1680108817,54
1680108818,54
1680108819,48
1680108820,44
1680108821,45
1680108822,40
1680108823,43
1680108824,44
1680108825,49
1680108826,46
1680108827,45
1680108828,44
1680108829,43
1680108830,42
1680108831,43
1680108832,45
1680108833,40
1680108834,44
1680108835,44
1680108836,45
1680108837,43
1680108838,44
1680108839,44
1680108840,44
1680108841,44
1680108842,44
1680108843,44
1680108844,44
1680108845,43
1680108846,44
1680108847,43
1680108848,42
1680108849,40
1680108850,44
1680108851,47
1680108852,42
1680108853,44
1680108854,44
1680108855,41
1680108856,47
1680108857,40
1680108858,47
1680108859,45
1680108860,44
1680108861,44
1680108862,42
1680108863,45
1680108864,42
1680108865,45
1680108866,39
1680108867,87
1680108868,253
1680108869,256
1680108870,251
1680108871,255
1680108872,142
1680108873,171
1680108874,167
1680108875,178
1680108876,174
1680108877,176
1680108878,176
1680108879,175
1680108880,176
1680108881,174
1680108882,173
1680108883,174
1680108884,175
1680108885,174
1680108886,184
1680108887,174
1680108888,180
1680108889,179
1680108890,177
1680108891,179
1680108892,188
1680108893,187
1680108894,183
1680108895,183
1680108896,186
1680108897,249
1680108898,255
1680108899,254
1680108900,256
1680108901,185
1680108902,171
1680108903,180
1680108904,66
1680108905,217
1680108906,203
1680108907,179
1680108908,181
1680108909,148
1680108910,180
1680108911,178
1680108912,221
1680108913,221
1680108914,200
1680108915,207
1680108916,222
1680108917,219
1680108918,199
1680108919,219
1680108920,204
1680108921,223
1680108922,204
1680108923,223
1680108924,223
1680108925,201
1680108926,225
1680108927,234
1680108928,256
1680108929,252
1680108930,256
1680108931,198
1680108932,185
1680108933,171
1680108934,172
1680108935,171
1680108936,170
1680108937,174
1680108938,174
1680108939,183
1680108940,195
1680108941,201
1680108942,206
1680108943,210
1680108944,167
1680108945,217
1680108946,182
1680108947,209
1680108948,220
1680108949,190
1680108950,220
1680108951,220
1680108952,187
1680108953,220
1680108954,204
1680108955,212
1680108956,238
1680108957,255
1680108958,256
1680108959,253
1680108960,255
1680108961,254
1680108962,153
1680108963,180
1680108964,179
1680108965,178
1680108966,174
1680108967,171
1680108968,169
1680108969,167
1680108970,163
1680108971,161
1680108972,162
1680108973,172
1680108974,176
1680108975,179
1680108976,178
1680108977,179
1680108978,179
1680108979,178
1680108980,177
1680108981,176
1680108982,181
1680108983,183
1680108984,186
1680108985,185
1680108986,186
1680108987,229
1680108988,256
1680108989,251
1680108990,256
1680108991,255
1680108992,256
1680108993,253
1680108994,182
1680108995,230
1680108996,229
1680108997,232
1680108998,229
1680108999,232
1680109000,232
1680109001,231
1680109002,231
1680109003,231
1680109004,229
1680109005,231
1680109006,232
1680109007,228
1680109008,233
1680109009,236
1680109010,235
1680109011,240
1680109012,238
1680109013,224
1680109014,214
1680109015,222
1680109016,218
1680109017,213
1680109018,215
1680109019,219
1680109020,217
1680109021,222
1680109022,215
1680109023,213
1680109024,213
1680109025,214
1680109026,217
1680109027,211
1680109028,219
1680109029,218
1680109030,227
1680109031,226
1680109032,223
1680109033,223
1680109034,224
1680109035,231
1680109036,236
1680109037,231
1680109038,222
1680109039,231
1680109040,229
1680109041,225
1680109042,219
1680109043,218
1680109044,224
1680109045,220
1680109046,221
1680109047,221
1680109048,227
1680109049,222
1680109050,224
1680109051,224
1680109052,225
1680109053,229
1680109054,229
1680109055,228
1680109056,223
1680109057,223
1680109058,222
1680109059,221
1680109060,225
1680109061,224
1680109062,224
1680109063,223
1680109064,226
1680109065,232
1680109066,233
1680109067,229
1680109068,231
1680109069,229
1680109070,231
1680109071,229
1680109072,229
1680109073,232
1680109074,235
1680109075,233
1680109076,232
1680109077,227
1680109078,225
1680109079,220
1680109080,214
1680109081,218
1680109082,222
1680109083,223
1680109084,225
1680109085,223
1680109086,217
1680109087,214
1680109088,219
1680109089,218
1680109090,223
1680109091,231
1680109092,234
1680109093,233
1680109094,233
1680109095,231
1680109096,233
1680109097,222
1680109098,214
1680109099,213
1680109100,219
1680109101,220
1680109102,216
1680109103,215
1680109104,208
1680109105,213
1680109106,212
1680109107,212
1680109108,208
1680109109,211
1680109110,211
1680109111,215
1680109112,206
1680109113,211
1680109114,208
1680109115,202
1680109116,205
1680109117,207
1680109118,193
1680109119,195
1680109120,197
1680109121,198
1680109122,207
1680109123,209
1680109124,209
1680109125,209
1680109126,200
1680109127,204
1680109128,210
1680109129,201
1680109130,206
1680109131,190
