time,FPS
1678650189,28
1678650190,40
1678650191,26
1678650192,54
1678650193,51
1678650194,55
1678650195,52
1678650196,51
1678650197,52
1678650198,47
1678650199,52
1678650200,50
1678650201,49
1678650202,48
1678650203,43
1678650204,47
1678650205,41
1678650206,39
1678650207,45
1678650208,41
1678650209,44
1678650210,46
1678650211,43
1678650212,48
1678650213,47
1678650214,45
1678650215,46
1678650216,46
1678650217,51
1678650218,45
1678650219,48
1678650220,46
1678650221,44
1678650222,49
1678650223,50
1678650224,44
1678650225,45
1678650226,45
1678650227,46
1678650228,50
1678650229,45
1678650230,46
1678650231,48
1678650232,49
1678650233,45
1678650234,48
1678650235,52
1678650236,54
1678650237,54
1678650238,52
1678650239,54
1678650240,53
1678650241,54
1678650242,54
1678650243,54
1678650244,48
1678650245,45
1678650246,44
1678650247,45
1678650248,43
1678650249,46
1678650250,43
1678650251,44
1678650252,47
1678650253,43
1678650254,48
1678650255,47
1678650256,46
1678650257,46
1678650258,43
1678650259,43
1678650260,49
1678650261,43
1678650262,47
1678650263,43
1678650264,47
1678650265,40
1678650266,41
1678650267,46
1678650268,44
1678650269,42
1678650270,48
1678650271,47
1678650272,49
1678650273,45
1678650274,48
1678650275,51
1678650276,44
1678650277,43
1678650278,47
1678650279,46
1678650280,51
1678650281,48
1678650282,46
1678650283,49
1678650284,44
1678650285,44
1678650286,45
1678650287,44
1678650288,46
1678650289,44
1678650290,47
1678650291,46
1678650292,93
1678650293,256
1678650294,256
1678650295,248
1678650296,256
1678650297,94
1678650298,112
1678650299,115
1678650300,116
1678650301,118
1678650302,119
1678650303,118
1678650304,117
1678650305,120
1678650306,119
1678650307,119
1678650308,116
1678650309,120
1678650310,122
1678650311,124
1678650312,126
1678650313,126
1678650314,128
1678650315,126
1678650316,125
1678650317,126
1678650318,125
1678650319,124
1678650320,126
1678650321,126
1678650322,248
1678650323,254
1678650324,256
1678650325,253
1678650326,124
1678650327,146
1678650328,142
1678650329,145
1678650330,144
1678650331,143
1678650332,144
1678650333,144
1678650334,145
1678650335,144
1678650336,143
1678650337,132
1678650338,139
1678650339,138
1678650340,134
1678650341,132
1678650342,134
1678650343,137
1678650344,138
1678650345,140
1678650346,137
1678650347,136
1678650348,139
1678650349,139
1678650350,138
1678650351,254
1678650352,255
1678650353,255
1678650354,255
1678650355,141
1678650356,143
1678650357,143
1678650358,142
1678650359,144
1678650360,143
1678650361,143
1678650362,143
1678650363,143
1678650364,144
1678650365,145
1678650366,147
1678650367,148
1678650368,150
1678650369,152
1678650370,151
1678650371,151
1678650372,152
1678650373,152
1678650374,153
1678650375,153
1678650376,153
1678650377,153
1678650378,154
1678650379,153
1678650380,233
1678650381,256
1678650382,255
1678650383,256
1678650384,253
1678650385,255
1678650386,145
1678650387,120
1678650388,125
1678650389,124
1678650390,120
1678650391,121
1678650392,119
1678650393,119
1678650394,118
1678650395,118
1678650396,120
1678650397,120
1678650398,121
1678650399,122
1678650400,123
1678650401,122
1678650402,124
1678650403,124
1678650404,126
1678650405,124
1678650406,126
1678650407,127
1678650408,127
1678650409,127
1678650410,125
1678650411,215
1678650412,256
1678650413,255
1678650414,255
1678650415,256
1678650416,255
1678650417,222
1678650418,132
1678650419,141
1678650420,142
1678650421,141
1678650422,141
1678650423,143
1678650424,144
1678650425,144
1678650426,143
1678650427,144
1678650428,143
1678650429,144
1678650430,142
1678650431,144
1678650432,143
1678650433,150
1678650434,153
1678650435,156
1678650436,153
1678650437,134
1678650438,138
1678650439,140
1678650440,131
1678650441,132
1678650442,133
1678650443,134
1678650444,132
1678650445,128
1678650446,124
1678650447,124
1678650448,124
1678650449,126
1678650450,127
1678650451,131
1678650452,127
1678650453,131
1678650454,133
1678650455,132
1678650456,131
1678650457,136
1678650458,139
1678650459,135
1678650460,143
1678650461,143
1678650462,146
1678650463,145
1678650464,139
1678650465,136
1678650466,129
1678650467,130
1678650468,131
1678650469,132
1678650470,128
1678650471,132
1678650472,131
1678650473,126
1678650474,131
1678650475,126
1678650476,133
1678650477,138
1678650478,136
1678650479,132
1678650480,125
1678650481,129
1678650482,126
1678650483,129
1678650484,131
1678650485,132
1678650486,133
1678650487,126
1678650488,134
1678650489,132
1678650490,131
1678650491,132
1678650492,132
1678650493,132
1678650494,131
1678650495,130
1678650496,129
1678650497,132
1678650498,135
1678650499,133
1678650500,127
1678650501,130
1678650502,125
1678650503,124
1678650504,123
1678650505,122
1678650506,123
1678650507,124
1678650508,126
1678650509,129
1678650510,128
1678650511,127
1678650512,124
1678650513,124
1678650514,126
1678650515,126
1678650516,130
1678650517,139
1678650518,133
1678650519,134
1678650520,132
1678650521,131
1678650522,128
1678650523,127
1678650524,123
1678650525,121
1678650526,123
1678650527,123
1678650528,121
1678650529,119
1678650530,116
1678650531,120
1678650532,120
1678650533,117
1678650534,117
1678650535,118
1678650536,120
1678650537,126
1678650538,124
1678650539,125
1678650540,122
1678650541,121
1678650542,120
1678650543,121
1678650544,119
1678650545,120
1678650546,121
1678650547,124
1678650548,132
1678650549,136
1678650550,138
1678650551,136
1678650552,125
1678650553,124
1678650554,125
1678650555,120
